,family,gene,mean_expression,correlation,pval
0,Ebox/CATATG:bHLH,Atoh1,5.99983e-05,-0.054438604521871034,0.7874904450301817
1,Ebox/CATATG:bHLH,Olig2,0.00026999236,0.08897289605833854,0.6059232221240519
2,Ebox/CATATG:bHLH,Bhlhe22,0.0021870714,0.04374635036743909,0.6656175004389011
3,Ebox/CATATG:bHLH,Olig1,0.00083956466,-0.28907364817987713,0.02827882988861235
4,Ebox/CATATG:bHLH,Neurod2,0.029830072,-0.1297009218690022,0.3967864515773003
5,Ebox/CATATG:bHLH,Bhlha15,0.00023999323,0.19537314271049697,0.20566741908541636
6,Ebox/CATATG:bHLH,Neurog1,5.99983e-05,-0.13857099332839898,0.4510740097413017
7,Ebox/CATATG:bHLH,Twist2,0.0016327495,-0.04989218646075064,0.7109067669070287
0,MEF2:MADS,Mef2a,0.08476908,0.0253477514964264,0.8023314708344128
1,MEF2:MADS,Mef2c,0.2835832,0.09893789378937894,0.491114010427328
2,MEF2:MADS,Mef2d,0.04862721,0.15543351606859418,0.36762368886532726
0,CREB/ATF/1:bZIP,Atf1,0.01278678,-0.2894216833350057,0.019214156522518584
1,CREB/ATF/1:bZIP,Creb1,0.024732308,-0.16673336172198272,0.2140989940749976
2,CREB/ATF/1:bZIP,Atf2,0.05212259,-0.031182766873888407,0.7580959306629015
3,CREB/ATF/1:bZIP,Atf3,0.00035998982,-0.3486006017072809,0.00416798471792943
4,CREB/ATF/1:bZIP,Crem,0.007990286,-0.1428738025064573,0.2454144107009368
5,CREB/ATF/1:bZIP,Fos,0.011915488,-0.04195440472160429,0.7463975023592354
6,CREB/ATF/1:bZIP,Fosl2,0.003637698,-0.11595635736186242,0.34459087534403876
7,CREB/ATF/1:bZIP,Fosl1,0.0012287304,0.15019385177545463,0.24900772780356936
8,CREB/ATF/1:bZIP,Jun,0.004859892,-0.08360596282614167,0.49895812126084294
9,CREB/ATF/1:bZIP,Fosb,0.002164961,-0.18157058543997534,0.19419469729409794
10,CREB/ATF/1:bZIP,Junb,0.016352255,-0.18932019080379223,0.2171687923540601
0,RFX/2:RFX,Rfx2,0.001603303,-0.16726671317415598,0.09623673761127298
1,RFX/2:RFX,Rfx3,0.059330884,0.17560800060836232,0.12079748482595576
2,RFX/2:RFX,Rfx4,0.0031102754,-0.27574890413198805,0.016465352722388076
0,EGR:C2H2,Egr3,0.00057225727,-0.08615132335631044,0.7881307969181282
1,EGR:C2H2,Egr1,0.041705336,-0.13044770171633074,0.7831981442633424
2,EGR:C2H2,Egr4,0.011014682,-0.0440170150846503,0.8848979979170365
3,EGR:C2H2,Egr2,0.0024109355,0.022253505714491032,0.8260546136134944
0,ETS/2:ETS,Ehf,0.0005993656,0.08464237017832665,0.804863640310904
1,ETS/2:ETS,Elf5,0.00014999576,-0.03099560697441719,0.9114043161340403
2,ETS/2:ETS,Erg,0.0072084162,-0.12352274323111265,0.5299298482006445
3,ETS/2:ETS,Etv2,2.999915e-05,-0.13056477036850594,0.5861854988764852
4,ETS/2:ETS,Elf2,0.016915128,0.15166255675376078,0.5279754893010006
5,ETS/2:ETS,Etv5,0.037228636,-0.01174267112389268,0.9076887210970487
6,ETS/2:ETS,Ets1,0.0023052068,-0.16015851011409296,0.6686554054480682
7,ETS/2:ETS,Fli1,0.0024484836,0.17195157284676454,1.0
8,ETS/2:ETS,Elk4,0.009477994,0.05141891624992822,0.8152142571202339
9,ETS/2:ETS,Etv4,0.010303961,-0.07616596177908255,0.7737300731287152
10,ETS/2:ETS,Etv6,0.044962358,0.06656563812920077,0.7657900233261479
11,ETS/2:ETS,Ets2,0.008315104,0.0196760992890323,0.9228395738159797
0,KLF/SP/2:C2H2,Egr1,0.041705336,0.042774362554970746,0.8167489886852589
1,KLF/SP/2:C2H2,Egr2,0.0024109355,0.1198845368217354,0.4989680611753844
2,KLF/SP/2:C2H2,Sp1,0.0105825635,0.10440590586979426,0.5690237636671486
3,KLF/SP/2:C2H2,Patz1,0.014129161,0.16234811009418224,0.36234415253546215
4,KLF/SP/2:C2H2,Sp3,0.016134877,0.03534695804532569,0.7724249280824557
5,KLF/SP/2:C2H2,Vezf1,0.010608866,0.18322510495695324,0.5783998680877774
6,KLF/SP/2:C2H2,Klf6,0.016939512,-0.03444780079238521,0.7336697168288306
7,KLF/SP/2:C2H2,Sp4,0.03267712,-0.036704029968491134,0.812534989760888
8,KLF/SP/2:C2H2,Wt1,0.0002995799,-0.06258076131907214,0.7596382389731118
9,KLF/SP/2:C2H2,Klf4,0.00046438174,-0.17658197737181625,0.4467594891276319
10,KLF/SP/2:C2H2,Sp2,0.008219198,-0.0583483230178827,0.7377782081872936
11,KLF/SP/2:C2H2,Klf5,0.009052353,0.1534155438458094,0.3613427008993087
12,KLF/SP/2:C2H2,Klf3,0.0064423936,0.2894762459524427,0.05927962326285964
13,KLF/SP/2:C2H2,Sall4,0.00026999236,-0.08897289605833854,0.5852667486425501
14,KLF/SP/2:C2H2,Klf1,2.999915e-05,-0.13404649757833276,0.4459902810337381
15,KLF/SP/2:C2H2,Klf12,0.0801976,0.09772782508838729,0.5667619816624786
16,KLF/SP/2:C2H2,Rreb1,0.018158484,0.1759761604527524,0.33952740554009186
0,GC-tract:C2H2,Klf15,0.0024466233,-0.09686824661322971,0.33767925099108764
1,GC-tract:C2H2,Maz,0.0082672555,0.16990308640619048,0.18206333920013507
2,GC-tract:C2H2,Taf1,0.037981976,-0.23573878442853272,0.07287747056990537
3,GC-tract:C2H2,Thap1,0.003148587,-0.1229924025538942,0.2970772795259033
0,CCAAT/CEBP:bZIP,Cebpa,0.00038998894,-0.1529704308922748,0.2058470201268506
1,CCAAT/CEBP:bZIP,Cebpb,0.0002399932,0.058739637677665754,0.6417928738628572
2,CCAAT/CEBP:bZIP,Cebpd,0.0007876725,-0.22456586974211865,0.09876572700591628
