,L5,L3,L2,Inhibitory,L6,L4
Ebox/CATATG:bHLH,0.06271768524020445,0.06387938770190389,0.05919411043975164,0.06568103635800071,0.05940941248991294,0.05534230668563396
MEF2:MADS,0.20560705828102072,0.18615677336294373,0.1887192527435466,0.20940854192380548,0.18267488057192946,0.2001862550387159
CREB/ATF/1:bZIP,0.09793219695217203,0.08814123992818747,0.08543892235684325,0.09981292040787307,0.0863754395928871,0.0839194304215198
RFX/2:RFX,0.021076996668125503,0.02195127806308764,0.02092656655903821,0.021985144976305923,0.02169387297180947,0.02336496682255529
EGR:C2H2,0.09087776864439548,0.09026335148618356,0.086928007504453,0.09509947533680181,0.09115500361622253,0.09025144221923256
ETS/2:ETS,0.014201838212970585,0.01406201375462243,0.014864679497276516,0.014635744436738582,0.01440581797429376,0.01468337946093925
KLF/SP/2:C2H2,0.14947567640498588,0.15052064348660396,0.14551640814856884,0.15222753573354178,0.15101143967270625,0.14506899233148118
GC-tract:C2H2,0.006200049585814327,0.006392390844832169,0.006263563633563184,0.006164677214781621,0.006394815769592047,0.006354176025456582
CCAAT/CEBP:bZIP,0.029829236232762922,0.03012316281092353,0.028647380920698528,0.0317010456561356,0.027485408653904284,0.029206852248171343
GLI:C2H2,0.0021947505905700383,0.002142622185849839,0.0020535036535213953,0.002266556807291253,0.001870984976579036,0.001970017165876925
E2F/2:E2F,0.002488646102574421,0.00242255443431945,0.0026668510369993533,0.0027982125917859727,0.002765703283460295,0.00300507633946836
ETS/1:ETS,0.003913190976800251,0.0036850285839384674,0.003757137405045796,0.003660711382269112,0.003760994195285353,0.0036438813418499193
RFX/1:RFX,0.016816553699027282,0.016506619549049487,0.016022854032185438,0.01741365180657196,0.016876995870136722,0.018535893835360185
AP1/2:bZIP,0.009688540972274496,0.009583989359353754,0.008903677797537635,0.010021331287326143,0.009178006881744036,0.008490495770820417
SOX/1:HMG,-0.22027320619672536,-0.23051243343136527,-0.22765068845315414,-0.23156106589656128,-0.2290621234902314,-0.21602951139211654
TBX/3:TBX,0.005498219308719854,0.00673975739151832,0.0063428111845331096,0.0062924206783798965,0.0064362677699786475,0.005586973298341036
N/A,0.014298223602681048,0.015037249588493234,0.014776853727115931,0.016319423868026206,0.015439329511147142,0.01484080842747062
NR/20:nuclearreceptor,0.003308478571125306,0.0029360756743699312,0.0030299172741995953,0.0032547553893987483,0.0031403486791532487,0.003154639282729477
CREB/ATF/2:bZIP,0.008621092491227954,0.0077862242915629895,0.00763380932767177,0.008700948909360082,0.007338154832918268,0.007330970660950698
HD/12:homeodomain,0.009618509201027336,0.009868841687090357,0.009614647419022565,0.009847054541368331,0.009700493992048516,0.00951688565837685
RFX/3:RFX,0.003377845379327482,0.0030504691623553463,0.0034261334377251014,0.0031252382736726616,0.003050102220575874,0.003497420945495833
Ebox/CACGTG/2:bHLH,3.066377367577644e-08,1.5146361417609198e-08,2.4001163238680914e-08,2.1787789093364933e-08,2.9770408741366542e-08,2.1020170315466658e-08
NFY:NFY,0.0017648000917688477,0.0016270251951275648,0.0016790948052816516,0.0016163858871502605,0.0017546914132253733,0.0017377777054207399
CTCF:C2H2,0.0034156385081701044,0.0032732561485318,0.0032465469652048673,0.0029779666802632596,0.003215179346268217,0.003255901430554786
GFI:C2H2,0.0002212998086179141,0.0001639735478833741,0.00021955210038206795,0.0002373398172877435,0.0002153753978616026,0.00022275227529462428
TBX/4:TBX,0.0030734066749573685,0.002876001941992647,0.002994857178154317,0.003146484867963744,0.003526221079352711,0.0029569449601694942
NR/1:nuclearreceptor,0.0009385928478877759,0.0009503250211392614,0.001035545374510217,0.0010208360506926272,0.0009433477846739281,0.0010254883440211416
Ebox/CAGCTG:bHLH,0.0021017619204940275,0.002191661793569272,0.0019133798566392877,0.001800582131468936,0.0018832269540455724,0.0018311770400032401
NR/17:nuclearreceptor,0.0005384752937970915,0.0004368381011193957,0.0004569021614522419,0.00033911226828901197,0.0003717726042071133,0.0003567715175449848
Ebox/CAGATGG:bHLH,0.010390909371017188,0.010800785648991057,0.010185901467841839,0.011074033767248406,0.010162986610469358,0.009556903640623204
GLIS:C2H2,0.0011844204211229226,0.0009803305729292333,0.0011350337048167023,0.0011771401837713232,0.0010036709448156347,0.0012264309450984
TBX/2:TBX,0.0010828236998349893,0.0010665543006987057,0.001083789877487685,0.0010469076269624853,0.0010760802293329366,0.001065773086156696
CREB/ATF/3:bZIP,0.0014773949194932356,0.0014636158223517916,0.001363458566960286,0.0015368401256733034,0.001420464730472304,0.0014220286393538117
KLF/SP/1:C2H2,0.0008607111028140935,0.000972799668736777,0.0009610111567533088,0.000950611626122784,0.0010702324320196307,0.0011728132478310727
KLF/SP/3:C2H2,0.000495469881570898,0.0005423360483043573,0.0005684426842807708,0.0005861322171863561,0.0005476154308001112,0.0005634199129417539
SPI:ETS,0.0011110078045021509,0.0009494585934920575,0.001199897873448208,0.0009951588668436191,0.0010610932579737664,0.001130585139617324
YY1:C2H2,6.126481052888266e-05,8.643761115804823e-05,9.419928458307616e-05,0.00010028544631112661,8.535280747829737e-05,8.390523289563135e-05
AP1/1:bZIP,0.0006360191429848783,0.0005511536358178339,0.0007116248651238328,0.0005330977682636952,0.000482509594543704,0.0005252585746347904
HD/18:homeodomain,-0.009696896083187311,-0.009342013858258724,-0.009759359061717987,-0.00977770494003045,-0.009594567519213473,-0.008795062638819217
HD/20:homeodomain,0.0002922080417192774,0.0002861219466219402,0.0002746867480296218,0.00033282509799679056,0.00030899302302194495,0.00028955457091797145
NFAT/2:NFAT,0.0006374853717716177,0.0006184058782475239,0.0008029799977190454,0.0005654037966834087,0.0007009421642578673,0.0007348690705839545
