,Reproducibility
Ebox/CATATG:bHLH,1.0
MEF2:MADS,1.0
CREB/ATF/1:bZIP,1.0
RFX/2:RFX,0.9
EGR:C2H2,1.0
ETS/2:ETS,0.8
KLF/SP/2:C2H2,1.0
GC-tract:C2H2,0.6
CCAAT/CEBP:bZIP,0.8
GLI:C2H2,0.2
E2F/2:E2F,0.5
ETS/1:ETS,0.7
RFX/1:RFX,0.8
AP1/2:bZIP,0.6
SOX/1:HMG,0.2
TBX/3:TBX,0.3
N/A,0.9
NR/20:nuclearreceptor,0.3
CREB/ATF/2:bZIP,0.8
HD/12:homeodomain,0.8
RFX/3:RFX,0.4
Ebox/CACGTG/2:bHLH,0.1
NFY:NFY,0.3
CTCF:C2H2,0.3
GFI:C2H2,0.1
TBX/4:TBX,0.2
NR/1:nuclearreceptor,0.2
Ebox/CAGCTG:bHLH,0.1
NR/17:nuclearreceptor,0.1
Ebox/CAGATGG:bHLH,0.5
GLIS:C2H2,0.2
TBX/2:TBX,0.2
CREB/ATF/3:bZIP,0.1
KLF/SP/1:C2H2,0.3
KLF/SP/3:C2H2,0.1
SPI:ETS,0.2
YY1:C2H2,0.1
AP1/1:bZIP,0.1
HD/18:homeodomain,0.1
HD/20:homeodomain,0.1
NFAT/2:NFAT,0.1
