,family,gene,mean_expression,correlation,pval
0,Ebox/CATATG:bHLH,OLIG3,0.00331133,-0.07474383361451326,0.02034093370403851
1,Ebox/CATATG:bHLH,OLIG2,0.26483425,-0.2462733916959994,6.27053351505411e-15
2,Ebox/CATATG:bHLH,BHLHE22,1.465962,0.7370339786033246,2.409313988802659e-171
3,Ebox/CATATG:bHLH,OLIG1,0.37970123,-0.2018606046261482,2.124684621913767e-10
4,Ebox/CATATG:bHLH,NEUROD2,1.7627571,0.7823493914388929,1.7800991897837934e-206
5,Ebox/CATATG:bHLH,BHLHE23,0.00993399,-0.07711193833740505,0.018931967704828502
6,Ebox/CATATG:bHLH,NEUROG2,0.7452648,0.41225038946786435,7.853311718730761e-42
7,Ebox/CATATG:bHLH,NEUROG1,0.16439998,-0.17673643551031215,2.762499697315177e-08
8,Ebox/CATATG:bHLH,TWIST2,0.02564459,-0.06769216151172694,0.03232308232272189
0,Ebox/CACCTG:bHLH,SNAI1,0.049829394,0.08942688410783985,0.0053187530298576926
1,Ebox/CACCTG:bHLH,SNAI2,0.2419561,0.07952583620670217,0.011880717463977673
2,Ebox/CACCTG:bHLH,FIGLA,0.013546351,-0.10269282958117341,0.001833718944418616
3,Ebox/CACCTG:bHLH,TCF3,1.1483266,0.19728120380745748,1.2478048869444633e-09
4,Ebox/CACCTG:bHLH,ID4,1.2159976,0.3957262716637894,6.260397960539106e-38
5,Ebox/CACCTG:bHLH,TCF4,3.0864346,0.16204914222588754,5.151058571167453e-07
6,Ebox/CACCTG:bHLH,ZEB1,2.024532,0.18412370038051606,1.1945366835863529e-08
7,Ebox/CACCTG:bHLH,MESP1,0.4013846,-0.09174968975719916,0.004914291121503563
0,HD/2:homeodomain,LHX2,1.7889568,0.5301138919091737,4.221008242636902e-72
1,HD/2:homeodomain,LHX3,0.017321631,-0.0958646500525429,0.004494371215598024
2,HD/2:homeodomain,NOBOX,0.0066226604,-0.07739029707091774,0.02438352917789692
3,HD/2:homeodomain,DLX3,0.005799242,0.10028949431816127,0.002991831940189981
4,HD/2:homeodomain,PRRX2,0.051663995,-0.18205067224874152,1.8761098592339255e-08
5,HD/2:homeodomain,ISL1,0.0018061801,0.05050802808625085,0.167150165272442
6,HD/2:homeodomain,DLX5,0.51303464,-0.22732152246294718,1.7636481474771304e-12
7,HD/2:homeodomain,LHX6,0.31492752,-0.17253595070180192,1.0689945165340931e-07
8,HD/2:homeodomain,SP7,0.00963296,0.09793964917964063,0.003728037875663636
9,HD/2:homeodomain,ALX3,0.13587412,0.3177869648317587,9.360934485407416e-24
10,HD/2:homeodomain,MIXL1,0.01585817,0.028863824092660726,0.4605651572591183
11,HD/2:homeodomain,RAX2,0.018413983,-0.08582395487560847,0.011576944384382688
12,HD/2:homeodomain,UNCX,0.0042144204,0.031349198374227005,0.4398076034109222
13,HD/2:homeodomain,SHOX,0.06530676,0.0051238379651996685,0.9568763861616719
14,HD/2:homeodomain,LBX2,0.00872987,0.08914872785342386,0.008642225180180565
15,HD/2:homeodomain,DLX1,0.55739945,-0.22215703770649445,5.167785134105619e-12
16,HD/2:homeodomain,GSX2,0.05088104,-0.025449661519805503,0.5244679399258184
17,HD/2:homeodomain,PRRX1,0.13904513,0.050233456779431904,0.1656289821883711
18,HD/2:homeodomain,HOXB3,0.00481648,-0.04005905611318365,0.28786758101151544
19,HD/2:homeodomain,GSX1,0.025217764,-0.05227276202970661,0.15763180935556337
20,HD/2:homeodomain,DLX6,0.43338278,-0.19500521307070867,1.5596947931197647e-09
21,HD/2:homeodomain,LMX1B,0.043655235,-0.16486556651292,4.0236053825266067e-07
22,HD/2:homeodomain,SHOX2,0.00391339,-0.025214551502708696,0.5183056459764783
23,HD/2:homeodomain,EMX1,0.9524747,0.4129718889409123,3.4099101126995775e-41
24,HD/2:homeodomain,RAX,0.014928864,-0.029370319680234753,0.4713418058840513
25,HD/2:homeodomain,LMX1A,0.02411092,-0.015624610784414801,0.7104631924400113
26,HD/2:homeodomain,MEOX2,0.0937854,0.26146747265759535,3.4340403242555237e-16
27,HD/2:homeodomain,DLX2,0.5897162,-0.2815314654060414,1.2630682691551667e-18
28,HD/2:homeodomain,VSX1,0.013479992,0.10351451469152496,0.00225069350136378
29,HD/2:homeodomain,GBX1,0.04777912,-0.02454626245417075,0.5220187161254803
30,HD/2:homeodomain,NKX6-2,0.00571957,0.018611426184674283,0.6493974809311028
31,HD/2:homeodomain,VSX2,0.032465972,0.029115024596681867,0.4658521918360956
32,HD/2:homeodomain,HESX1,0.14281933,0.21592022709729514,2.0652189604616884e-11
33,HD/2:homeodomain,LHX9,0.054389548,0.2325922591742089,5.878800669157035e-13
34,HD/2:homeodomain,MSX1,0.20954409,-0.04436776662725533,0.23107169589535054
