,motif,family,subfamily,family_genes
0_0,0_0,bHLH,Ebox/CATATG:bHLH,"['ATOH1', 'OLIG3', 'OLIG2', 'BHLHE22', 'OLIG1', 'NEUROD2', 'BHLHE23', 'NEUROG2', 'BHLHA15', 'NEUROG1', 'TWIST2']"
0_6,0_6,bHLH,Ebox/CACCTG:bHLH,"['SNAI1', 'HTF4', 'ITF2', 'SNAI2', 'FIGLA', 'TCF3', 'ID4', 'TCF4', 'ZEB1', 'MESP1']"
0_7,0_7,homeodomain,HD/2:homeodomain,"['LHX2', 'LHX3', 'NOBOX', 'DLX3', 'PRRX2', 'ISL1', 'PDX1', 'DLX5', 'LHX6', 'SP7', 'HXB4', 'ALX3', 'MIXL1', 'RAX2', 'UNCX', 'ESX1', 'SHOX', 'LBX2', 'DLX1', 'GSX2', 'PRRX1', 'HOXB3', 'GSX1', 'HOXB2', 'DLX6', 'DLX4', 'LMX1B', 'SHOX2', 'GBX2', 'HOXA2', 'EMX1', 'RAX', 'LMX1A', 'MEOX2', 'DLX2', 'VSX1', 'EVX1', 'GBX1', 'NKX6-2', 'VSX2', 'EVX2', 'HESX1', 'LHX9', 'MSX1', 'MSX3', 'VAX1', 'EN2', 'EN1', 'MSX2', 'MNX1', 'LHX4', 'VAX2', 'MEOX1', 'POU6F1', 'NOTO', 'HOXD3', 'ISX', 'PAX4', 'EMX2', 'HOXB5', 'ALX4', 'NKX6-1', 'ALX1', 'BSX', 'MIX-A', 'HOXD8', 'ARX', 'BARX1', 'POU6F2', 'LHX8', 'HOXA5', 'LBX1', 'VENTX', 'ARID3B', 'RAXL1', 'HOXA1']"
0_14,0_14,homeodomain,HD/2:homeodomain,"['LHX2', 'LHX3', 'NOBOX', 'DLX3', 'PRRX2', 'ISL1', 'PDX1', 'DLX5', 'LHX6', 'SP7', 'HXB4', 'ALX3', 'MIXL1', 'RAX2', 'UNCX', 'ESX1', 'SHOX', 'LBX2', 'DLX1', 'GSX2', 'PRRX1', 'HOXB3', 'GSX1', 'HOXB2', 'DLX6', 'DLX4', 'LMX1B', 'SHOX2', 'GBX2', 'HOXA2', 'EMX1', 'RAX', 'LMX1A', 'MEOX2', 'DLX2', 'VSX1', 'EVX1', 'GBX1', 'NKX6-2', 'VSX2', 'EVX2', 'HESX1', 'LHX9', 'MSX1', 'MSX3', 'VAX1', 'EN2', 'EN1', 'MSX2', 'MNX1', 'LHX4', 'VAX2', 'MEOX1', 'POU6F1', 'NOTO', 'HOXD3', 'ISX', 'PAX4', 'EMX2', 'HOXB5', 'ALX4', 'NKX6-1', 'ALX1', 'BSX', 'MIX-A', 'HOXD8', 'ARX', 'BARX1', 'POU6F2', 'LHX8', 'HOXA5', 'LBX1', 'VENTX', 'ARID3B', 'RAXL1', 'HOXA1']"
0_20,0_20,bHLH,Ebox/CAGCTG:bHLH,"['ASCL1', 'ASCL2', 'MYOG', 'MYF6', 'MYOD1', 'BHA15', 'TFE2', 'TFAP4', 'ZBT18', 'TCF12', 'NHLH1', 'TWIST1', 'MSC', 'ZBTB18', 'TCF21', 'ZNF238']"
0_24,0_24,bHLH,Ebox/CACCTG:bHLH,"['SNAI1', 'HTF4', 'ITF2', 'SNAI2', 'FIGLA', 'TCF3', 'ID4', 'TCF4', 'ZEB1', 'MESP1']"
0_27,0_27,TBX,TBX/1:TBX,"['BRAC', 'TBX19', 'T']"
0_31,0_31,POU,OCT4+SOX2:POU,"['NANOG', 'PO5F1', 'SOX2', 'PO3F1', 'POU5F1']"
0_34,0_34,bHLH,Ebox/CATATG:bHLH,"['ATOH1', 'OLIG3', 'OLIG2', 'BHLHE22', 'OLIG1', 'NEUROD2', 'BHLHE23', 'NEUROG2', 'BHLHA15', 'NEUROG1', 'TWIST2']"
0_40,0_40,homeodomain,HD/22:homeodomain,"['NKX31', 'NKX22', 'NKX25', 'NKX21', 'NKX2-3', 'NKX2-8', 'NKX2-5']"
