,Inhibitory,L5,L3,L1 / Progenitor,Radial glia,Cycling progenitor,L2,Subplate,Microglia,Progenitor,L4
Ebox/CATATG:bHLH,0.10489622831368395,0.1591122006099932,0.15298458959347663,0.20031487030759978,0.03695922718478259,0.08668564694240892,0.18098343138554926,0.12031696036990945,0.07793534096954129,0.0690478303562219,0.1625175863896229
Ebox/CACCTG:bHLH,0.0671290053176672,0.04723840231369703,0.02352099979502205,0.030090752166830097,0.03164850238458056,0.038065404155546594,0.018295340732420548,0.030535281852026915,0.07459289654586125,0.053733872141006195,0.026107697347018025
HD/2:homeodomain,0.2032439358212468,0.047478950479774795,0.2520225066843474,0.40251146901309853,0.3856320588393688,0.44904786953886977,0.22433950527710067,-0.021484813863449612,0.06964408365060983,0.22714474905073823,0.05987338383616989
Ebox/CAGCTG:bHLH,-0.025907516822312494,0.18341232116323275,0.19042241693789416,0.23664883141003806,0.05824804954671322,0.07707734187050343,0.23959282442557125,0.14150209065669977,0.006665709388648288,-0.002336320743805231,0.21336569732230176
TBX/1:TBX,-0.0012000854340346813,0.012135153426156113,0.011024669193009618,0.018849396699223957,0.0053664479893548505,0.016636008445690877,0.012198211983852994,0.009332394053570978,-0.002798399813602575,-0.0005462061892948051,0.003657444567049121
OCT4+SOX2:POU,0.027838242500019435,-0.006188869102596286,0.0075361424793102235,0.007861612168097262,0.02996435524720897,0.03319104901984088,0.0028763582991036154,-0.01485198092322443,0.02428684305103464,0.03647546595358497,-0.0077310946819785795
HD/22:homeodomain,-0.005198203420474635,-0.006900657198858586,-0.006354764362179886,-0.007190062074492223,-0.0011865638236904777,-0.0028535201855384214,-0.008881998607224571,-0.005623409926624003,-0.0022909349278658433,0.0027590087661662566,-0.006441105662895058
N/A,0.05221697181206642,0.05851649145003054,0.04775067157405305,0.05133441482210293,0.027500016571838756,0.03853203643196728,0.06696928880741732,0.058001846809448636,0.03768004597542548,0.034790610426621224,0.07223714655198638
POU/2:POU,0.03499296569295838,0.02856290713679102,0.0353019238864659,0.04110444486326593,0.025567550256235947,0.03328822684307604,0.04652382721028272,0.008832873771368625,0.002245433652406506,0.015355821282225537,0.027528278624885882
RFX/3:RFX,0.11186841813452889,0.12314450803495781,0.11818994340910342,0.14490873900316104,0.16660523027369906,0.15505059639744825,0.13106470944538345,0.10991901036566189,0.1153064029711383,0.15045864201143785,0.12037240511629035
SOX/1:HMG,-0.07497189320022274,0.08193990143094505,0.025396694229012178,0.031867487099866865,-0.07816247030382238,-0.0878632157437281,0.05643706398702346,0.12459966836262605,-0.04947124592797536,-0.11383140832792671,0.09861150518194652
Ebox/CACGTG/1:bHLH,0.003259222842685698,0.004579233157204164,0.004028724944554465,0.0038097918990223746,-0.0008143866637236363,0.0015043436170069685,0.006508337045288133,0.0021503284095927113,0.00038899986995804485,0.0012100307617759296,0.0038970381903735856
NFI/3:NFI,0.007896710595604664,0.017204828466858224,0.01966417401048117,0.02520357477162801,0.01424603080374768,0.015046989114031012,0.019551189464229495,0.017670326913871923,0.0011926773830146014,0.008578893794768458,0.011249923641298
GATA:C2H2,0.0015627746915825348,0.0035286189846150296,-0.006426464967086119,-0.010475937664912277,-0.024008921050283658,-0.020064691093945076,-0.0023241758834856205,0.00229952858547188,-0.00987938143478257,-0.011305500774226727,0.001277133071959685
FOX/4:forkhead,0.0024840815728865945,0.004008812461446563,0.004040824415961735,0.002608860733809921,0.0033199179089964427,0.0031147902413871382,0.006574360548055161,0.00223013004026345,0.006697602893963348,0.0035374591850654722,0.004590995226828466
GRHL:CP2,-0.004350202387600943,-0.000811409909682184,-0.0010184656258581373,0.0010703242474714234,0.0004128593368042247,-6.173233580125799e-05,-0.0024805000129372976,-0.0010095043848936999,-0.000977187670893424,0.00019915303970979687,-0.0013730999477126677
Ebox/CAGATGG:bHLH,0.035962097597050866,-0.006953295731852862,-0.0025387848202456233,0.0037848589444271006,0.01912262326368995,0.014693156124327873,-0.009627776683953648,-0.0037969537351945823,0.029489143392219655,0.024926105281676315,-0.013724581282308034
KLF/SP/2:C2H2,0.011007283672684103,0.004386089478764595,0.006191084682633141,0.0070787217250509816,0.005725069488845755,0.008448297225237147,0.004526345369855679,0.004156601664087029,0.0030619580332616656,0.0055836018817217335,0.002859300976529274
SOX/3:HMG,0.02071506015347658,0.025230950900974596,0.0242972126548393,0.03157148128246031,0.02223438667086099,0.0231298236195196,0.028710268149332856,0.024667944185862493,0.012172579708526933,0.016325316846827524,0.023198904499074746
NFY:NFY,0.006140542983252494,0.007483713446417288,0.006508082347645504,0.009112280430669337,0.0060861000946488275,0.006177919619097147,0.0058862740888995495,0.007305970680371737,0.004111676009011312,0.0050444296250946406,0.003919864367129977
MIES:MEIS,0.014137289840629225,0.007191567628701676,0.0033559553012516884,0.017263506505128912,0.050151220667590764,0.0378753003194065,-0.018280452435716753,0.028199306809761363,0.03106971418393635,0.03791048607204337,0.007202719550506523
CTCF:C2H2,0.004422091821478996,0.008566334364635294,0.005620008954970407,0.0035415862773905946,0.0021780224254744746,0.002673991913611168,0.004854513702308594,0.011897657581618561,0.0022310655682531433,0.0006671628590294988,0.00879525104746926
RFX/2:RFX,0.028808469655500917,0.026369306397085398,0.02565526503283096,0.032140086037881,0.03341471808199394,0.03150206673377479,0.029264979090543288,0.0240539964168323,0.0272575185663047,0.03253147668333115,0.026397255805955287
NR/17:nuclearreceptor,-0.02972228736465561,-0.044894427298311924,-0.029870058537855123,-0.021415091776704025,0.0028283811427557443,-0.0027491836889147856,-0.04989899649372722,-0.04924391407702286,0.009730877589471257,0.0026746018107928647,-0.05885648058223972
CCAAT/CEBP:bZIP,0.036339222978786986,0.027092080755437564,0.030318978876528208,0.034375412851468536,0.036223258743236314,0.03773064997001838,0.035252176529409915,0.01780057886213205,0.0353918420983569,0.03180103678977113,0.02327171470385466
NFI/1:NFI,-0.018772022839269428,0.025961164331220886,0.019762827887674483,0.015370612322272917,-0.006798959379662733,-0.005823009639219184,0.030477928861445378,0.03432500576066132,-0.0017271915591108053,-0.008841472515829268,0.04349037740851582
GMEB2/2:SAND,-0.15258059035782065,-0.15465154395796538,-0.1646877554832813,-0.1788002984549212,-0.12046431582844917,-0.1378315776083307,-0.1743753892321062,-0.12541207455163844,-0.10305224124769868,-0.12285447386311717,-0.14975346050287835
HD/1:homeodomain,0.03151541152257998,-0.0008405427638152427,0.013049824940049262,0.018666302157381902,0.01772971084157837,0.021923571930946253,0.015566219462228558,-0.0041901886592023,0.006683848796735485,0.005802183541861235,0.0018285449782466999
NR/1:nuclearreceptor,-0.013810715770314277,-0.012866621818873495,-0.012013275794678223,-0.011647770967927764,-0.0035755147177559095,-0.0038047461377419853,-0.016388029817292385,-0.012452044914425642,-0.0051644456008009204,-0.005798944646938204,-0.015809674534176484
FOX/5:forkhead,0.0004011168967448394,0.00020920828648527008,-0.00039049827241085546,-0.00044756889124841884,0.001984107059581133,0.0014750652996955852,-0.000847690102982932,0.0008826506315918541,0.0008392443608803054,0.0012787514223678695,4.271996927538725e-05
GC-tract:C2H2,0.027044790859215056,0.013631843687438932,0.0151641658667532,0.01655222470521357,0.01206127777496361,0.013666516889464029,0.017206033464140236,0.013861951882113822,0.022203000693278026,0.017923011182847403,0.01661425851381182
NR/5:nuclearreceptor,-0.003699453578939518,-0.002581935249241617,-0.002924957515259508,-0.003543854276322053,-0.0018339134188690444,-0.0024740040399740602,-0.003494104701064479,-0.002458969376877778,-0.0027293318416923285,-0.0027082605553524833,-0.002132202262409787
MEF2:MADS,0.002306627170778296,-0.07483887045919894,0.004953740551422697,0.020210125049912826,0.0045489469335980035,0.006582577162211512,0.0005522109138966722,-0.07622891363630684,-0.030294115583122522,-0.00032775891574894037,-0.09136798035840753
TBX/2:TBX,0.04017479628123541,-0.01045116870612366,-0.012356892503635294,-0.050612865059439925,0.0146031098577782,-0.035268823350512575,-0.009040723196576094,-0.025622645257880303,0.03571979794004518,0.0367792530047674,0.013308926328495067
POU/3:POU,0.028761387785638047,0.013757573367434073,0.020477515033746514,0.02671295168896416,0.020644825465217488,0.02795952232596857,0.02358344830506211,0.0039148338453119155,0.004954928584944519,0.01568777541313417,0.011976592895847802
TFAP2/2:TFAP,-0.0062020528529509724,-0.006245644166791167,-0.004441214676575155,-0.002615394925363733,0.0006361978323090918,0.00011060825188008567,-0.006163379927852766,-0.005953372349132998,-0.0027713124967776695,-0.0033568946552857627,-0.007469028539887496
STAT/2:STAT,0.007645435459761578,0.005416440124784405,0.006910733979254008,0.0080787556860321,0.004599241740444475,0.005310302267939416,0.007701960505446783,0.00440468351815879,0.007983300770219002,0.0052078934211749585,0.004563681251939683
HD/14:homeodomain,0.0025755868357921043,0.0034103463065896316,0.0035803851321868255,0.003981923714280897,0.0010916982088012505,0.0018973373689203622,0.006209309093556397,-0.00024487022983100395,-0.0014777925841068888,0.0004092255686243464,0.0016038747676808218
IRF/1:IRF,0.004045192386981086,0.006465072205307532,0.004483723449929484,0.0038807117251112985,0.003918317312150788,0.0029761329775398236,0.005936521526844165,0.0049552054958810375,0.006015334131117495,0.004119595751901833,0.007489816697156842
NR/3:nuclearreceptor,-0.00044304950125269196,-0.00022862596203514628,-0.0004402546034086945,-0.0003135280870462416,0.00032337945123478515,-0.00035427640258349973,-0.00040402606122988334,0.00014166209439281374,-0.0006127339972105498,0.00147316069954156,-0.0001462639199747171
SOX/4:HMG,0.0077307320826452966,0.010997027374394426,0.010783300260872071,0.013756536194828804,0.011490628140755068,0.011954934199500946,0.009244928114265477,0.010313871224584378,0.009354962594013867,0.010842943612910208,0.011085058941558678
SNAI2:C2H2,0.013574201221007779,0.02114128376449705,0.007405684766294167,0.0061745799688790425,0.015973399435876803,0.014023312767216509,0.008713833240928528,0.008771857093439327,0.011591314517621262,0.016095439146010904,0.011055731134995543
RFX/1:RFX,0.0030550604939120463,0.002757174903763371,0.0027966367601392735,0.0036139094324138038,0.004981619914490564,0.004220515744998201,0.002842247163323318,0.003098514131427995,0.003043127784141891,0.004308995225385713,0.002726868337775165
P53-like/1:P53L,0.009916023572394841,0.012127292513535877,0.012549732921216389,0.013217958336709752,0.014473366128097749,0.012525533766113392,0.013682599280066836,0.010018239542331057,0.014309803912207522,0.012713992377004095,0.013253932255390342
CREB/ATF/1:bZIP,0.029720242276442602,0.02545023367261437,0.02655622886504434,0.026887591344316956,0.016405483388386044,0.01894133953486596,0.034904110232471836,0.014789927779848657,0.0069471832361563835,0.013933450590710501,0.023848083508582158
BCL6/2:C2H2,0.00033926113428363265,-0.0011562187228799517,-0.00024080478011370804,7.784596023277036e-05,-0.0004607491579781889,-0.0001469431923571265,-0.0003843209824165519,-0.0006797111269339372,3.902083992418031e-06,-0.00019098566219456967,-0.0014787310166233826
PLAG1:C2H2,-7.775815552472173e-06,0.0008095561694490778,0.000239398229512635,-7.631595329271545e-05,-0.0002482665786085399,-0.0003449164811849356,0.000674075769893534,0.00057300933716491,-8.771035209065303e-05,-2.1684566932630593e-05,0.0009525130113563163
HSF:HSF,-4.14295709437085e-05,0.0001940735354604412,3.5450851358801584e-06,-4.771474704628545e-05,-4.30608582295434e-05,-5.3579898914988937e-05,6.816946771346594e-05,0.00016852721347715015,0.00010703141075888804,5.832171200381708e-06,0.00019262901402225248
MAF:bZIP,-0.0003897892429890613,-0.0018570576958689558,-0.001111876180805437,-0.0008026803625441162,-0.0008302911456623752,-0.0010248124089610978,-0.0013980159959222267,-0.0017453483867737101,-0.0016267993679422135,-0.001401837712527205,-0.002662062916548113
NR/12:nuclearreceptor,-0.0009637411563387381,-0.0020155306613209986,-0.0012947123800436566,-0.0028028512861213426,0.0015824580386784924,-0.0028371287583244665,-0.0006499479949581199,-0.0011584056697615695,0.0012959910922947732,-0.000814068050025136,-0.0030434304056446613
HD/6:homeodomain,-0.00015598922156921338,-8.959391636033295e-05,-8.333572727488059e-05,-9.779735786600872e-05,-2.8623576339567888e-05,-7.766460214233395e-05,-9.593851809870265e-05,2.60180355764061e-05,2.2045356571551463e-05,-4.6456199392455994e-05,-4.808906825032403e-06
TBX/4:TBX,0.014237840176637784,-0.006145080460100871,-0.00650683806007407,-0.020999167353879578,0.0019082811036350037,-0.017172484838696152,-0.005128578468515981,-0.012070247052920254,0.012737974675676215,0.010496344538446221,0.0037639317360202954
ZIC:C2H2,0.0054835878731553855,0.0017163630147666374,0.003984497430152079,0.005326808721192502,0.005020828062148963,0.006600581924166638,0.004454307973505003,0.000988292640596666,0.005602171005901053,0.004894112910759369,0.0021171518892910885
Ebox/CACGTG/2:bHLH,-0.00028778232265762993,0.0016750950669173856,0.001187615733239652,0.0011653367196151575,-7.341538540162767e-05,0.0001890198036879917,0.0015210782127129418,0.0010524605252347403,-0.00029405733483953454,-0.00016320699899422054,0.0019872216430567805
ETS/1:ETS,0.0008669615559293196,0.0008843617962434243,0.0004245321327962718,0.0005906262063959745,0.0006731014238164154,0.0004237852235958197,0.00048692491550019813,0.0005961613703254477,-0.00015261480196689567,-0.00015957612111898404,0.0014980579129954
HINFP1/1:C2H2,0.003470263335431934,0.003084824824541369,0.003456169838007568,0.0040083752392823975,0.003018207861007088,0.0032795466276882,0.003415082008965934,0.0030350575344292104,0.0024902742200841508,0.0028735061774828605,0.0031620803208130856
E2F/2:E2F,0.002719364651196744,0.002181255588284865,0.002649711415092532,0.0029943175225585336,0.0016355442678018118,0.002250467351650302,0.0027939639586782926,0.0015662211766269778,0.0021355526340711447,0.0017689683233974003,0.002180289422963669
TEAD:TEA,0.004051422237890206,-0.00012920478596858148,0.0023149964583111487,0.006266849638923967,-0.006710490771701593,-0.0013139507529537464,0.0011529386670548892,-0.0011895069695937207,-0.004280422747645692,-0.005381549597275027,-0.00011128519980647452
HD/17:homeodomain,0.00436853762844539,0.004848099843136023,0.0033182221324580476,0.0026783852496499953,0.0018138399194261485,0.0026964090174746965,0.004881510813905521,0.0027778733922953387,0.0038234351828173706,0.0036527726639925665,0.004496520602196146
ETS/2:ETS,-0.0018816104029938509,-0.0008111174889797343,-0.0014975514266445025,-0.0018521835965392296,-0.00017171572570020096,-0.0008757353167459579,-0.0016710682447564679,-0.0005940479848302655,0.0019393289132949576,0.000171173171747796,0.000249018634293321
HD/12:homeodomain,0.010968674271583613,0.005308151430834668,0.013894199441938848,0.018580735012667687,0.00984114314038002,0.013175733649288389,0.014723336700961763,0.007417903561401073,0.002508086415717672,0.007660586956067813,0.005085988861648987
NR/19:nuclearreceptor,-0.004070193243281015,-0.010330408187548849,-0.005832502913343513,-0.0036232676387589207,0.0033098518826649064,0.0024693319945410705,-0.011783261683595251,-0.010098971463136238,0.006336449153726183,0.003995443409764578,-0.01386239779083922
ARI5A:ARID,0.0023124138487885743,0.0005853938682542,-0.0009392626275483136,-0.0024909822925113776,0.005534439739431181,0.004679732079498429,-0.001912269788446198,0.0003707283672998461,0.0015184951761410856,0.005250314246859488,0.001619393741657734
