,family,gene,mean_expression,correlation,pval
0,KLF/SP/2:C2H2,EGR1,1.3484273,0.7271100415665923,1.7691021404415446e-164
1,KLF/SP/2:C2H2,EGR2,0.6127491,0.6554248809616929,1.6853942104004027e-123
2,KLF/SP/2:C2H2,SP1,0.83909625,0.7188821830134124,3.3913254215380126e-159
3,KLF/SP/2:C2H2,PATZ1,0.6439159,0.683020898212322,8.043335339865978e-138
4,KLF/SP/2:C2H2,SP3,1.110422,0.7977258286360552,1.4946347131973032e-220
5,KLF/SP/2:C2H2,VEZF1,1.1156313,0.855360904294487,4.0032507496725467e-286
6,KLF/SP/2:C2H2,KLF6,1.7518579,0.42297388889016646,1.2128758694858634e-44
7,KLF/SP/2:C2H2,SP4,0.56449306,0.4630236915543001,3.1703926845662094e-54
8,KLF/SP/2:C2H2,WT1,0.41285893,0.6423437159159793,3.1190984450044615e-117
9,KLF/SP/2:C2H2,KLF4,0.85116667,0.5874542328098875,1.1633220892026593e-93
10,KLF/SP/2:C2H2,SP2,0.6541322,0.6798751029398051,3.655342109232415e-136
11,KLF/SP/2:C2H2,KLF5,0.40135327,0.3381651031298236,3.5666327580423137e-28
12,KLF/SP/2:C2H2,KLF3,1.2118808,0.5229046809961483,3.5525017022976354e-71
13,KLF/SP/2:C2H2,SALL4,0.1306345,0.670357822976515,4.166227421875972e-131
14,KLF/SP/2:C2H2,KLF12,0.7508192,0.5793445234038437,1.3890634480344763e-90
15,KLF/SP/2:C2H2,RREB1,0.87892145,0.6547760820538183,3.152752105910367e-123
0,ETS/1:ETS,ELF1,1.3515717,0.717422810646879,1.5468608087972853e-157
1,ETS/1:ETS,ELF2,1.1404136,0.4667716571471919,1.2573530407893493e-54
2,ETS/1:ETS,GABPA,0.86671615,0.4308473203228284,4.307766480266895e-46
3,ETS/1:ETS,ELK1,0.65687424,0.27287497474076966,2.7234865396485195e-18
4,ETS/1:ETS,ELK4,0.9724855,0.2857908017128823,5.717055770639861e-20
5,ETS/1:ETS,ETV1,0.4300473,0.033889371533452464,0.3317182098923702
6,ETS/1:ETS,EHF,0.15098047,-0.020413965899385877,0.5190528632004245
7,ETS/1:ETS,ELF4,0.33196345,0.45004568701260333,1.7531730785800856e-50
8,ETS/1:ETS,ELF3,0.98899907,-0.24359378094633177,9.13327867172829e-15
9,ETS/1:ETS,ELF5,0.13649973,-0.025015074993560864,0.47462478166483785
10,ETS/1:ETS,ETV6,0.73257715,0.35148807596988896,3.961943206964754e-30
11,ETS/1:ETS,ELK3,0.7339346,0.4314246829282672,3.567032373901637e-46
12,ETS/1:ETS,ZBTB7A,0.9092977,0.44372577588973333,5.159037161499543e-49
13,ETS/1:ETS,ETV4,0.34044906,0.07364922831080482,0.02604806089416078
14,ETS/1:ETS,ERG,0.2387688,-0.024175090130444752,0.46733656981104665
15,ETS/1:ETS,ETS1,0.88984036,0.4953918983113453,2.5296655629870543e-62
16,ETS/1:ETS,ETV5,0.73393625,0.09058413533004384,0.005804392382735073
17,ETS/1:ETS,ETV3,0.7204945,0.5159680778887538,2.8185040422807183e-68
18,ETS/1:ETS,FLI1,0.71793884,0.6010459495463494,3.1753666235711507e-98
19,ETS/1:ETS,ETV2,0.5296094,-0.03397011062128929,0.34981485602322976
20,ETS/1:ETS,ERF,0.9541649,0.10947033591928527,0.0007869507396386673
0,GC-tract:C2H2,KLF15,0.3504834,-0.41469746567988025,9.623303574735979e-43
1,GC-tract:C2H2,MAZ,1.0307726,0.6260256377176671,1.598022810916986e-109
2,GC-tract:C2H2,TAF1,0.72298753,0.6470988658148189,5.148171356612176e-119
3,GC-tract:C2H2,THAP1,0.8946151,0.23960500758639247,1.595412570546674e-14
4,GC-tract:C2H2,ZNF263,0.68449295,0.5645778466278405,4.9204957326893743e-85
0,Ebox/CACCTG:bHLH,SNAI1,0.5765422,-0.8216507221554998,4.886122133813746e-245
1,Ebox/CACCTG:bHLH,SNAI2,0.5625737,-0.8030485165967509,4.7241243487504496e-226
2,Ebox/CACCTG:bHLH,TCF3,0.65706426,-0.7447834708418661,2.251821467061406e-177
3,Ebox/CACCTG:bHLH,ID4,0.7291427,-0.25849621285580776,1.157629113931949e-16
4,Ebox/CACCTG:bHLH,TCF4,1.0698562,-0.8014467806898545,1.152956657298431e-224
5,Ebox/CACCTG:bHLH,ZEB1,0.72034305,-0.762605470242065,8.99449714518481e-191
6,Ebox/CACCTG:bHLH,MESP1,0.4242301,0.07454380138671393,0.018392783981446392
