,motif,family,subfamily,family_genes
0_18,0_18,C2H2,KLF/SP/2:C2H2,"['EGR1', 'EGR2', 'ZBT17', 'SP1', 'PATZ1', 'SP3', 'VEZF1', 'KLF6', 'SP4', 'WT1', 'KLF4', 'SP5', 'SP2', 'ZN281', 'KLF5', 'KLF3', 'SALL4', 'KLF1', 'KLF12', 'RREB1']"
0_28,0_28,ETS,ETS/1:ETS,"['ELF1', 'ELF2', 'GABPA', 'ELK1', 'ELK4', 'ETV1', 'EHF', 'ELF4', 'ELF3', 'ELF5', 'ETV6', 'ELK3', 'ZBTB7A', 'FEV', 'ETV4', 'ERG', 'ETS1', 'ETV5', 'ETV3', 'FLI1', 'ETV2', 'SPDEF', 'ERF']"
0_35,0_35,ETS,ETS/1:ETS,"['ELF1', 'ELF2', 'GABPA', 'ELK1', 'ELK4', 'ETV1', 'EHF', 'ELF4', 'ELF3', 'ELF5', 'ETV6', 'ELK3', 'ZBTB7A', 'FEV', 'ETV4', 'ERG', 'ETS1', 'ETV5', 'ETV3', 'FLI1', 'ETV2', 'SPDEF', 'ERF']"
0_40,0_40,C2H2,KLF/SP/2:C2H2,"['EGR1', 'EGR2', 'ZBT17', 'SP1', 'PATZ1', 'SP3', 'VEZF1', 'KLF6', 'SP4', 'WT1', 'KLF4', 'SP5', 'SP2', 'ZN281', 'KLF5', 'KLF3', 'SALL4', 'KLF1', 'KLF12', 'RREB1']"
0_53,0_53,C2H2,GC-tract:C2H2,"['KLF15', 'MAZ', 'ZN467', 'ZN263', 'ZN770', 'ZN341', 'TAF1', 'ZSC22', 'THAP1', 'ZNF263']"
0_63,0_63,bHLH,Ebox/CACCTG:bHLH,"['SNAI1', 'HTF4', 'ITF2', 'SNAI2', 'FIGLA', 'TCF3', 'ID4', 'TCF4', 'ZEB1', 'MESP1']"
0_64,0_64,N/A,N/A,[]
0_68,0_68,ETS,ETS/2:ETS,"['EHF', 'ELF3', 'ELF5', 'ERG', 'ETV2', 'ELF2', 'ETV5', 'ETS1', 'FLI1', 'ELK4', 'ETV4', 'ETV6', 'ETS2', 'FEV']"
0_70,0_70,E2F,E2F/2:E2F,"['E2F1', 'TFDP1', 'E2F4', 'E2F6', 'E2F3', 'E2F7']"
0_74,0_74,C2H2,ZNF143:C2H2,"['ZNF143', 'IKZF1', 'ZNF76', 'ZN143', 'THA11']"
0_80,0_80,N/A,N/A,[]
0_81,0_81,C2H2,YY1:C2H2,"['TYY1', 'ZFP42', 'YY1', 'YY2']"
0_94,0_94,ETS,ETS/1:ETS,"['ELF1', 'ELF2', 'GABPA', 'ELK1', 'ELK4', 'ETV1', 'EHF', 'ELF4', 'ELF3', 'ELF5', 'ETV6', 'ELK3', 'ZBTB7A', 'FEV', 'ETV4', 'ERG', 'ETS1', 'ETV5', 'ETV3', 'FLI1', 'ETV2', 'SPDEF', 'ERF']"
0_104,0_104,ETS,ETS/2:ETS,"['EHF', 'ELF3', 'ELF5', 'ERG', 'ETV2', 'ELF2', 'ETV5', 'ETS1', 'FLI1', 'ELK4', 'ETV4', 'ETV6', 'ETS2', 'FEV']"
0_105,0_105,bHLH,Ebox/CACCTG:bHLH,"['SNAI1', 'HTF4', 'ITF2', 'SNAI2', 'FIGLA', 'TCF3', 'ID4', 'TCF4', 'ZEB1', 'MESP1']"
0_122,0_122,ETS,ETS/1:ETS,"['ELF1', 'ELF2', 'GABPA', 'ELK1', 'ELK4', 'ETV1', 'EHF', 'ELF4', 'ELF3', 'ELF5', 'ETV6', 'ELK3', 'ZBTB7A', 'FEV', 'ETV4', 'ERG', 'ETS1', 'ETV5', 'ETV3', 'FLI1', 'ETV2', 'SPDEF', 'ERF']"
0_154,0_154,ETS,ETS/1:ETS,"['ELF1', 'ELF2', 'GABPA', 'ELK1', 'ELK4', 'ETV1', 'EHF', 'ELF4', 'ELF3', 'ELF5', 'ETV6', 'ELK3', 'ZBTB7A', 'FEV', 'ETV4', 'ERG', 'ETS1', 'ETV5', 'ETV3', 'FLI1', 'ETV2', 'SPDEF', 'ERF']"
0_164,0_164,C2H2,CTCF:C2H2,"['CTCFL', 'CTCF']"
0_181,0_181,C2H2,KLF/SP/2:C2H2,"['EGR1', 'EGR2', 'ZBT17', 'SP1', 'PATZ1', 'SP3', 'VEZF1', 'KLF6', 'SP4', 'WT1', 'KLF4', 'SP5', 'SP2', 'ZN281', 'KLF5', 'KLF3', 'SALL4', 'KLF1', 'KLF12', 'RREB1']"
0_185,0_185,C2H2,CTCF:C2H2,"['CTCFL', 'CTCF']"
0_190,0_190,ETS,ETS/1:ETS,"['ELF1', 'ELF2', 'GABPA', 'ELK1', 'ELK4', 'ETV1', 'EHF', 'ELF4', 'ELF3', 'ELF5', 'ETV6', 'ELK3', 'ZBTB7A', 'FEV', 'ETV4', 'ERG', 'ETS1', 'ETV5', 'ETV3', 'FLI1', 'ETV2', 'SPDEF', 'ERF']"
0_208,0_208,C2H2,KLF/SP/2:C2H2,"['EGR1', 'EGR2', 'ZBT17', 'SP1', 'PATZ1', 'SP3', 'VEZF1', 'KLF6', 'SP4', 'WT1', 'KLF4', 'SP5', 'SP2', 'ZN281', 'KLF5', 'KLF3', 'SALL4', 'KLF1', 'KLF12', 'RREB1']"
0_209,0_209,CNC-bZIP,NRF1:CNC-bZIP,['NRF1']
0_212,0_212,E2F,E2F/2:E2F,"['E2F1', 'TFDP1', 'E2F4', 'E2F6', 'E2F3', 'E2F7']"
0_214,0_214,C2H2,YY1:C2H2,"['TYY1', 'ZFP42', 'YY1', 'YY2']"
0_227,0_227,C2H2,SNAI2:C2H2,"['ZEB1', 'SNAI2']"
0_229,0_229,C2H2,YY1:C2H2,"['TYY1', 'ZFP42', 'YY1', 'YY2']"
0_233,0_233,E2F,E2F/2:E2F,"['E2F1', 'TFDP1', 'E2F4', 'E2F6', 'E2F3', 'E2F7']"
0_235,0_235,C2H2,YY1:C2H2,"['TYY1', 'ZFP42', 'YY1', 'YY2']"
0_245,0_245,C2H2,YY1:C2H2,"['TYY1', 'ZFP42', 'YY1', 'YY2']"
0_284,0_284,bHLH,Ebox/CAGATGG:bHLH,"['ATOH1', 'NDF1', 'NGN2', 'NDF2', 'OLIG2', 'PTF1A', 'TWST1', 'LYL1', 'MSGN1', 'NEUROD1', 'TAL1']"
0_307,0_307,ETS,ETS/1:ETS,"['ELF1', 'ELF2', 'GABPA', 'ELK1', 'ELK4', 'ETV1', 'EHF', 'ELF4', 'ELF3', 'ELF5', 'ETV6', 'ELK3', 'ZBTB7A', 'FEV', 'ETV4', 'ERG', 'ETS1', 'ETV5', 'ETV3', 'FLI1', 'ETV2', 'SPDEF', 'ERF']"
