,Stroma,Nephron progenitor,Endothelium,Nephron epithelium,Immune
KLF/SP/2:C2H2,0.8435690585266832,0.8367599942410031,0.7242643922021755,0.5386664455946579,0.6273575835615951
ETS/1:ETS,0.6432786897180984,0.6424636282270962,0.5742599325542929,0.5515158625815327,0.7938719050134915
GC-tract:C2H2,0.07761789648136795,0.029189687776397476,0.04098499140552156,-0.06364433298318765,-0.016691938392715
Ebox/CACCTG:bHLH,-0.44303813634940203,-0.34544645508765065,-0.36612066064286686,-0.20480499078257236,-0.29547286182731164
N/A,0.1320566190237434,0.13500430292671825,0.12583097744917726,0.08275742488891086,0.0995813795279004
ETS/2:ETS,0.5879948932228862,0.5833406479691983,0.5548384442661719,0.5004451847339045,0.7082682519610419
E2F/2:E2F,0.10963238322583828,0.11813394538366402,0.04734665371242211,0.005228558489234243,0.006904494695573214
ZNF143:C2H2,0.030607272520479883,0.03306255045418556,0.03150654911976196,0.026436405370882002,0.02838769690050734
YY1:C2H2,1.12226631489184,1.1618448616609611,0.9795766119938402,0.8989639702534449,1.0527986754343717
CTCF:C2H2,-0.08197786508801662,-0.07714158395260426,-0.055575242921571,-0.08037402045969905,-0.07074085001134199
NRF1:CNC-bZIP,0.29948087854354793,0.34271889159745006,0.20039353311905608,0.24925076427387827,0.2380378088349313
SNAI2:C2H2,-0.09284579840700911,-0.06878823890283106,-0.07251139844361797,-0.031313699050891194,-0.058717986438176946
Ebox/CAGATGG:bHLH,-0.06583479959517717,-0.05773738807855317,-0.05572399830011881,-0.04007659217331912,-0.04455970981465853
Ebox/CAGCTG:bHLH,-0.21129271653455148,-0.19336098003489305,-0.16558705745756333,-0.12322033279620362,-0.14970482076772845
ZFX:C2H2,0.11504344052407439,0.12105452647987949,0.10764751607532756,0.10844596051979362,0.10477275549086026
ZIC/2:C2H2,0.0043455499450454444,0.002527619276700604,0.0035974350623715285,-0.0006982074930063427,0.002078639538517551
SPI:ETS,0.016216007221206544,0.013326229386923705,0.015510736584918063,0.010111329906252693,0.018145744197311846
IRF/1:IRF,0.040686977349827534,0.04156953739245812,0.03573951223607104,0.03098668011304411,0.03492707219878762
GLI:C2H2,0.02910058710284134,0.02878583334047868,0.024896133376337462,0.010648954604037683,0.013284063795748615
KAISO:C2H2,0.017364627891220154,0.018109342301837528,0.012694001355394243,0.014776788206464475,0.01286936708191345
TFAP2/2:TFAP,-0.02510678959723156,-0.025882525522868387,-0.022378761167348556,-0.017945155336297588,-0.023239817972624106
STAT/2:STAT,0.01575746523175279,0.015394368404612089,0.011546282033908041,0.012844451606605932,0.012542837861462668
Ebox/CACGTG/1:bHLH,-0.04014189045842881,-0.04007810204250116,-0.029606907832489985,-0.017282029685903533,-0.023293851587601666
CREB/ATF/1:bZIP,0.05473201748671528,0.0581713659370927,0.0555883691574047,0.05965941718393172,0.0713558675944421
Ebox/CACGTG/2:bHLH,-0.012033801882267546,-0.0027104904145324746,-0.005438500405321127,0.001749018807934238,-0.002836127382307165
HIC/1:C2H2,-0.0019661737366250772,-0.002767839336481232,-0.0017957154619355992,-0.002931255754844811,-0.002176302440863423
