,Reproducibility
KLF/SP/2:C2H2,1.0
ETS/1:ETS,1.0
GC-tract:C2H2,1.0
Ebox/CACCTG:bHLH,0.9
N/A,1.0
ETS/2:ETS,1.0
E2F/2:E2F,1.0
ZNF143:C2H2,0.3
YY1:C2H2,1.0
CTCF:C2H2,0.4
NRF1:CNC-bZIP,1.0
SNAI2:C2H2,0.6
Ebox/CAGATGG:bHLH,0.4
Ebox/CAGCTG:bHLH,0.8
ZFX:C2H2,1.0
ZIC/2:C2H2,0.2
SPI:ETS,0.4
IRF/1:IRF,0.6
GLI:C2H2,0.8
KAISO:C2H2,0.3
TFAP2/2:TFAP,0.5
STAT/2:STAT,0.2
Ebox/CACGTG/1:bHLH,0.7
CREB/ATF/1:bZIP,0.6
Ebox/CACGTG/2:bHLH,0.4
HIC/1:C2H2,0.1
NR/17:nuclearreceptor,0.4
RFX/2:RFX,0.1
KLF/SP/1:C2H2,0.2
NR/5:nuclearreceptor,0.1
HD/17:homeodomain,0.1
AP1/2:bZIP,0.1
FOX/4:forkhead,0.1
POU/3:POU,0.1
EGR:C2H2,0.2
SMAD:SMAD,0.1
CCAAT/CEBP:bZIP,0.1
HD/6:homeodomain,0.1
HD/2:homeodomain,0.1
NR/1:nuclearreceptor,0.1
HINFP1/1:C2H2,0.1
NFY:NFY,0.1
RFX/3:RFX,0.1
NR/7:nuclearreceptor,0.1
P53-like/1:P53L,0.1
CREB/ATF/2:bZIP,0.1
NR/16:nuclearreceptor,0.1
