,agg_scores,exp_scores,cell_type_category
pseudobulk_0,0.3197165322360969,1.1274216,Stroma
pseudobulk_1,0.3508225471718382,0.88044345,Stroma
pseudobulk_2,0.3354903027809724,1.0853114,Stroma
pseudobulk_3,0.3217714951093888,1.0699979,Stroma
pseudobulk_4,0.18212534954511744,0.5102861,Nephron progenitor
pseudobulk_5,0.21774194470998406,0.0,Stroma
pseudobulk_6,0.3161541982895257,1.1654427,Stroma
pseudobulk_7,0.31247642827948535,1.1598811,Stroma
pseudobulk_8,0.2898253140775082,1.2730414,Stroma
pseudobulk_9,0.28721940168328497,1.1749786,Stroma
pseudobulk_10,0.30528499128220343,1.1974696,Stroma
pseudobulk_11,0.2802078183642146,1.070198,Stroma
pseudobulk_12,0.3232591742674812,1.1447351,Stroma
pseudobulk_13,0.2225811780898007,0.0,Stroma
pseudobulk_14,0.24914808882869416,1.4267216,Stroma
pseudobulk_15,0.21045828125236168,0.0,Stroma
pseudobulk_16,0.21469043391264714,0.55496275,Stroma
pseudobulk_17,0.3103994273211837,1.2287779,Stroma
pseudobulk_18,0.31076409832077123,1.3287791,Stroma
pseudobulk_19,0.29645175596448026,1.2454013,Stroma
pseudobulk_20,0.3062310894545173,1.2962459,Stroma
pseudobulk_21,0.2917486916643995,1.3367102,Stroma
pseudobulk_22,0.3038590237689192,1.321728,Stroma
pseudobulk_23,0.2091452421323496,1.2231965,Stroma
pseudobulk_24,0.3330370698677076,1.1891236,Stroma
pseudobulk_25,0.29598341459218586,1.0278958,Stroma
pseudobulk_26,0.3140787422862457,1.1732547,Stroma
pseudobulk_27,0.24704289581795946,1.2292103,Stroma
pseudobulk_28,0.3039883208734265,0.9457623,Stroma
pseudobulk_29,0.3027643168630143,1.1673232,Stroma
pseudobulk_30,0.24832044058681482,1.2817675,Stroma
pseudobulk_31,0.29256207297120684,1.0849708,Stroma
pseudobulk_32,0.3112504844138688,1.0628989,Stroma
pseudobulk_33,0.2507067070188337,1.2484596,Stroma
pseudobulk_34,0.2534458796792431,1.251966,Stroma
pseudobulk_35,0.2669567985459173,0.9469555,Stroma
pseudobulk_36,0.2755948832833796,0.9659245,Stroma
pseudobulk_37,0.3161355932773841,1.1806335,Stroma
pseudobulk_38,0.28652408885512115,0.902761,Stroma
pseudobulk_39,0.2464756785892815,0.81731176,Stroma
pseudobulk_40,0.2790453415615261,1.0163051,Stroma
pseudobulk_41,0.2639847210429524,0.8965273,Stroma
pseudobulk_42,0.2887423831641456,1.1839713,Stroma
pseudobulk_43,0.2827127674162253,1.0308911,Stroma
pseudobulk_44,0.2771455499883869,0.9155746,Stroma
pseudobulk_45,0.2619668423271516,0.9953097,Nephron progenitor
pseudobulk_46,0.2864682158075378,1.3024104,Stroma
