,agg_scores,exp_scores,cell_type_category
pseudobulk_0,0.4767455670175849,0.5591091,Stroma
pseudobulk_1,0.4956183224132329,0.0,Stroma
pseudobulk_2,0.4865156425923905,0.33214465,Stroma
pseudobulk_3,0.47903687359018593,0.47605136,Stroma
pseudobulk_4,0.3689948032911133,0.0,Nephron progenitor
pseudobulk_5,0.42023238480689146,0.46589577,Stroma
pseudobulk_6,0.47290491806597523,0.4022369,Stroma
pseudobulk_7,0.45860282144496667,0.50694734,Stroma
pseudobulk_8,0.46507770868629195,0.518062,Stroma
pseudobulk_9,0.46603917676497647,0.6720357,Stroma
pseudobulk_10,0.47320975076240457,0.5289588,Stroma
pseudobulk_11,0.4570807883651436,0.44280145,Stroma
pseudobulk_12,0.47665317634186605,0.20906301,Stroma
pseudobulk_13,0.4277403898367962,0.46589577,Stroma
pseudobulk_14,0.4072313889471356,0.14759895,Stroma
pseudobulk_15,0.4269267253932834,0.46589577,Stroma
pseudobulk_16,0.4156988259687719,0.46589577,Stroma
pseudobulk_17,0.4702404889269441,0.63671654,Stroma
pseudobulk_18,0.48188253759678557,0.69041383,Stroma
pseudobulk_19,0.4696514196630201,0.35087058,Stroma
pseudobulk_20,0.46442632702109804,0.6085743,Stroma
pseudobulk_21,0.463444636909568,0.54677457,Stroma
pseudobulk_22,0.44478490766072953,0.5782675,Stroma
pseudobulk_23,0.39544763827432994,0.28368437,Stroma
pseudobulk_24,0.41791177969872395,0.0,Stroma
pseudobulk_25,0.43187353454942135,0.0,Stroma
pseudobulk_26,0.4619561565511927,0.26465312,Stroma
pseudobulk_27,0.4218081024745254,0.65679663,Stroma
pseudobulk_28,0.45948727527058636,0.15716009,Stroma
pseudobulk_29,0.4465269050036761,0.26465312,Stroma
pseudobulk_30,0.42067818867996826,0.3690446,Stroma
pseudobulk_31,0.4578699887864528,0.0,Stroma
pseudobulk_32,0.4747447934253984,0.09019262,Stroma
pseudobulk_33,0.4202101752377948,0.56909895,Stroma
pseudobulk_34,0.4197032350037914,0.56909895,Stroma
pseudobulk_35,0.4197240068864372,0.0,Stroma
pseudobulk_36,0.4592317722242533,0.7451022,Stroma
pseudobulk_37,0.4701913637063593,0.56526506,Stroma
pseudobulk_38,0.45040756780690255,0.7631471,Stroma
pseudobulk_39,0.4341389855040886,0.0,Stroma
pseudobulk_40,0.43654040730640636,0.36481524,Stroma
pseudobulk_41,0.41310076605486407,0.46429273,Stroma
pseudobulk_42,0.45227432809531043,0.4366859,Stroma
pseudobulk_43,0.4800949744142113,0.29235843,Stroma
pseudobulk_44,0.43785966519930875,0.46429273,Stroma
pseudobulk_45,0.483741979591141,0.71483886,Nephron progenitor
pseudobulk_46,0.47799973658771616,0.3840701,Stroma
pseudobulk_47,0.441618470370482,0.0,Stroma
pseudobulk_48,0.38396085348733466,0.3039581,Stroma
pseudobulk_49,0.4751580125056346,0.34385636,Stroma
pseudobulk_50,0.43225628766537894,0.36481524,Stroma
pseudobulk_51,0.46943564531170184,0.42703718,Stroma
