,agg_scores,exp_scores,cell_type_category
pseudobulk_0,0.037446452886796995,1.6910578,Stroma
pseudobulk_1,0.03884887683670919,1.6797591,Stroma
pseudobulk_2,0.038289900985546,1.7180386,Stroma
pseudobulk_3,0.0359746780013661,1.6715103,Stroma
pseudobulk_4,0.0361372939078132,1.2645203,Nephron progenitor
pseudobulk_5,0.0346337967202993,1.3929157,Stroma
pseudobulk_6,0.036247132578864104,1.6632077,Stroma
pseudobulk_7,0.0426537434104825,1.865727,Stroma
pseudobulk_8,0.0437388563877896,1.6946893,Stroma
pseudobulk_9,0.04189504467649321,1.8041352,Stroma
pseudobulk_10,0.0441583289066325,1.9897732,Stroma
pseudobulk_11,0.044299650995526,1.8247064,Stroma
pseudobulk_12,0.041566233208868104,1.8919147,Stroma
pseudobulk_13,0.0384815354482265,1.4903873,Stroma
pseudobulk_14,0.042513371095992104,1.8055329,Stroma
pseudobulk_15,0.036172623746096505,1.3833296,Stroma
pseudobulk_16,0.039641275245230194,1.3599449,Stroma
pseudobulk_17,0.046268208301625605,1.8870022,Stroma
pseudobulk_18,0.046050079981796097,1.9147885,Stroma
pseudobulk_19,0.044352179334964194,1.7418444,Stroma
pseudobulk_20,0.042426582949701204,1.7437516,Stroma
pseudobulk_21,0.04200492682866701,1.7242823,Stroma
pseudobulk_22,0.0432011779630551,1.7657071,Stroma
pseudobulk_23,0.035181369632482,1.2820516,Stroma
pseudobulk_24,0.0359660246176639,1.8064063,Stroma
pseudobulk_25,0.03804490051697881,1.7578437,Stroma
pseudobulk_26,0.0383278607041569,1.6786541,Stroma
pseudobulk_27,0.037929391488432405,1.3874304,Stroma
pseudobulk_28,0.040551761165261,1.5951738,Stroma
pseudobulk_29,0.0392655825708057,1.7263898,Stroma
pseudobulk_30,0.0357273939298461,1.3501797,Stroma
pseudobulk_31,0.038831509707960704,1.5706164,Stroma
pseudobulk_32,0.0428423254052171,1.7233192,Stroma
pseudobulk_33,0.0375374590512359,1.3131207,Stroma
pseudobulk_34,0.037193484546150395,1.3832229,Stroma
pseudobulk_35,0.03792744100792281,1.764519,Stroma
pseudobulk_36,0.0415451462613414,1.5753384,Stroma
pseudobulk_37,0.040010182652621795,1.713764,Stroma
pseudobulk_38,0.0425886372104283,1.6897626,Stroma
pseudobulk_39,0.034386686340439704,1.3481423,Stroma
