,agg_scores,exp_scores,cell_type_category
pseudobulk_0,0.3197165322360969,1.4085813,Stroma
pseudobulk_1,0.3508225471718382,1.448517,Stroma
pseudobulk_2,0.3354903027809724,1.343487,Stroma
pseudobulk_3,0.3217714951093888,1.3989075,Stroma
pseudobulk_4,0.18212534954511744,0.5772344,Nephron progenitor
pseudobulk_5,0.21774194470998406,1.1187701,Stroma
pseudobulk_6,0.3161541982895257,1.4521381,Stroma
pseudobulk_7,0.31247642827948535,1.5081931,Stroma
pseudobulk_8,0.2898253140775082,1.4109483,Stroma
pseudobulk_9,0.28721940168328497,1.3268176,Stroma
pseudobulk_10,0.30528499128220343,0.8881002,Stroma
pseudobulk_11,0.2802078183642146,1.251575,Stroma
pseudobulk_12,0.3232591742674812,1.4537868,Stroma
pseudobulk_13,0.2225811780898007,1.0371313,Stroma
pseudobulk_14,0.24914808882869416,0.43707526,Stroma
pseudobulk_15,0.21045828125236168,1.0405054,Stroma
pseudobulk_16,0.21469043391264714,0.99698836,Stroma
pseudobulk_17,0.3103994273211837,1.386972,Stroma
pseudobulk_18,0.31076409832077123,1.4236199,Stroma
pseudobulk_19,0.29645175596448026,1.4810375,Stroma
pseudobulk_20,0.3062310894545173,1.569133,Stroma
pseudobulk_21,0.2917486916643995,1.4673686,Stroma
pseudobulk_22,0.3038590237689192,1.0712959,Stroma
pseudobulk_23,0.2091452421323496,0.6053881,Stroma
pseudobulk_24,0.3330370698677076,0.86234725,Stroma
pseudobulk_25,0.29598341459218586,1.139457,Stroma
pseudobulk_26,0.3140787422862457,1.286479,Stroma
pseudobulk_27,0.24704289581795946,0.16542418,Stroma
pseudobulk_28,0.3039883208734265,1.2871529,Stroma
pseudobulk_29,0.3027643168630143,1.181138,Stroma
pseudobulk_30,0.24832044058681482,0.5844773,Stroma
pseudobulk_31,0.29256207297120684,1.1386987,Stroma
pseudobulk_32,0.3112504844138688,1.3163185,Stroma
pseudobulk_33,0.2507067070188337,0.47769997,Stroma
pseudobulk_34,0.2534458796792431,0.58447725,Stroma
pseudobulk_35,0.2669567985459173,0.31028184,Stroma
pseudobulk_36,0.2755948832833796,0.93339837,Stroma
pseudobulk_37,0.3161355932773841,0.9249092,Stroma
pseudobulk_38,0.28652408885512115,0.7698825,Stroma
pseudobulk_39,0.2464756785892815,1.297116,Stroma
pseudobulk_40,0.2790453415615261,1.2749964,Stroma
pseudobulk_41,0.2639847210429524,0.2949427,Stroma
pseudobulk_42,0.2887423831641456,1.4458501,Stroma
pseudobulk_43,0.2827127674162253,1.2659065,Stroma
pseudobulk_44,0.2771455499883869,0.6603577,Stroma
pseudobulk_45,0.2619668423271516,0.7261378,Nephron progenitor
pseudobulk_46,0.2864682158075378,1.320192,Stroma
pseudobulk_47,0.24865461322400753,1.1892078,Stroma
pseudobulk_48,0.1977524380704207,0.6438894,Stroma
pseudobulk_49,0.2757742635065876,1.3722937,Stroma
pseudobulk_50,0.2582654662326049,1.1499273,Stroma
pseudobulk_51,0.3444325129496169,1.2584121,Stroma
pseudobulk_52,0.32815239164888305,0.70007604,Stroma
pseudobulk_53,0.3239972580159098,0.96518326,Stroma
pseudobulk_54,0.33288336751681646,1.2493768,Stroma
pseudobulk_55,0.329956840850266,1.1587524,Stroma
pseudobulk_56,0.32340426647082005,1.293806,Stroma
pseudobulk_57,0.31693778879101486,0.9601186,Stroma
pseudobulk_58,0.32380079759027014,1.1823039,Stroma
pseudobulk_59,0.31539639680944903,1.1462132,Stroma
pseudobulk_60,0.3188012824851156,1.4734297,Stroma
pseudobulk_61,0.28116658780531356,1.5245115,Stroma
pseudobulk_62,0.2893833699556339,1.6793666,Stroma
pseudobulk_63,0.34936924574391165,1.173047,Stroma
pseudobulk_64,0.25785203777130283,0.897758,Stroma
pseudobulk_65,0.3180474398216656,1.4069988,Stroma
pseudobulk_66,0.315982455534624,1.2481873,Stroma
pseudobulk_67,0.24727012383022337,0.0,Stroma
pseudobulk_68,0.3015870162457549,1.5528127,Stroma
pseudobulk_69,0.32108165947789263,1.0585301,Stroma
pseudobulk_70,0.32400101939396525,0.50539804,Stroma
pseudobulk_71,0.33381916430918024,0.6727152,Stroma
pseudobulk_72,0.30863455348046875,1.245108,Stroma
pseudobulk_73,0.34794679056255284,0.9615453,Stroma
pseudobulk_74,0.35879800487006025,0.8297131,Stroma
pseudobulk_75,0.32756061735069847,0.19359525,Stroma
pseudobulk_76,0.32099240857541766,1.638882,Stroma
pseudobulk_77,0.30884157146906804,1.4724076,Stroma
pseudobulk_78,0.3225861115515197,1.485474,Stroma
pseudobulk_79,0.2942858075367173,0.86680055,Stroma
pseudobulk_80,0.3424301941631997,1.3886659,Stroma
pseudobulk_81,0.25726690585837736,0.0,Stroma
pseudobulk_82,0.3191785807938404,1.465844,Stroma
pseudobulk_83,0.3056073776352231,1.4370986,Stroma
pseudobulk_84,0.17774053489120054,1.3385841,Endothelium
pseudobulk_85,0.2682509472981818,1.7763213,Endothelium
pseudobulk_86,0.24375533976582336,1.546188,Endothelium
pseudobulk_87,0.2834633568785815,1.781921,Endothelium
pseudobulk_88,0.2813449512921236,1.7962234,Endothelium
pseudobulk_89,0.19599373589160038,1.4038055,Endothelium
pseudobulk_90,0.28139225369696097,1.6118177,Endothelium
pseudobulk_91,0.24804390062216103,1.5614634,Endothelium
pseudobulk_92,0.24007852302581192,1.480487,Endothelium
pseudobulk_93,0.25140352761022566,1.4872018,Endothelium
pseudobulk_94,0.24626846565566107,1.4057329,Endothelium
pseudobulk_95,0.24877550809335244,1.5630499,Endothelium
pseudobulk_96,0.24681868738447288,1.5341967,Endothelium
pseudobulk_97,0.25098746766658725,1.5334425,Endothelium
pseudobulk_98,0.25689715729214846,1.583736,Endothelium
pseudobulk_99,0.2565957210249052,1.6487373,Endothelium
pseudobulk_100,0.24311058870414232,1.4468135,Endothelium
pseudobulk_101,0.22433235016209008,1.1385998,Nephron epithelium
pseudobulk_102,0.27854078106539876,1.6830273,Endothelium
pseudobulk_103,0.2756129140152736,1.7559271,Endothelium
pseudobulk_104,0.272809031392147,1.6336123,Endothelium
pseudobulk_105,0.3357655622121138,0.12316688,Nephron progenitor
pseudobulk_106,0.31459776716366517,0.17223413,Nephron progenitor
pseudobulk_107,0.35231423027758246,0.53624874,Nephron progenitor
pseudobulk_108,0.2412327327111509,0.0,Nephron progenitor
pseudobulk_109,0.21406621682360913,1.2028818,Stroma
pseudobulk_110,0.3070230790214593,0.30210358,Nephron progenitor
pseudobulk_111,0.3142194680293044,0.1808532,Nephron progenitor
pseudobulk_112,0.3437007213460572,0.60822845,Nephron progenitor
pseudobulk_113,0.24665393341852646,0.0,Nephron epithelium
pseudobulk_114,0.34855316337529696,0.53624874,Nephron progenitor
pseudobulk_115,0.29090994911773665,0.2668491,Nephron progenitor
pseudobulk_116,0.3198398377176057,0.47330377,Nephron progenitor
pseudobulk_117,0.3239225048524302,0.40655524,Nephron progenitor
pseudobulk_118,0.3189049208433202,0.5450678,Nephron progenitor
pseudobulk_119,0.2889472136665714,0.20901032,Nephron progenitor
pseudobulk_120,0.3395885232570462,0.0,Nephron epithelium
pseudobulk_121,0.311805837524983,0.20640819,Nephron progenitor
pseudobulk_122,0.28367857495475973,0.468967,Nephron progenitor
pseudobulk_123,0.33642290063586383,0.16738085,Nephron progenitor
pseudobulk_124,0.3053280289215903,0.5409637,Nephron progenitor
pseudobulk_125,0.25698258835313625,0.0,Nephron progenitor
