,agg_scores,exp_scores,cell_type_category
pseudobulk_0,0.18091643642645353,1.0702443,Stroma
pseudobulk_1,0.2009691525417982,1.1803412,Stroma
pseudobulk_2,0.18909624121533486,1.3338842,Stroma
pseudobulk_3,0.17910319086854157,1.2296642,Stroma
pseudobulk_4,0.13705339105672112,0.78478724,Nephron progenitor
pseudobulk_5,0.10394710832462938,0.79222316,Stroma
pseudobulk_6,0.17711488333270245,1.0593172,Stroma
pseudobulk_7,0.16627539609396091,1.121131,Stroma
pseudobulk_8,0.17572565226100378,1.1326233,Stroma
pseudobulk_9,0.15996453837942268,1.1919296,Stroma
pseudobulk_10,0.16797897024775552,1.1083901,Stroma
pseudobulk_11,0.1607797638852694,1.1111742,Stroma
pseudobulk_12,0.18294933054901094,1.2383134,Stroma
pseudobulk_13,0.12121238851443324,0.9327421,Stroma
pseudobulk_14,0.17552818117956875,1.1670833,Stroma
pseudobulk_15,0.11551585229880904,0.8650168,Stroma
pseudobulk_16,0.10423854125542284,1.0031791,Stroma
pseudobulk_17,0.1843699904145487,1.0726001,Stroma
pseudobulk_18,0.18942354368527572,1.0257267,Stroma
pseudobulk_19,0.17255252196229845,1.0973717,Stroma
pseudobulk_20,0.16568724395596862,1.0395645,Stroma
pseudobulk_21,0.1721613280271825,1.0890969,Stroma
pseudobulk_22,0.17510229943742334,1.1606292,Stroma
pseudobulk_23,0.15677920409165935,1.1888936,Stroma
pseudobulk_24,0.1357615971729694,0.78934586,Stroma
pseudobulk_25,0.1236077150016365,0.871679,Stroma
pseudobulk_26,0.1615147522647895,1.3136847,Stroma
pseudobulk_27,0.20227238524796234,1.0892576,Stroma
pseudobulk_28,0.22095360356660934,1.1413666,Stroma
pseudobulk_29,0.1680724349985175,1.2164161,Stroma
pseudobulk_30,0.19676789074003032,1.1862605,Stroma
pseudobulk_31,0.1805095513132036,1.1941552,Stroma
pseudobulk_32,0.19290163833874913,1.224105,Stroma
pseudobulk_33,0.19697777706833883,1.1238986,Stroma
pseudobulk_34,0.1952913239582544,1.2057106,Stroma
pseudobulk_35,0.12837765718222388,0.90218866,Stroma
pseudobulk_36,0.17410440365255983,1.1574488,Stroma
pseudobulk_37,0.15286674038702175,1.0633384,Stroma
pseudobulk_38,0.16950688470830816,0.99943835,Stroma
pseudobulk_39,0.14569102626955666,0.9827972,Stroma
pseudobulk_40,0.13818241520288724,0.9009361,Stroma
pseudobulk_41,0.14760529150907664,0.9550087,Stroma
pseudobulk_42,0.14850898002371704,1.0378879,Stroma
pseudobulk_43,0.1515653189944678,1.1475158,Stroma
pseudobulk_44,0.14415504697944578,1.2175511,Stroma
pseudobulk_45,0.22355044806999644,1.2448189,Nephron progenitor
pseudobulk_46,0.17752671966354253,1.2955242,Stroma
pseudobulk_47,0.14856831225415212,1.0427392,Stroma
pseudobulk_48,0.1463562837993745,1.0201974,Stroma
pseudobulk_49,0.18867709788423423,1.2906412,Stroma
pseudobulk_50,0.15431652241567978,0.9746409,Stroma
pseudobulk_51,0.17482118617817446,0.935949,Stroma
pseudobulk_52,0.17718208233804605,0.96139854,Stroma
pseudobulk_53,0.18275994083654323,1.3516476,Stroma
pseudobulk_54,0.17551279799090147,0.9210275,Stroma
pseudobulk_55,0.1722868608267124,1.1235995,Stroma
pseudobulk_56,0.17562185304904804,1.1464696,Stroma
pseudobulk_57,0.17063161180567177,1.0870838,Stroma
pseudobulk_58,0.22998824020555314,1.1108936,Stroma
