,agg_scores,exp_scores,cell_type_category
pseudobulk_0,0.18091643642645353,0.7950323,Stroma
pseudobulk_1,0.2009691525417982,1.0309045,Stroma
pseudobulk_2,0.18909624121533486,0.9427817,Stroma
pseudobulk_3,0.17910319086854157,0.6629886,Stroma
pseudobulk_4,0.13705339105672112,0.0,Nephron progenitor
pseudobulk_5,0.10394710832462938,0.9218316,Stroma
pseudobulk_6,0.17711488333270245,0.59980553,Stroma
pseudobulk_7,0.16627539609396091,0.5119322,Stroma
pseudobulk_8,0.17572565226100378,0.9640417,Stroma
pseudobulk_9,0.15996453837942268,0.9014445,Stroma
pseudobulk_10,0.16797897024775552,0.8896074,Stroma
pseudobulk_11,0.1607797638852694,0.8357175,Stroma
pseudobulk_12,0.18294933054901094,0.8560085,Stroma
pseudobulk_13,0.12121238851443324,0.79128367,Stroma
pseudobulk_14,0.17552818117956875,0.77003485,Stroma
pseudobulk_15,0.11551585229880904,0.9218316,Stroma
pseudobulk_16,0.10423854125542284,0.54894006,Stroma
pseudobulk_17,0.1843699904145487,0.74579155,Stroma
pseudobulk_18,0.18942354368527572,0.826158,Stroma
pseudobulk_19,0.17255252196229845,0.8394704,Stroma
pseudobulk_20,0.16568724395596862,0.7944975,Stroma
pseudobulk_21,0.1721613280271825,0.7784314,Stroma
pseudobulk_22,0.17510229943742334,0.87763005,Stroma
pseudobulk_23,0.15677920409165935,0.7439138,Stroma
pseudobulk_24,0.1357615971729694,0.6500973,Stroma
pseudobulk_25,0.1236077150016365,0.8796644,Stroma
pseudobulk_26,0.1615147522647895,0.6186174,Stroma
pseudobulk_27,0.20227238524796234,0.80017203,Stroma
pseudobulk_28,0.22095360356660934,0.8091527,Stroma
pseudobulk_29,0.1680724349985175,0.49490142,Stroma
pseudobulk_30,0.19676789074003032,0.6423063,Stroma
pseudobulk_31,0.1805095513132036,0.6797898,Stroma
pseudobulk_32,0.19290163833874913,0.5044971,Stroma
pseudobulk_33,0.19697777706833883,0.7154398,Stroma
pseudobulk_34,0.1952913239582544,0.7005882,Stroma
pseudobulk_35,0.12837765718222388,0.55424815,Stroma
pseudobulk_36,0.17410440365255983,0.7901461,Stroma
pseudobulk_37,0.15286674038702175,0.60773885,Stroma
pseudobulk_38,0.16950688470830816,0.8386809,Stroma
pseudobulk_39,0.14569102626955666,0.37921947,Stroma
pseudobulk_40,0.13818241520288724,0.49584872,Stroma
pseudobulk_41,0.14760529150907664,0.57825,Stroma
pseudobulk_42,0.14850898002371704,0.72153944,Stroma
pseudobulk_43,0.1515653189944678,0.8285859,Stroma
pseudobulk_44,0.14415504697944578,0.48011887,Stroma
pseudobulk_45,0.22355044806999644,0.91028786,Nephron progenitor
pseudobulk_46,0.17752671966354253,0.9793835,Stroma
pseudobulk_47,0.14856831225415212,0.5238358,Stroma
pseudobulk_48,0.1463562837993745,0.66233385,Stroma
pseudobulk_49,0.18867709788423423,0.80035067,Stroma
pseudobulk_50,0.15431652241567978,0.8171924,Stroma
pseudobulk_51,0.17482118617817446,0.686754,Stroma
pseudobulk_52,0.17718208233804605,0.5775639,Stroma
pseudobulk_53,0.18275994083654323,0.6142635,Stroma
pseudobulk_54,0.17551279799090147,0.56835663,Stroma
pseudobulk_55,0.1722868608267124,0.48197815,Stroma
pseudobulk_56,0.17562185304904804,0.5412263,Stroma
pseudobulk_57,0.17063161180567177,0.36179194,Stroma
pseudobulk_58,0.22998824020555314,0.8220853,Stroma
pseudobulk_59,0.17367654648523542,0.7692525,Stroma
pseudobulk_60,0.20795609033893553,0.71191156,Stroma
pseudobulk_61,0.16380267070735102,0.6838185,Stroma
pseudobulk_62,0.17608061973350772,0.746291,Stroma
pseudobulk_63,0.2163628381481395,0.9205842,Stroma
pseudobulk_64,0.186839055271317,0.793297,Stroma
pseudobulk_65,0.21383806143830564,0.7811838,Stroma
pseudobulk_66,0.17507797755478893,0.8370439,Stroma
pseudobulk_67,0.20775676721381922,0.90703404,Stroma
pseudobulk_68,0.16018272462985905,0.71367204,Stroma
pseudobulk_69,0.18023801566698364,0.7053667,Stroma
pseudobulk_70,0.1824563383997844,0.5800325,Stroma
pseudobulk_71,0.2055048274887632,0.7512969,Stroma
pseudobulk_72,0.17793851976898262,0.6938402,Stroma
pseudobulk_73,0.17736072186675816,0.35925418,Stroma
pseudobulk_74,0.1932332561634626,0.3788817,Stroma
pseudobulk_75,0.18794730663148213,0.6347878,Stroma
pseudobulk_76,0.18345665143214882,0.37554872,Stroma
pseudobulk_77,0.19058349071087424,0.54629743,Stroma
pseudobulk_78,0.17029644495368848,0.6556963,Stroma
pseudobulk_79,0.16928329522761074,0.42897663,Stroma
pseudobulk_80,0.21081096361012486,0.33419695,Stroma
pseudobulk_81,0.2173390164498377,0.7394668,Stroma
pseudobulk_82,0.1828509708171815,0.5514999,Stroma
pseudobulk_83,0.22186357221164252,0.71629965,Stroma
pseudobulk_84,0.11541684578559978,0.41945103,Endothelium
pseudobulk_85,0.14335508780777317,0.90213925,Endothelium
pseudobulk_86,0.1288925469101763,0.8025926,Endothelium
pseudobulk_87,0.1556841318363199,0.9673815,Endothelium
pseudobulk_88,0.1551227193008307,0.94505167,Endothelium
pseudobulk_89,0.12649094275547756,0.8266672,Endothelium
pseudobulk_90,0.17809752114817104,0.8667514,Endothelium
pseudobulk_91,0.1568270422794706,0.77045006,Endothelium
pseudobulk_92,0.15124271175147577,0.8737064,Endothelium
pseudobulk_93,0.14753723473404126,0.7963863,Endothelium
pseudobulk_94,0.1343502100108898,1.0073537,Endothelium
pseudobulk_95,0.1474339158606844,0.93861187,Endothelium
pseudobulk_96,0.13866146170709828,0.8025926,Endothelium
pseudobulk_97,0.14493115262223047,0.8679818,Endothelium
pseudobulk_98,0.14930327309127364,0.89767474,Endothelium
pseudobulk_99,0.1476780391985775,0.9883967,Endothelium
