,family,gene,mean_expression,correlation,pval
0,KLF/SP/2:C2H2,EGR1,1.3484272956848145,0.7251824866914136,3.406202528238182e-163
1,KLF/SP/2:C2H2,EGR2,0.6127490997314453,0.650368993191191,5.294840993945585e-121
2,KLF/SP/2:C2H2,SP1,0.8390962481498718,0.744935142821754,9.98659656641111e-177
3,KLF/SP/2:C2H2,PATZ1,0.6439158916473389,0.6870331856793923,3.2520808291208e-140
4,KLF/SP/2:C2H2,SP3,1.1104220151901245,0.7003866446605681,8.10860463487151e-148
5,KLF/SP/2:C2H2,VEZF1,1.115631341934204,0.8094544781941068,8.582681447075945e-232
6,KLF/SP/2:C2H2,KLF6,1.751857876777649,0.34511090588822646,2.3941566604701003e-29
7,KLF/SP/2:C2H2,SP4,0.5644930601119995,0.4894101806955392,2.9077003074015686e-61
8,KLF/SP/2:C2H2,WT1,0.4128589332103729,0.6502313229820892,5.495778453161065e-121
9,KLF/SP/2:C2H2,KLF4,0.8511666655540466,0.7107761192597125,4.6925154846970734e-154
10,KLF/SP/2:C2H2,SP2,0.6541321873664856,0.5424940324661327,1.9546576755378807e-77
11,KLF/SP/2:C2H2,KLF5,0.40135326981544495,0.3879873019203011,3.0400247367122527e-37
12,KLF/SP/2:C2H2,KLF3,1.2118808031082153,0.47979346839310527,1.2018209732213257e-58
13,KLF/SP/2:C2H2,SALL4,0.13063450157642365,0.597237151603118,1.6999808411166464e-97
14,KLF/SP/2:C2H2,KLF12,0.750819206237793,0.5277377447671162,1.1520180454562257e-72
15,KLF/SP/2:C2H2,RREB1,0.8789214491844177,0.6904678585149024,4.2290060496036085e-142
0,ETS/1:ETS,ELF1,1.3515716791152954,0.6083431575443952,6.060844762265037e-101
1,ETS/1:ETS,ELF2,1.1404136419296265,0.4163516883872518,1.7569716030391948e-42
2,ETS/1:ETS,GABPA,0.8667161464691162,0.4025594285200292,1.2683635944120102e-39
3,ETS/1:ETS,ELK1,0.6568742394447327,0.3150567061166742,3.69139952017152e-24
4,ETS/1:ETS,ELK4,0.9724854826927185,0.23474671779392992,9.63185247344407e-14
