,motif,family,subfamily
0_11,0_11,C2H2,KLF/SP/2:C2H2
0_19,0_19,ETS,ETS/1:ETS
0_22,0_22,TFAP,TFAP2/2:TFAP
0_29,0_29,C2H2,YY1:C2H2
0_38,0_38,ETS,ETS/2:ETS
0_39,0_39,ETS,ETS/2:ETS
0_45,0_45,bZIP,AP1/2:bZIP
0_47,0_47,C2H2,GC-tract:C2H2
0_55,0_55,E2F,E2F/2:E2F
0_77,0_77,CNC-bZIP,NRF1:CNC-bZIP
0_106,0_106,ETS,ETS/2:ETS
0_110,0_110,CNC-bZIP,NRF1:CNC-bZIP
0_132,0_132,N/A,N/A
0_138,0_138,ETS,ETS/2:ETS
0_156,0_156,ETS,ETS/2:ETS
0_162,0_162,STAT,STAT/2:STAT
0_167,0_167,IRF,IRF/1:IRF
0_170,0_170,C2H2,KLF/SP/2:C2H2
0_211,0_211,CNC-bZIP,NRF1:CNC-bZIP
0_214,0_214,C2H2,YY1:C2H2
0_218,0_218,ETS,ETS/2:ETS
0_237,0_237,ETS,ETS/1:ETS
0_239,0_239,C2H2,KLF/SP/2:C2H2
0_280,0_280,C2H2,YY1:C2H2
0_313,0_313,ETS,ETS/1:ETS
0_316,0_316,C2H2,YY1:C2H2
0_318,0_318,E2F,E2F/2:E2F
0_320,0_320,CNC-bZIP,NRF1:CNC-bZIP
0_323,0_323,ETS,ETS/1:ETS
0_328,0_328,ETS,ETS/1:ETS
0_335,0_335,C2H2,YY1:C2H2
0_383,0_383,C2H2,YY1:C2H2
0_396,0_396,CNC-bZIP,NRF1:CNC-bZIP
0_397,0_397,ETS,ETS/1:ETS
0_402,0_402,ETS,ETS/1:ETS
0_410,0_410,ETS,ETS/2:ETS
0_421,0_421,C2H2,GC-tract:C2H2
0_423,0_423,ETS,ETS/1:ETS
0_431,0_431,C2H2,YY1:C2H2
0_450,0_450,C2H2,YY1:C2H2
0_451,0_451,C2H2,ZFX:C2H2
0_470,0_470,C2H2,KLF/SP/2:C2H2
0_479,0_479,C2H2,KLF/SP/2:C2H2
0_487,0_487,C2H2,YY1:C2H2
0_495,0_495,C2H2,YY1:C2H2
0_501,0_501,C2H2,KLF/SP/2:C2H2
0_505,0_505,C2H2,KLF/SP/2:C2H2
0_512,0_512,C2H2,KLF/SP/2:C2H2
0_525,0_525,N/A,N/A
0_532,0_532,HMG,SOX/1:HMG
0_534,0_534,CNC-bZIP,NRF1:CNC-bZIP
