,Reproducibility
KLF/SP/2:C2H2,1.0
ETS/1:ETS,1.0
TFAP2/2:TFAP,0.2
YY1:C2H2,1.0
ETS/2:ETS,1.0
AP1/2:bZIP,0.2
GC-tract:C2H2,0.8
E2F/2:E2F,0.8
NRF1:CNC-bZIP,1.0
N/A,0.7
STAT/2:STAT,0.1
IRF/1:IRF,0.1
ZFX:C2H2,0.5
SOX/1:HMG,0.1
CREB/ATF/1:bZIP,0.8
NR/17:nuclearreceptor,0.1
ZNF143:C2H2,0.5
EGR:C2H2,0.2
Ebox/CACGTG/2:bHLH,0.1
IRF/2:IRF,0.2
MBD2:MBD,0.3
KAISO:C2H2,0.5
GLI:C2H2,0.4
CTCF:C2H2,0.2
HD/6:homeodomain,0.1
NR/5:nuclearreceptor,0.1
Ebox/CACGTG/1:bHLH,0.2
Ebox/CATATG:bHLH,0.1
IRF/3:IRF,0.1
E2F/4:E2F,0.1
KLF/SP/1:C2H2,0.1
CREB/ATF/2:bZIP,0.1
ZBED1:C2H2,0.1
