,family,gene,mean_expression,correlation,pval
0,CTCF:C2H2,Ctcf,0.012500984,-0.04592625009408622,0.6500246325138435
0,Ebox/CATATG:bHLH,Olig2,0.0009916142,-0.12515393709688297,0.429441190523373
1,Ebox/CATATG:bHLH,Bhlhe22,0.009623139,-0.042899586884303766,0.6717134851448682
2,Ebox/CATATG:bHLH,Olig1,0.0024762338,-0.3097833378708072,0.010261431658880198
3,Ebox/CATATG:bHLH,Neurod2,0.028542792,-0.09156305814210931,0.437907797620519
4,Ebox/CATATG:bHLH,Bhlhe23,0.0003299907,-0.1633100881570775,0.3134554195305624
5,Ebox/CATATG:bHLH,Neurog2,0.0002399932,-0.11364842941983157,0.3903448174381225
0,RFX/1:RFX,Rfx1,0.0071560545,0.032117173011076826,0.7510799713364258
1,RFX/1:RFX,Rfx3,0.020287735,0.13986303934421368,0.6606965408588373
2,RFX/1:RFX,Rfx4,0.0004795748,0.035174061900126986,0.9710284977804307
3,RFX/1:RFX,Rfx5,0.0018900984,-0.08155126557149997,0.8397888968526486
0,Ebox/CAGCTG:bHLH,Ascl1,0.0016558819,-0.02202664241401847,0.9933604672593763
1,Ebox/CAGCTG:bHLH,Ascl2,0.00026999236,-0.22455064243294967,0.04940288389095149
2,Ebox/CAGCTG:bHLH,Tfap4,0.00077936053,-0.23282458774374656,0.05924326059206217
3,Ebox/CAGCTG:bHLH,Tcf12,0.018387627,0.04959722349481437,0.9361600943025825
4,Ebox/CAGCTG:bHLH,Msc,0.00014999576,0.01986897882975461,0.8444449250089209
5,Ebox/CAGCTG:bHLH,Zbtb18,0.026339393,-0.5003458274280147,6.92017350203949e-07
0,HD/12:homeodomain,Pbx1,0.08311056,0.012943566174361498,0.8982964286826879
1,HD/12:homeodomain,Pbx3,0.0061994367,-0.11961679709739285,0.3537945324038875
2,HD/12:homeodomain,Pbx2,0.0028143688,0.1295358173146978,0.5969099549152564
0,GC-tract:C2H2,Klf15,0.00020978825,0.19446897884302478,0.2101064183876773
1,GC-tract:C2H2,Maz,0.0014683148,-0.07191184853193634,0.6361134264736169
2,GC-tract:C2H2,Taf1,0.012922116,0.12819159683058567,0.40742138762782415
3,GC-tract:C2H2,Thap1,0.0006591581,0.0013479770655813149,0.9893802302278221
0,Ebox/CACGTG/2:bHLH,Clock,0.014963477,-0.029729791831845084,1.0
1,Ebox/CACGTG/2:bHLH,Mycn,0.008443576,-0.022875798729886515,0.9581486438091572
2,Ebox/CACGTG/2:bHLH,Myc,0.0034732998,-0.06067246356627893,0.9602948208770705
3,Ebox/CACGTG/2:bHLH,Max,0.0054637208,-0.012471379281509112,0.9019878385408122
4,Ebox/CACGTG/2:bHLH,Mxi1,0.0029493654,-0.19203568671169338,0.19463994690174155
5,Ebox/CACGTG/2:bHLH,Hes1,0.00032999064,0.19541851226931647,0.3595317759922894
6,Ebox/CACGTG/2:bHLH,Tcfl5,5.99983e-05,-0.06928549666419949,1.0
0,RFX/3:RFX,Rfx5,0.0018900984,-0.021537277851226996,1.0
1,RFX/3:RFX,Rfx6,0.00020999406,-0.012898685383133802,0.8986472007953319
0,Ebox/CAGATGG:bHLH,Olig2,0.0009916142,-0.0984460915531654,0.6596629328053829
1,Ebox/CAGATGG:bHLH,Lyl1,8.9997455e-05,-0.08021635796372956,0.42756926107057447
0,NFI/3:NFI,Nfia,0.029287316,0.06184374106810012,0.5410356529577285
1,NFI/3:NFI,Nfic,0.0029961267,-0.1559589527726895,0.2425330904992223
0,RFX/2:RFX,Rfx3,0.020287735,-0.0022273101729086277,0.9824534614767407
