,motif,family,subfamily,family_genes
0_9,0_9,bHLH,Ebox/CACGTG/1:bHLH,"['Usf1', 'Tfe3', 'Usf2', 'Bhe40', 'Tfeb', 'Mitf', 'Bmal1', 'Bhlhe41', 'Srebf2', 'Srebf1', 'Mlx', 'Bhlhe40', 'Mlxipl', 'Arnt', 'Arntl', 'Tfec', 'Hey1', 'Hey2', 'Id2', 'Max', 'Mnt', 'Mlxip', 'Npas2', 'Creb3l2', 'Hes7', 'Clock', 'Hes5', 'Bhlhb2', 'Bhlhb3', 'Creb3l1']"
0_22,0_22,C2H2,CTCF:C2H2,"['Ctcfl', 'Ctcf']"
0_35,0_35,C2H2,CTCF:C2H2,"['Ctcfl', 'Ctcf']"
0_47,0_47,C2H2,CTCF:C2H2,"['Ctcfl', 'Ctcf']"
0_71,0_71,bHLH,Ebox/CATATG:bHLH,"['Atoh1', 'Olig3', 'Olig2', 'Bhlhe22', 'Olig1', 'Neurod2', 'Bhlhe23', 'Neurog2', 'Bhlha15', 'Neurog1', 'Twist2']"
0_80,0_80,RFX,RFX/1:RFX,"['Rfx1', 'Rfx2', 'Rfx3', 'Rfx4', 'Rfx5']"
0_104,0_104,bHLH,Ebox/CAGCTG:bHLH,"['Ascl1', 'Ascl2', 'Myog', 'Myf6', 'Myod1', 'Bha15', 'Tfe2', 'Tfap4', 'Zbt18', 'Tcf12', 'Nhlh1', 'Twist1', 'Msc', 'Zbtb18', 'Tcf21', 'Znf238']"
0_136,0_136,bHLH,Ebox/CATATG:bHLH,"['Atoh1', 'Olig3', 'Olig2', 'Bhlhe22', 'Olig1', 'Neurod2', 'Bhlhe23', 'Neurog2', 'Bhlha15', 'Neurog1', 'Twist2']"
0_141,0_141,RFX,RFX/1:RFX,"['Rfx1', 'Rfx2', 'Rfx3', 'Rfx4', 'Rfx5']"
0_142,0_142,homeodomain,HD/12:homeodomain,"['Pbx1', 'Pbx3', 'Pknx1', 'Pbx2']"
0_146,0_146,C2H2,GC-tract:C2H2,"['Klf15', 'Maz', 'Zn467', 'Zn263', 'Zn770', 'Zn341', 'Taf1', 'Zsc22', 'Thap1', 'Znf263']"
0_147,0_147,bHLH,Ebox/CACGTG/2:bHLH,"['Clock', 'Mycn', 'Myc', 'Max', 'Mxi1', 'Hes1', 'Tcfl5', 'Hes2']"
0_150,0_150,RFX,RFX/3:RFX,"['Rfx5', 'Rfx6']"
0_183,0_183,bHLH,Ebox/CAGATGG:bHLH,"['Atoh1', 'Ndf1', 'Ngn2', 'Ndf2', 'Olig2', 'Ptf1a', 'Twst1', 'Lyl1', 'Msgn1', 'Neurod1', 'Tal1']"
0_188,0_188,NFI,NFI/3:NFI,"['Nfia', 'Nfic']"
0_200,0_200,RFX,RFX/2:RFX,"['Rfx2', 'Rfx3', 'Rfx4']"
0_201,0_201,C2H2,KLF/SP/2:C2H2,"['Egr1', 'Egr2', 'Zbt17', 'Sp1', 'Patz1', 'Sp3', 'Vezf1', 'Klf6', 'Sp4', 'Wt1', 'Klf4', 'Sp5', 'Sp2', 'Zn281', 'Klf5', 'Klf3', 'Sall4', 'Klf1', 'Klf12', 'Rreb1']"
0_206,0_206,bHLH,Ebox/CATATG:bHLH,"['Atoh1', 'Olig3', 'Olig2', 'Bhlhe22', 'Olig1', 'Neurod2', 'Bhlhe23', 'Neurog2', 'Bhlha15', 'Neurog1', 'Twist2']"
0_211,0_211,RFX,RFX/3:RFX,"['Rfx5', 'Rfx6']"
0_213,0_213,C2H2,GC-tract:C2H2,"['Klf15', 'Maz', 'Zn467', 'Zn263', 'Zn770', 'Zn341', 'Taf1', 'Zsc22', 'Thap1', 'Znf263']"
0_215,0_215,C2H2,KLF/SP/2:C2H2,"['Egr1', 'Egr2', 'Zbt17', 'Sp1', 'Patz1', 'Sp3', 'Vezf1', 'Klf6', 'Sp4', 'Wt1', 'Klf4', 'Sp5', 'Sp2', 'Zn281', 'Klf5', 'Klf3', 'Sall4', 'Klf1', 'Klf12', 'Rreb1']"
0_219,0_219,NFI,NFI/3:NFI,"['Nfia', 'Nfic']"
0_221,0_221,homeodomain,HD/12:homeodomain,"['Pbx1', 'Pbx3', 'Pknx1', 'Pbx2']"
0_223,0_223,C2H2,KLF/SP/2:C2H2,"['Egr1', 'Egr2', 'Zbt17', 'Sp1', 'Patz1', 'Sp3', 'Vezf1', 'Klf6', 'Sp4', 'Wt1', 'Klf4', 'Sp5', 'Sp2', 'Zn281', 'Klf5', 'Klf3', 'Sall4', 'Klf1', 'Klf12', 'Rreb1']"
0_243,0_243,C2H2,CTCF:C2H2,"['Ctcfl', 'Ctcf']"
0_255,0_255,NFI,NFI/3:NFI,"['Nfia', 'Nfic']"
0_262,0_262,homeodomain,HD/12:homeodomain,"['Pbx1', 'Pbx3', 'Pknx1', 'Pbx2']"
0_270,0_270,homeodomain,HD/2:homeodomain,"['Lhx2', 'Lhx3', 'Nobox', 'Dlx3', 'Prrx2', 'Isl1', 'Pdx1', 'Dlx5', 'Lhx6', 'Sp7', 'Hxb4', 'Alx3', 'Mixl1', 'Rax2', 'Uncx', 'Esx1', 'Shox', 'Lbx2', 'Dlx1', 'Gsx2', 'Prrx1', 'Hoxb3', 'Gsx1', 'Hoxb2', 'Dlx6', 'Dlx4', 'Lmx1b', 'Shox2', 'Gbx2', 'Hoxa2', 'Emx1', 'Rax', 'Lmx1a', 'Meox2', 'Dlx2', 'Vsx1', 'Evx1', 'Gbx1', 'Nkx6-2', 'Vsx2', 'Evx2', 'Hesx1', 'Lhx9', 'Msx1', 'Msx3', 'Vax1', 'En2', 'En1', 'Msx2', 'Mnx1', 'Lhx4', 'Vax2', 'Meox1', 'Pou6f1', 'Noto', 'Hoxd3', 'Isx', 'Pax4', 'Emx2', 'Hoxb5', 'Alx4', 'Nkx6-1', 'Alx1', 'Bsx', 'Mix-a', 'Hoxd8', 'Arx', 'Barx1', 'Pou6f2', 'Lhx8', 'Hoxa5', 'Lbx1', 'Ventx', 'Arid3b', 'Raxl1', 'Hoxa1']"
0_274,0_274,C2H2,CTCF:C2H2,"['Ctcfl', 'Ctcf']"
0_280,0_280,C2H2,CTCF:C2H2,"['Ctcfl', 'Ctcf']"
