,motif,freq
0,0_0,0.00017346053772766696
1,0_1,4.564750992833341e-05
2,0_2,0.0
3,0_3,0.0
4,0_4,0.00012781302779933356
5,0_5,3.6518007942666725e-05
6,0_6,1.8259003971333363e-05
7,0_7,5.477701191400009e-05
8,0_8,0.0
9,0_9,2.7388505957000044e-05
10,0_10,0.0
11,0_11,3.6518007942666725e-05
12,0_12,0.0
13,0_13,3.6518007942666725e-05
14,0_14,1.8259003971333363e-05
15,0_15,2.7388505957000044e-05
16,0_16,3.6518007942666725e-05
17,0_17,0.0
18,0_18,0.0
19,0_19,5.477701191400009e-05
20,0_20,1.8259003971333363e-05
21,0_21,0.0
22,0_22,3.6518007942666725e-05
23,0_23,0.00010955402382800018
24,0_24,0.0
25,0_25,6.390651389966678e-05
26,0_26,0.0
27,0_27,5.477701191400009e-05
28,0_28,2.7388505957000044e-05
29,0_29,0.00011868352581366686
30,0_30,0.0
31,0_31,0.0
32,0_32,0.0
33,0_33,0.0
34,0_34,0.0
35,0_35,1.8259003971333363e-05
36,0_36,9.129501985666681e-06
37,0_37,7.303601588533345e-05
38,0_38,0.0
39,0_39,0.0
40,0_40,3.6518007942666725e-05
41,0_41,0.0
42,0_42,0.0
43,0_43,1.8259003971333363e-05
44,0_44,8.216551787100014e-05
45,0_45,3.6518007942666725e-05
46,0_46,9.129501985666682e-05
47,0_47,4.564750992833341e-05
48,0_48,6.390651389966678e-05
49,0_49,0.0
50,0_50,0.0
51,0_51,0.00012781302779933356
52,0_52,0.0
53,0_53,5.477701191400009e-05
54,0_54,0.0
55,0_55,1.8259003971333363e-05
56,0_56,9.129501985666681e-06
57,0_57,1.8259003971333363e-05
58,0_58,2.7388505957000044e-05
59,0_59,0.0
60,0_60,0.0
61,0_61,0.0
62,0_62,9.129501985666681e-06
63,0_63,1.8259003971333363e-05
64,0_64,4.564750992833341e-05
65,0_65,3.6518007942666725e-05
66,0_66,0.0
67,0_67,0.00019171954169900032
68,0_68,0.0
69,0_69,6.390651389966678e-05
70,0_70,2.7388505957000044e-05
71,0_71,0.0001460720317706669
72,0_72,1.8259003971333363e-05
73,0_73,3.6518007942666725e-05
74,0_74,6.390651389966678e-05
75,0_75,0.0
76,0_76,3.6518007942666725e-05
77,0_77,0.0
78,0_78,0.0
79,0_79,0.0
80,0_80,4.564750992833341e-05
81,0_81,7.303601588533345e-05
82,0_82,0.0
83,0_83,0.0
84,0_84,0.0001004245218423335
85,0_85,2.7388505957000044e-05
86,0_86,0.0
87,0_87,9.129501985666682e-05
88,0_88,0.0
89,0_89,0.0
90,0_90,0.0001004245218423335
91,0_91,0.0
92,0_92,0.0
93,0_93,2.7388505957000044e-05
94,0_94,0.0
95,0_95,0.0
96,0_96,8.216551787100014e-05
97,0_97,0.0
98,0_98,4.564750992833341e-05
99,0_99,0.0
100,0_100,0.0
101,0_101,0.0
102,0_102,2.7388505957000044e-05
103,0_103,1.8259003971333363e-05
104,0_104,8.216551787100014e-05
105,0_105,0.0
106,0_106,0.0
107,0_107,0.0
108,0_108,0.00010955402382800018
109,0_109,0.0
110,0_110,0.0
111,0_111,0.0
112,0_112,3.6518007942666725e-05
113,0_113,3.6518007942666725e-05
114,0_114,0.0
115,0_115,6.390651389966678e-05
116,0_116,3.6518007942666725e-05
117,0_117,6.390651389966678e-05
118,0_118,0.0
119,0_119,3.6518007942666725e-05
120,0_120,0.00016433103574200027
121,0_121,0.0
122,0_122,0.0
123,0_123,0.0
124,0_124,0.0
125,0_125,0.0
126,0_126,1.8259003971333363e-05
127,0_127,9.129501985666681e-06
128,0_128,0.0
129,0_129,5.477701191400009e-05
130,0_130,0.0
131,0_131,0.0
132,0_132,9.129501985666681e-06
133,0_133,0.0
134,0_134,0.0
135,0_135,0.00012781302779933356
136,0_136,0.0001460720317706669
137,0_137,0.0
138,0_138,8.216551787100014e-05
139,0_139,0.00023736705162733372
140,0_140,3.6518007942666725e-05
141,0_141,0.00013694252978500022
142,0_142,0.00011868352581366686
143,0_143,2.7388505957000044e-05
144,0_144,1.8259003971333363e-05
145,0_145,0.00017346053772766696
146,0_146,7.303601588533345e-05
147,0_147,3.6518007942666725e-05
148,0_148,2.7388505957000044e-05
149,0_149,0.0
150,0_150,3.6518007942666725e-05
151,0_151,2.7388505957000044e-05
152,0_152,2.7388505957000044e-05
153,0_153,6.390651389966678e-05
154,0_154,4.564750992833341e-05
155,0_155,0.0
156,0_156,0.0001004245218423335
157,0_157,0.0
158,0_158,0.00017346053772766696
159,0_159,0.0
160,0_160,0.0
161,0_161,1.8259003971333363e-05
162,0_162,0.0
163,0_163,0.0
164,0_164,2.7388505957000044e-05
165,0_165,7.303601588533345e-05
166,0_166,1.8259003971333363e-05
167,0_167,5.477701191400009e-05
168,0_168,0.0
169,0_169,0.0
170,0_170,0.0
171,0_171,4.564750992833341e-05
172,0_172,5.477701191400009e-05
173,0_173,0.0
174,0_174,0.0
175,0_175,4.564750992833341e-05
176,0_176,9.129501985666681e-06
177,0_177,3.6518007942666725e-05
178,0_178,3.6518007942666725e-05
179,0_179,9.129501985666682e-05
180,0_180,1.8259003971333363e-05
181,0_181,0.00012781302779933356
182,0_182,9.129501985666682e-05
183,0_183,6.390651389966678e-05
184,0_184,0.0
185,0_185,2.7388505957000044e-05
186,0_186,0.0
187,0_187,6.390651389966678e-05
188,0_188,0.00012781302779933356
189,0_189,0.0
190,0_190,0.0
191,0_191,0.00010955402382800018
192,0_192,0.0
193,0_193,9.129501985666681e-06
194,0_194,2.7388505957000044e-05
195,0_195,5.477701191400009e-05
196,0_196,0.0
197,0_197,1.8259003971333363e-05
198,0_198,0.0
199,0_199,0.0
200,0_200,8.216551787100014e-05
201,0_201,3.6518007942666725e-05
202,0_202,7.303601588533345e-05
203,0_203,3.6518007942666725e-05
204,0_204,0.0
205,0_205,1.8259003971333363e-05
206,0_206,8.216551787100014e-05
207,0_207,9.129501985666681e-06
208,0_208,0.0001004245218423335
209,0_209,0.0
210,0_210,8.216551787100014e-05
211,0_211,2.7388505957000044e-05
212,0_212,0.0
213,0_213,3.6518007942666725e-05
214,0_214,4.564750992833341e-05
215,0_215,5.477701191400009e-05
216,0_216,0.0
217,0_217,9.129501985666682e-05
218,0_218,3.6518007942666725e-05
219,0_219,7.303601588533345e-05
220,0_220,0.0
221,0_221,8.216551787100014e-05
222,0_222,2.7388505957000044e-05
223,0_223,4.564750992833341e-05
224,0_224,0.0
225,0_225,0.0
226,0_226,9.129501985666682e-05
227,0_227,6.390651389966678e-05
228,0_228,0.0
229,0_229,9.129501985666682e-05
230,0_230,0.0
231,0_231,0.0
232,0_232,0.0
233,0_233,2.7388505957000044e-05
234,0_234,0.00010955402382800018
235,0_235,2.7388505957000044e-05
236,0_236,0.0
237,0_237,0.0
238,0_238,0.0
