,L2/3,L5,L6,Inhibitory,L4/5,L4,L5/6,L3/4/5
Ebox/CACGTG/1:bHLH,0.001799183874739,0.0018233103269772578,0.001880505409714645,0.002066212655364552,0.0019103614502455457,0.0017290906286386114,0.0020466253874644735,0.0018735632794838846
CTCF:C2H2,0.0796827503072959,0.0805959029090041,0.07911055713576878,0.07634160522434286,0.08145967207501599,0.07839580783668983,0.08003628342521552,0.08206516218322374
Ebox/CATATG:bHLH,0.09916131641361774,0.09165265512132868,0.1031025787899405,0.10354904370205986,0.1042031522054458,0.10973781230859458,0.10101635031423939,0.09611220847475327
RFX/1:RFX,0.02443211050273891,0.02517825689897614,0.024445856149003912,0.024581290601418004,0.025102281974977814,0.024427220113769483,0.025636997703259112,0.024361180974261112
Ebox/CAGCTG:bHLH,0.01241311849456827,0.011573920024400448,0.013490362937423365,0.013743212204190058,0.012582536113040988,0.013057229754243357,0.013005157317820704,0.012935738966916688
HD/12:homeodomain,0.0460499775904084,0.04575626613222994,0.044883135506937,0.04363312197619962,0.04338655604369705,0.045452434470159155,0.04478209212356887,0.04358985378591266
GC-tract:C2H2,0.021541831460067246,0.022652614319566864,0.022693972434633627,0.022135767382948757,0.02287616350913595,0.02179959011664323,0.021881766231160782,0.022152919820933273
Ebox/CACGTG/2:bHLH,0.0019497011409206923,0.0019966117389331986,0.001965879581313437,0.00192019778478425,0.0020449520772672257,0.002223352280755838,0.0020774322947545443,0.0020265123878036523
RFX/3:RFX,0.013715317416505928,0.014400666646704648,0.014654931310640397,0.014254488216636219,0.01477825445763301,0.013596808251653178,0.014787057765715872,0.014233747067919467
Ebox/CAGATGG:bHLH,0.022727355052231123,0.021912990855829168,0.023543560939008154,0.023691046283147443,0.0235457908391254,0.024457534052392777,0.02249243573169224,0.02283151833802953
NFI/3:NFI,0.043645289658857306,0.0447100989638582,0.04371741035664364,0.041220989884266146,0.04258882169233402,0.04337759155411428,0.04341748841852677,0.040455833693714444
RFX/2:RFX,0.055148786534593215,0.05637340330536568,0.05565320397503316,0.05474107941518014,0.05781277503556339,0.05528690722227717,0.060145107647258556,0.0547125793899694
KLF/SP/2:C2H2,0.06701954094220774,0.06724581426870992,0.0667324130985601,0.06584369164215609,0.06595813419988303,0.06673354447430786,0.06620936250405407,0.0668721685746034
HD/2:homeodomain,0.003410992577024128,0.0033777279443004066,0.0032552858599676536,0.0024687951954547316,0.002889363490976393,0.0030635035752008357,0.002963118866318837,0.0027011202182620764
BCL6/1:C2H2,0.0009893293507680621,0.0010485580682547556,0.0011745363455982162,0.0011427134959376417,0.001103499165037647,0.0011267230341521401,0.0010767355997813866,0.0012299207931694884
NFI/1:NFI,0.007503035784516807,0.007584381696587015,0.00733041432641375,0.006052891952094797,0.0075786556088132786,0.0077434827204948915,0.0073269148415420204,0.007159775035688654
MEF2:MADS,0.02069550549545649,0.01866879484199065,0.02144586620964289,0.0218595052810997,0.021473569856607356,0.02256474844762124,0.025428842825931497,0.022727002192469727
TBX/2:TBX,0.0028244888191851637,0.0027263455370606002,0.0029730340600228654,0.003003614738986471,0.002767528723597934,0.0027883607623759112,0.0028944610678536264,0.002824824527831677
MIES:MEIS,0.0045426547104675,0.004365337758726027,0.00476957622763271,0.004409982426295755,0.004728630717727356,0.004739771286646525,0.004412549125845544,0.004712398552025358
ETS/1:ETS,0.004491149501478978,0.004578718472152509,0.0045706404332752125,0.004502573299760115,0.004530857186909998,0.004254199756057157,0.004539243884210009,0.004440570069063041
E2F/2:E2F,0.003980751274945721,0.003989498275283647,0.0039863100696843155,0.003818219315917304,0.003961770904516016,0.0039499908246701425,0.004001101486664993,0.003838856823575851
N/A,0.024090491454800307,0.02334346790788307,0.023971431956082458,0.023785391840647208,0.02442695352001465,0.023261669203445006,0.023827784727473045,0.023812306909854267
ETS/2:ETS,0.0005568891713704469,0.0005811990676092035,0.0005470898308536002,0.0005459558262828068,0.0005912739034101833,0.0005190305334205428,0.0005649869617627701,0.0005653547462619221
EGR:C2H2,0.0006292681085676082,0.0006922316570058879,0.0006699733430934884,0.0005611695277139006,0.0006425089058211597,0.0006145107360377248,0.0005516188109879749,0.0006489244358173588
HD/14:homeodomain,0.006623856938423832,0.006383800272791025,0.006732761083045402,0.006094285594372195,0.006262482929741964,0.00640221856883727,0.0061861351859988645,0.006437093633899672
NFY:NFY,0.0033347837161272764,0.003121708754204317,0.003435013216893332,0.0033294755767201423,0.003009248488524463,0.0034375051861085617,0.003440167229200597,0.0034438440246352306
CREB/ATF/1:bZIP,0.003651963191931946,0.0038132593068035524,0.003630697914139511,0.0036666905934907845,0.0038355976561433637,0.0037362253885172927,0.003932007806724869,0.0039863274933951386
PLAG1:C2H2,0.0003848044105562503,0.0003649146254045061,0.00038245745012178446,0.00038699664946761914,0.0004172384535195306,0.00039224228627669316,0.0003218077290512156,0.0003500170779362735
E2F/4:E2F,0.0003008617068585211,0.000337279289346447,0.00032095684624577046,0.00030102695836831117,0.0003398010492674075,0.0003519529030503084,0.0003547862897903542,0.0003147943599388883
KLF/SP/3:C2H2,0.0005885387692377781,0.0005810441863205698,0.0005508668702812149,0.0005500966490217252,0.0005533448536880314,0.000583105138503015,0.0005632699976558797,0.0005376094324876451
POU/3:POU,0.0013426451857768648,0.0012243308657262889,0.0013485932633137475,0.0013842948210367467,0.001353596628177911,0.0013393699191510677,0.0014067461161175743,0.001250542648550537
CREB/ATF/2:bZIP,0.0016210093492349108,0.0017958911018164752,0.0017150974393958817,0.001568028307815439,0.001765700693067629,0.0017930963746645527,0.001679470998396937,0.0016987674031649174
IRF/3:IRF,0.0012049366588420842,0.0010765966532441478,0.0010890853859914036,0.0010740457291831262,0.0010922087007202209,0.0011651323487361271,0.0010507420302019455,0.001010773709923443
OCT4+SOX2:POU,0.0010767751322735262,0.0011596266510120283,0.0010308555524366407,0.0012308594887144864,0.0013770498451776802,0.0012433670150736968,0.0010277574401698075,0.0009870860311720106
AP1/2:bZIP,5.690329283464487e-05,6.954473246878479e-05,6.842557671076905e-05,5.903060764467227e-05,6.059446895960719e-05,7.383453582103054e-05,7.12794690116425e-05,6.13800043033229e-05
SMAD:SMAD,0.0018552291085538657,0.002035716451549282,0.0020037957538778964,0.0022532388757099397,0.0018493007984943688,0.0018397824217875798,0.0020027620485052466,0.0019377487090726693
NR/1:nuclearreceptor,0.00024520673002331495,0.0002454346344570189,0.00023744717453575085,0.0002613338613173255,0.00023211642965179636,0.00020807265900657512,0.0002617048912725295,0.0002592110011189814
YY1:C2H2,0.00048423542276672697,0.00043469245024930895,0.00045193453507426265,0.0005643865697493311,0.0004270598612492904,0.00042538556347911555,0.0005238371741143055,0.0004568596551608708
GRHL:CP2,0.0002058441244551669,0.00019421051062333086,0.00020190504997467191,0.0002327920537936734,0.00017439059010939672,0.00017448537497936437,0.00018287177954334766,0.00018972448985247561
