,pseudobulk_0,pseudobulk_1,pseudobulk_2,pseudobulk_3,pseudobulk_4,pseudobulk_5,pseudobulk_6,pseudobulk_7,pseudobulk_8,pseudobulk_9,pseudobulk_10,pseudobulk_11,pseudobulk_12,pseudobulk_13,pseudobulk_14,pseudobulk_15,pseudobulk_16,pseudobulk_17,pseudobulk_18,pseudobulk_19,pseudobulk_20,pseudobulk_21,pseudobulk_22,pseudobulk_23,pseudobulk_24,pseudobulk_25,pseudobulk_26,pseudobulk_27,pseudobulk_28,pseudobulk_29,pseudobulk_30,pseudobulk_31,pseudobulk_32,pseudobulk_33,pseudobulk_34,pseudobulk_35,pseudobulk_36,pseudobulk_37,pseudobulk_38,pseudobulk_39,pseudobulk_40,pseudobulk_41,pseudobulk_42,pseudobulk_43,pseudobulk_44,pseudobulk_45,pseudobulk_46,pseudobulk_47,pseudobulk_48,pseudobulk_49,pseudobulk_50,pseudobulk_51,pseudobulk_52,pseudobulk_53,pseudobulk_54,pseudobulk_55,pseudobulk_56,pseudobulk_57,pseudobulk_58,pseudobulk_59,pseudobulk_60,pseudobulk_61,pseudobulk_62,pseudobulk_63,pseudobulk_64,pseudobulk_65,pseudobulk_66,pseudobulk_67,pseudobulk_68,pseudobulk_69,pseudobulk_70,pseudobulk_71,pseudobulk_72,pseudobulk_73,pseudobulk_74,pseudobulk_75,pseudobulk_76,pseudobulk_77,pseudobulk_78,pseudobulk_79,pseudobulk_80,pseudobulk_81,pseudobulk_82,pseudobulk_83,pseudobulk_84,pseudobulk_85,pseudobulk_86,pseudobulk_87,pseudobulk_88,pseudobulk_89,pseudobulk_90,pseudobulk_91,pseudobulk_92,pseudobulk_93,pseudobulk_94,pseudobulk_95,pseudobulk_96,pseudobulk_97,pseudobulk_98,pseudobulk_99
Ebox/CACGTG/1:bHLH,0.001862807669567701,0.0019363207247806713,0.0018318137881578878,0.002202045336161973,0.0018475263386790175,0.0023005924940662226,0.002165411609894363,0.0016955057562881848,0.0019753374326683115,0.0021243398023216287,0.0016128722691064468,0.0019986685474577826,0.0020350670583866304,0.0020115655770496232,0.0018601213378133252,0.0018995069222000893,0.0020768344002135564,0.0017398845666320994,0.0022334809091262287,0.0016925950158110936,0.0018223701681563398,0.0019551934692572104,0.0019274064543424174,0.0021914091389589885,0.0017580977128091035,0.0016389034608437214,0.0020107488899157033,0.0020459919742279453,0.0016986439368338324,0.001810555690099136,0.0015651603425794747,0.0018936640135507332,0.001962944317710935,0.0018574745827208972,0.0018096729145327117,0.0019560736473067664,0.0017311147257714765,0.0019370826885278802,0.0015838982380955713,0.0020782286082976498,0.0017136167834905791,0.0018778918238240294,0.0020864573380094953,0.002138865458618966,0.0021264255556161515,0.0020948374640283873,0.001925058644701494,0.001963963997695828,0.001680739513176377,0.0021469463126777555,0.0017877745813166257,0.0018313377313461388,0.0017338796496915165,0.0021021965785621433,0.0020297821865824517,0.0018584895042295102,0.0017193991498061223,0.0017841984117694665,0.0021234020077827154,0.0018974911363329738,0.0022266035393840866,0.0018211833885288797,0.0016600895651208702,0.001674655750321108,0.002000141939788591,0.0018761202263704035,0.0018163019040002837,0.0016161645617103204,0.0020210218681313563,0.0019578461215132847,0.0020933855175826466,0.0018063608404190745,0.0017454919275223801,0.0018246311410621274,0.0017429852141503943,0.001650527950914693,0.0019752383884679148,0.0016916735094127944,0.002200013022957137,0.00198562635887356,0.0021945732141830376,0.0019788669615081744,0.0017610210579732666,0.002175378438550979,0.0017628266596148023,0.0016377535321225878,0.0019248248099756893,0.001957102607775596,0.0017769093901733868,0.0018669307719392236,0.0016962245244940277,0.001771851200828678,0.0019978817963419715,0.0017312907111772802,0.0016639753139315872,0.0016429343722847989,0.0018672223886824213,0.0019512610488163773,0.0020054540163982892,0.0015227149069687584
CTCF:C2H2,0.08132743218448013,0.08126815583091229,0.0803366788677522,0.07818672344001243,0.08682368052541278,0.07568917631579097,0.08053577873943141,0.07568508252734318,0.07313839877315331,0.08278826436435338,0.078579738161352,0.07876101360307075,0.0800372460471408,0.08060159351589391,0.0838520308752777,0.08332524909201311,0.08431724170804955,0.07367870455345837,0.07843105962092523,0.07828411477385089,0.08354987057100516,0.08517376195959514,0.07985937076591654,0.07541452235454926,0.0768044276337605,0.08106250738637755,0.07581444925745018,0.08192927360141766,0.076353613709216,0.07672219182131812,0.08035919330404795,0.0871923765153042,0.08449546131305397,0.07790407113861875,0.0862854672013782,0.08385086462658364,0.07186517895024735,0.0737320575499325,0.07495894949170179,0.0798959880462462,0.08163851802964928,0.08713679292122833,0.08131543861964019,0.08130721264024032,0.07714761252282187,0.07657440663024317,0.08483265597897116,0.0749805057712365,0.07302025142689672,0.07836890321414103,0.06680183184653288,0.07225867658416973,0.07901220684652799,0.08747826103353873,0.07958659417545277,0.07348330895183608,0.08092762761953054,0.0837202310176508,0.08327696161722997,0.0806853280737414,0.07349939518826432,0.07722285730778822,0.0835586443736247,0.07996110514068278,0.08201421346166171,0.0850056151211902,0.079803257714957,0.0808276054012822,0.08199943189902115,0.07596798914164538,0.07810465156217106,0.08008276495274913,0.08165112026472343,0.06579220645153327,0.07364160843280843,0.07910817120864522,0.08013221358851297,0.07982628005629522,0.08102143351425184,0.07693992190615973,0.07393208695430076,0.07354237477557035,0.07702845384665125,0.0812271588438307,0.07602566881541861,0.08338338533212664,0.0810394402797101,0.08525017206557095,0.08405435111490078,0.0845588619922637,0.08160833962210745,0.08110526847303845,0.0867938486408093,0.08027861646405654,0.08206204665475525,0.0790437821415253,0.07554630235244986,0.08402880293533599,0.08466623054846423,0.07823334231579793
Ebox/CATATG:bHLH,0.10086374590173364,0.10048273908614647,0.1115557246375829,0.10011475262581371,0.10854035711963661,0.10175987050752155,0.11531791833112948,0.09121399759169435,0.10583133828185964,0.1132751221593935,0.10483050708717201,0.10144348350877408,0.11933840809797402,0.09821541301789694,0.09492318800766952,0.10393052423023619,0.10271382360951975,0.09956270433031023,0.11967635242035612,0.0998022725325427,0.10448456258745864,0.09255523358297069,0.11293969399412163,0.1093691460264381,0.10622305631113704,0.09966877027545706,0.11954533452808391,0.10716650349786505,0.10431850061286241,0.10729105505743064,0.09603181915008463,0.08742395193257835,0.11440186835534405,0.09911950642708689,0.11195262437104248,0.10500475449953228,0.09058468286821153,0.11223661090480164,0.11346786954527488,0.11224403385131154,0.0870049521618057,0.10760878807923291,0.09433151841221843,0.09935395244974643,0.09732650360092521,0.08120288133795839,0.10259863750252407,0.09897369655664079,0.10200670709309634,0.10935603584221099,0.11460887517023366,0.11542006552917883,0.1129375029267976,0.11049737356370315,0.10603014662046917,0.10026850541180465,0.10844003417878412,0.09154604378636577,0.09122097218642011,0.09874444584420417,0.1110693711816566,0.09627137575444067,0.0976563597068889,0.11028036441712175,0.10521537148451898,0.09989380254410207,0.1181598735274747,0.10319180593069177,0.09211078222142532,0.10578540705319028,0.1059627304202877,0.09837108953797724,0.10148379610745906,0.10439269378548488,0.0786494412823231,0.08338258536241483,0.11171001075126696,0.10184608639974613,0.10015310089511331,0.08673950853699353,0.11367982576484792,0.11963434188510291,0.11625591642223299,0.09966014763631392,0.11053422826807946,0.06279811842250638,0.11621581982763018,0.07498094098809815,0.050746543442073744,0.08050418441416696,0.07256019177202688,0.09258089972718153,0.08766260833363049,0.05991460650693625,0.05816288050846197,0.06300762609771482,0.10019746411126107,0.09446938944165595,0.08955718352808617,0.06761399724928197
RFX/1:RFX,0.0237539850641042,0.02617042339988984,0.023169613181380555,0.024764765897998586,0.02612603027955629,0.022554944138391875,0.025976031203754246,0.024861314814188518,0.025610871030949056,0.0242229276773287,0.024097304878523573,0.025919969397364184,0.028009281697450206,0.026921796816168353,0.02449218054243829,0.025526501674903557,0.022890765831107274,0.025273459119489416,0.025944588502170518,0.026214731129584834,0.025988039589719847,0.02282266362453811,0.025784226309042424,0.02493818837683648,0.021128587730345316,0.023667252593440935,0.023513269974500872,0.026145416632061824,0.022829014982562512,0.02495561123942025,0.022924073069589213,0.024642086267704144,0.028281669365242124,0.023958461300935596,0.026128058816539124,0.027113700882182457,0.023344464978436008,0.022664272430120036,0.024097160494420677,0.02298035541025456,0.022940593131352216,0.026998355839168653,0.024746256560320035,0.023686890781391412,0.026853782386751845,0.021369751484598964,0.028104454890126362,0.026138705361518078,0.02198459680948872,0.02340286082471721,0.026475758175365627,0.02664535032818094,0.02515084046171978,0.02401510754134506,0.025488134648185223,0.02232098364038393,0.024232849391410127,0.024795406265184283,0.02145915330038406,0.023497821326600388,0.023291992401937023,0.02627667954948265,0.024487118251272477,0.026228673799778335,0.02560805031680502,0.026203148139757104,0.028055767732439563,0.02470745205937419,0.024593399808509275,0.02590830429107882,0.0244738884648541,0.024823560437653214,0.02412569464650005,0.025076815276406705,0.025190755812218413,0.02452621396514587,0.026544635504251346,0.025340170657727867,0.024141038389643654,0.022088051919126883,0.025417299242690206,0.025682871855678968,0.026509689414524473,0.02553188247838989,0.023168454252299853,0.02374716807389632,0.025292918566265143,0.024145341361872852,0.022321799537166953,0.024343069992028177,0.024769548152107745,0.025550326652592048,0.027271947386907414,0.023832944309106097,0.02419966450543143,0.021724736550822854,0.024735314829740673,0.024542223778553307,0.02403728640638292,0.025663423526566476
Ebox/CAGCTG:bHLH,0.012806641127099283,0.011927655272302218,0.013504629576345906,0.011898954209755175,0.014151324197882786,0.012197166390251368,0.011717075482010841,0.010341747896745801,0.013863697677152231,0.012977677775779739,0.011866198314237408,0.013135932873410638,0.01338714244775474,0.011942691111471504,0.012138536185375415,0.013212598227255512,0.014362986985361204,0.0121724294294836,0.014517321658786386,0.014137635160295758,0.012769771390594542,0.013324004889000207,0.013316155869688373,0.014373067970154807,0.01245406671660021,0.01154957491235109,0.015147099707974121,0.01376406844065059,0.011807860544649884,0.01322491991595598,0.01218662699102424,0.011194709441042505,0.013735388303757645,0.013672685061465017,0.014657009101938456,0.011882583101396449,0.012363164743874222,0.013736281223827973,0.013863696505723055,0.013285630993777886,0.013972276174172293,0.015226093251840211,0.01344084284210112,0.013758204862824641,0.012741879247187171,0.014603016650653444,0.012467112916056067,0.010662866894563194,0.01093733703601174,0.014435512173804455,0.013747588905971497,0.013214871942182072,0.01411910833849106,0.01314056730188895,0.012176085663668346,0.011249994095123839,0.012139251120970584,0.013858274061931297,0.012490779503423255,0.013939890151959844,0.014691260250401683,0.01361837082367856,0.012910682322399225,0.013116629808791913,0.010747325235570315,0.015554898578557186,0.014851424231892452,0.012787163810571656,0.01289666467346251,0.01408309552789433,0.01236921529925894,0.01253204926615581,0.014078003674512729,0.01288358902093023,0.011786739210947417,0.010902985195571091,0.015279333274520468,0.012892063467006665,0.011181868605490308,0.011155272470205091,0.015130076251807623,0.013655243361426983,0.01568223316280637,0.013685576006537303,0.012002222894807346,0.008891597666661255,0.014785872008360457,0.010469656663190108,0.009198087340337224,0.011372442488209344,0.009281483013182878,0.011303611478069797,0.01198590875719674,0.008222101037972607,0.008973311763838865,0.010259531780320685,0.012499743039370514,0.013691267595277168,0.01194037160166772,0.010319425287889317
HD/12:homeodomain,0.047538796803564765,0.045878852884925436,0.043503937471541576,0.04265447780926479,0.0460352201553178,0.04313700136117404,0.046065446877037175,0.04684692048613215,0.04366863988980185,0.04355067416327074,0.046490504922985565,0.042921209991618525,0.04259548825211823,0.04415746489394223,0.042822681898542214,0.0454217771984986,0.043917686729400884,0.04470876774576027,0.044162384190713055,0.04444370701094158,0.04304923090239754,0.04038748826860683,0.044374494544172194,0.042213810032990295,0.04277912644465687,0.0448433973142528,0.043115928703628015,0.04575972356542479,0.04335204644303303,0.04422947100829333,0.04516105192305986,0.04604412208573194,0.04375602260552114,0.04658227504842216,0.04506485868478194,0.04614952054544119,0.04618947418930475,0.04568061330792261,0.04291475547506707,0.04460899767582305,0.04457270828424953,0.04307021761633223,0.046180057724996004,0.04447493644693168,0.04641689854906872,0.044982652078033425,0.04524744301306782,0.04388181976537453,0.04555190246173879,0.04061777706374414,0.04275570181198418,0.04202975000225706,0.04655920463119401,0.047563978034304455,0.041808896472502965,0.045116401932318695,0.04637180025019916,0.04313453406939516,0.04265912419214146,0.043069273728178814,0.04340561506978702,0.04450834868475795,0.04609892848384334,0.047859899495961145,0.04479881159204524,0.04694916320295306,0.04708767204283504,0.04582151876093121,0.045684978111239616,0.04383740300545469,0.04476921650348231,0.048174854171520565,0.046234394518251065,0.04265403173485538,0.04475952763459645,0.04570542062720051,0.043206153277424164,0.044019818014930934,0.04119572675699601,0.040435409820929635,0.04235685204184847,0.044463277103204746,0.04395216788543621,0.04461732314666733,0.043676567591319326,0.045944461671751924,0.04440003541094484,0.04769425054837484,0.04573078463727143,0.04646077124925796,0.0453840025147656,0.047831764321017545,0.04540496943081962,0.04836634524690453,0.049727593614079524,0.047317595141066704,0.04790816899185302,0.04613819328369573,0.05089504341594875,0.046841086688800715
GC-tract:C2H2,0.023358245423878543,0.021787705227325205,0.023069311151630245,0.02021567797055468,0.023053389584674733,0.022075412510275783,0.02161963240178011,0.02275730671499332,0.021891573518587393,0.02268481363717001,0.021602658454867196,0.022844731305667665,0.02077725616072712,0.021693859511287883,0.021529770972847473,0.024627965409308672,0.024783914968793397,0.019890478510205867,0.021158632368951658,0.01965571027903934,0.02448440473381197,0.023366527435427997,0.02220967494940851,0.022114758110546973,0.02306078336914652,0.02291431330741034,0.01995011057829288,0.0230269913590746,0.02208283186337212,0.02292945007138769,0.02044620944388953,0.022522195380588528,0.021413087746623205,0.024261512593511725,0.02133477861934807,0.02166433363890974,0.02299796745137428,0.022691163991112262,0.019636921887467906,0.022390946051018545,0.023359619866823778,0.024166806746507064,0.021496844905414036,0.023949867780174827,0.02176276252430398,0.023729707332677208,0.023546196171082556,0.020362177532661008,0.01955210481173708,0.021201918902079342,0.02044668299095065,0.019999698241008446,0.021662190699316852,0.024528041438315995,0.02182064995940891,0.022491247746074805,0.020738120780151803,0.0225566485823947,0.025219393537554424,0.02317171225877246,0.023350152816419723,0.02305739704388543,0.023736537412332837,0.021212488619994474,0.02192312659099116,0.024083156960841734,0.020735328525915975,0.020902494298752572,0.02305218576293555,0.022085493914346443,0.022685984971758444,0.023482529119064566,0.02211875331340707,0.020394521390699083,0.022595302267291117,0.02184638126709615,0.020714559349926276,0.022724737416865537,0.02229299542523222,0.02090860985845211,0.021311440352292266,0.01978615926054772,0.01942468126685526,0.022021526456228457,0.019411317894991953,0.02373012080352055,0.023170508684415836,0.024282536016471568,0.022738927029422484,0.02134965473669581,0.0216677022363001,0.022413299535401165,0.023834034120227443,0.024717429289012216,0.022759298131859396,0.02254609141527908,0.02090108105062427,0.022889878229761962,0.022384286417945987,0.023411804064380703
Ebox/CACGTG/2:bHLH,0.0021156616567168385,0.0022050442348700017,0.0021542016766034067,0.002117650641594082,0.0018763667903840542,0.0018647297547431663,0.0019074775627814233,0.0022361869050655514,0.0017892972246045247,0.0019683845166582614,0.002424642676487565,0.0019509322592057288,0.002316843281732872,0.001981194582185708,0.001916341541800648,0.0019802576425718144,0.002072302275337279,0.0018696835322771221,0.002029642419074662,0.002415196126094088,0.002072488365229219,0.002075980170047842,0.0021141622855793685,0.00199992346460931,0.002167904662201181,0.002028765477007255,0.0020667513454100117,0.00206424220232293,0.0018595156725496054,0.002047155809123069,0.0018990262178704143,0.0021352639596443623,0.001996972830966115,0.0018404623697279021,0.0019253568607382476,0.0021921374718658626,0.0017226419149665162,0.0017874893237603828,0.0018215535747003742,0.00193094190035481,0.001843666410422884,0.0022145270777400583,0.0021712690650019795,0.002042115171207115,0.001821530458983034,0.0018683479720493779,0.0021074080577818677,0.002134231763193384,0.0017563895089551806,0.0018356563232373446,0.001887585487565957,0.0019033931457670406,0.0018847988249035552,0.001818263714085333,0.001971524427062832,0.0016678898391546682,0.00185775947466027,0.002178123948397115,0.0021304535039234906,0.001862282573711127,0.0017818023043219,0.0018437158723827451,0.00212286421447061,0.002139482690836303,0.002104031475028023,0.002254244842333719,0.002077509503578767,0.0020377743348944932,0.0018464164313627407,0.0019736128742806613,0.0022013665293343365,0.002147062448784709,0.0019005128124263138,0.0018797176744556054,0.0018119969317922369,0.001678635599091649,0.0023258787696249783,0.002140864817192778,0.0020443879475351423,0.0020732713892357424,0.0018052161758532748,0.002186662270105444,0.00206939727650024,0.0018948590150102973,0.002177780232159421,0.0018990690296050161,0.0019966917170677334,0.002099241450196132,0.002132289548171684,0.001962684065802023,0.0020859326177742332,0.0016530227148905396,0.002008374096476473,0.0018437470134813339,0.0014119936677161604,0.0015675248723709956,0.001876147187431343,0.0021912977244937792,0.0020916389185003936,0.0018026751349680126
RFX/3:RFX,0.01421533118991647,0.014098606101470068,0.013249894473119639,0.014253527129767463,0.01396705630759243,0.01446568356914213,0.013777700369246304,0.014129119765129872,0.014757272932911292,0.015311274430132471,0.013172517603379674,0.014697218750370666,0.015308926813304424,0.015633913295459934,0.014201958736521192,0.014545898637152277,0.01522189105162397,0.013325941370567307,0.014451983915932942,0.01317952545650769,0.015742835428682156,0.01439582299644826,0.014668763149529696,0.013068169544567354,0.013766719464911148,0.014294297332526185,0.014927823579455435,0.015000520783360116,0.01266097191546578,0.014719656319357455,0.014617946522776037,0.015898199650109746,0.01471134701569099,0.01604257896542549,0.0139164269057801,0.014707062931847759,0.014491159323370084,0.013691064261365682,0.012572222185553983,0.014757755096070468,0.013869329064618796,0.01643710254575126,0.015318529200158082,0.01511296845274046,0.01348024999606423,0.01422863153857179,0.015120610289159231,0.013208063275669701,0.012605963085661642,0.013612696762720589,0.013409323219093494,0.012089373398339376,0.012758947646943852,0.014421905856579542,0.014136894926195964,0.013885976528399624,0.014482881699223071,0.013907685730373487,0.013778154490864836,0.015232888254104182,0.013208720032707788,0.014760616773855872,0.01469593589717988,0.013732256193179637,0.015392021523439325,0.015746918448712677,0.013851187686668709,0.013625859937747009,0.015748584846733138,0.01440588675905019,0.01434141758363694,0.015749782556667924,0.014688100549392402,0.014708959788549691,0.013518882638891228,0.014648209224105813,0.013937682757386938,0.013420650851912796,0.015287638307199813,0.012282137191505171,0.013631707821332384,0.014355556770169642,0.013794066762784496,0.015107750383322127,0.012858485846663825,0.01522122613096144,0.014967381895985454,0.01588921267830301,0.014626794189098291,0.014529520602081902,0.014659085878520273,0.014464896434219554,0.014975954603869468,0.013561973115429282,0.013873587406123988,0.013128509366651997,0.012290384358493611,0.01463546248851344,0.01436109293717891,0.013824513342115097
Ebox/CAGATGG:bHLH,0.026125408185180277,0.023572755831992254,0.025347150338348,0.02404147238121368,0.02615520142717287,0.02395926052122377,0.026507531423703767,0.021509651909582317,0.02421154305920936,0.026502563152462244,0.022784795495681465,0.023265456708031707,0.028628551895963028,0.02102907604421489,0.022425958421081305,0.024190525989979506,0.02527510971412994,0.021652626688592136,0.026870527042774484,0.021844779490493238,0.02497412305092439,0.023355602199444547,0.02601163982762955,0.025012030848301947,0.024925000019720756,0.023121997102862224,0.02821656721062027,0.02458572984323837,0.022932764870347455,0.025612163153709844,0.021450366475619376,0.020366897239000537,0.027129328926093876,0.023895504855317995,0.02568919674376957,0.022593025845708326,0.020364698313642293,0.025772291439352557,0.024531765055144206,0.024877370859030634,0.021334701916202903,0.024671428836882114,0.020689227603725158,0.02313125433283858,0.023753048095386475,0.02054434835736174,0.02367428259458393,0.020338787086075172,0.023602376502822153,0.022343019518302754,0.023982086044270545,0.02370102543500252,0.024741665634792298,0.02684539055917412,0.023058770777424797,0.02087652322370559,0.02380191293923417,0.02134793161530979,0.024281421981868334,0.022685423668008298,0.024752595694735646,0.024092851032037288,0.02211929475015495,0.02520144778827671,0.023106683773221448,0.021556030682404526,0.025662806641776115,0.023145341241615824,0.02312449910095893,0.02448769164038822,0.02324404747923836,0.022037841510609724,0.024107808771077543,0.022303470890619792,0.0193204032475478,0.018838765565305948,0.024461826193146408,0.021735490969149396,0.02309133150265552,0.020654855055909138,0.02513543688110076,0.02650704374536872,0.02540105368825607,0.022466292502940632,0.02410136637627147,0.020266358842491172,0.025688360270578414,0.017576886413735338,0.014827096252702177,0.019549934891983867,0.01793112131417729,0.02092630250263028,0.01915299889515154,0.015174114145338535,0.014399657200556248,0.01545868489483837,0.024665348246344365,0.022137421430670656,0.021037180064013228,0.016369317374483217
