,subfamily,sum,cat
pseudobulk_0,NR/1:nuclearreceptor,0.0610695026116442,immune
pseudobulk_1,NR/1:nuclearreceptor,0.0491428584791717,immune
pseudobulk_2,NR/1:nuclearreceptor,0.0574315791018303,immune
pseudobulk_3,NR/1:nuclearreceptor,0.0493098085280506,immune
pseudobulk_4,NR/1:nuclearreceptor,0.0480196418939155,immune
pseudobulk_5,NR/1:nuclearreceptor,0.0464831552817483,immune
pseudobulk_6,NR/1:nuclearreceptor,0.0555178424110633,immune
pseudobulk_7,NR/1:nuclearreceptor,0.0548851063940672,immune
pseudobulk_8,NR/1:nuclearreceptor,0.0527524694334714,immune
pseudobulk_9,NR/1:nuclearreceptor,0.0539599541807544,immune
pseudobulk_10,NR/1:nuclearreceptor,0.0640052284579721,immune
pseudobulk_11,NR/1:nuclearreceptor,0.0415455194306557,immune
pseudobulk_12,NR/1:nuclearreceptor,0.0414782358566296,immune
pseudobulk_13,NR/1:nuclearreceptor,0.0445385163184253,immune
pseudobulk_14,NR/1:nuclearreceptor,0.05771845579147301,immune
pseudobulk_15,NR/1:nuclearreceptor,0.058868400752544,immune
pseudobulk_16,NR/1:nuclearreceptor,0.0384255805402059,immune
pseudobulk_17,NR/1:nuclearreceptor,0.0559383528307077,immune
pseudobulk_18,NR/1:nuclearreceptor,0.0585992040578272,immune
pseudobulk_19,NR/1:nuclearreceptor,0.04985610011499339,immune
pseudobulk_20,NR/1:nuclearreceptor,0.0577596445800735,immune
pseudobulk_21,NR/1:nuclearreceptor,0.058134387247264,immune
pseudobulk_22,NR/1:nuclearreceptor,0.060461194370872905,immune
pseudobulk_23,NR/1:nuclearreceptor,0.06019452249165601,immune
pseudobulk_24,NR/1:nuclearreceptor,0.0497686134185639,immune
pseudobulk_25,NR/1:nuclearreceptor,0.05022377311252021,immune
pseudobulk_26,NR/1:nuclearreceptor,0.046144265448674206,immune
pseudobulk_27,NR/1:nuclearreceptor,0.052399456617422,immune
