,family,gene,mean_expression,correlation,pval
0,NR/1:nuclearreceptor,Hnf4a,0.32115564,0.07858947812523223,0.01615053943917171
1,NR/1:nuclearreceptor,Hnf4g,0.15224153,-0.047482105801342635,0.14832107771766048
2,NR/1:nuclearreceptor,Nr1h3,0.9834009,0.402812644341588,4.454767469922373e-40
3,NR/1:nuclearreceptor,Rxrg,0.22069596,-0.03667986119216988,0.2465139512765015
4,NR/1:nuclearreceptor,Nr2f6,1.6861137,0.8014161612243457,2.6457972459453293e-224
5,NR/1:nuclearreceptor,Nr2c2,1.7368118,0.55086281321976,3.931039116973253e-80
6,NR/1:nuclearreceptor,Rxra,1.2130625,0.6016038790883343,4.470637165563258e-99
7,NR/1:nuclearreceptor,Rxrb,1.7716334,0.6637154896446616,1.7692486898174946e-127
8,NR/1:nuclearreceptor,Nr1h2,1.9332197,0.8526948726948728,1.1121654778434343e-282
9,NR/1:nuclearreceptor,Nr2f1,0.39617217,0.22241858543031798,1.6105007579554347e-12
0,ETS/2:ETS,Ehf,0.5648718,0.03685999079561976,0.26454991286536605
1,ETS/2:ETS,Elf3,0.6938556,-0.04468490415071067,0.18666858223873534
2,ETS/2:ETS,Elf5,0.09331278,-0.08795660127558297,0.007771239573337724
3,ETS/2:ETS,Erg,0.539399,-0.016931907606720788,0.5927863712076751
4,ETS/2:ETS,Elf2,1.8664236,0.1627461732344118,4.242064457721156e-07
5,ETS/2:ETS,Etv5,1.24202,-0.0452743286096371,0.19829234474746243
6,ETS/2:ETS,Ets1,1.9548242,0.3224591954555198,5.4137539034739705e-25
7,ETS/2:ETS,Fli1,1.687781,0.6469925676073868,1.506529984272212e-118
8,ETS/2:ETS,Elk4,1.6498348,0.19603911392028742,8.762480868139511e-10
9,ETS/2:ETS,Etv4,0.29857153,-0.30104122523954147,6.97969786527157e-22
10,ETS/2:ETS,Etv6,1.524984,0.3263247071590573,1.9819741941629482e-25
11,ETS/2:ETS,Ets2,1.8567158,-0.20060970928470503,4.011285698720155e-10
12,ETS/2:ETS,Fev,0.08421148,-0.1256120995984255,0.000110572742294466
0,KLF/SP/2:C2H2,Egr1,2.2033916,0.6931035091035092,2.891954669050635e-143
1,KLF/SP/2:C2H2,Egr2,1.251705,0.5528277795642195,1.0624910503579818e-80
2,KLF/SP/2:C2H2,Sp1,1.8245987,0.7499927002426784,2.1606712268676777e-180
3,KLF/SP/2:C2H2,Patz1,1.331188,0.20414840150462918,8.641176165330499e-11
4,KLF/SP/2:C2H2,Sp3,1.9918208,0.6367589126691895,2.9486283233703444e-114
5,KLF/SP/2:C2H2,Vezf1,1.9652467,0.7829819236798152,9.937910973321723e-207
6,KLF/SP/2:C2H2,Klf6,2.2947707,0.663888651888652,1.945110482528865e-127
7,KLF/SP/2:C2H2,Sp4,1.084096,0.27599912357615963,7.843879591471364e-19
8,KLF/SP/2:C2H2,Wt1,0.34637195,0.1698530565032237,7.339141441942735e-08
9,KLF/SP/2:C2H2,Klf4,1.9765624,0.636273907861911,4.127693294122043e-114
10,KLF/SP/2:C2H2,Sp5,0.103345685,0.1169219407943816,0.00022339483528023644
11,KLF/SP/2:C2H2,Sp2,1.5838913,0.5514132585726159,2.8600585772301728e-80
12,KLF/SP/2:C2H2,Klf5,1.0309341,0.5147802911788207,1.6690584707777205e-68
13,KLF/SP/2:C2H2,Klf3,1.9703525,0.5308394684319868,1.764176127483547e-73
14,KLF/SP/2:C2H2,Sall4,0.078465424,0.03620668223863978,0.25266557924026123
15,KLF/SP/2:C2H2,Klf1,0.20500512,0.2919232198192174,5.90193777660168e-21
16,KLF/SP/2:C2H2,Klf12,0.6925355,0.3766014180019314,7.782370201798725e-35
17,KLF/SP/2:C2H2,Rreb1,1.5079877,0.3379087296067553,5.903121486791782e-28
0,ETS/1:ETS,Elf1,2.1384916,0.6238431478431479,1.3168869052350208e-107
1,ETS/1:ETS,Elf2,1.8664236,0.27800969684372595,7.299302099702184e-19
2,ETS/1:ETS,Gabpa,1.5955001,0.3090132811678372,3.963359010334194e-23
3,ETS/1:ETS,Elk1,1.0383941,0.0910757537182201,0.005787249531154517
4,ETS/1:ETS,Elk4,1.6498348,0.3149186463662059,5.7997275474267386e-24
5,ETS/1:ETS,Etv1,0.9863944,-0.2648327952574435,3.2805574573628303e-17
6,ETS/1:ETS,Ehf,0.5648718,0.08254601819286717,0.012394080896462082
7,ETS/1:ETS,Elf4,1.482663,0.6223591278400761,2.983332401219874e-107
8,ETS/1:ETS,Elf3,0.6938556,0.05670070037170456,0.08463707541669908
9,ETS/1:ETS,Elf5,0.09331278,-0.043718297847665975,0.1751076536345478
10,ETS/1:ETS,Etv6,1.524984,0.36227259021483793,8.228581835890886e-32
11,ETS/1:ETS,Elk3,1.5656276,0.2474975031629511,3.687954719444177e-15
12,ETS/1:ETS,Zbtb7a,2.1815395,0.4336632209642106,2.26492709527028e-46
13,ETS/1:ETS,Fev,0.08421148,-0.12023402476918903,0.00021730837909980695
14,ETS/1:ETS,Etv4,0.29857153,-0.20486329631436226,1.0430027042290807e-10
15,ETS/1:ETS,Erg,0.539399,-0.0504548520604819,0.12189601120939937
16,ETS/1:ETS,Ets1,1.9548242,0.30085726596718537,5.581854797254544e-22
17,ETS/1:ETS,Etv5,1.24202,0.0054625086919620714,0.863024863688068
18,ETS/1:ETS,Etv3,1.4534016,0.41671923498391783,1.2229076791183365e-42
19,ETS/1:ETS,Fli1,1.687781,0.5373032224603439,5.155070646655541e-75
20,ETS/1:ETS,Spdef,0.19462708,-0.07386024094867959,0.02522828905056682
21,ETS/1:ETS,Erf,1.5098065,-0.07319077527648463,0.025213270606616406
0,ZFX:C2H2,Zfx,1.6739146,0.7699187609016961,6.652101755023373e-197
0,CREB/ATF/1:bZIP,Atf1,1.8107926,0.6202811921420358,2.441044065165037e-106
1,CREB/ATF/1:bZIP,Creb1,1.7343472,0.5340440988504958,4.478344399278263e-74
2,CREB/ATF/1:bZIP,Atf2,1.7452426,0.3106216864854166,1.5165204712067403e-23
3,CREB/ATF/1:bZIP,Atf3,1.9074348,0.10098492363996914,0.0013857302457541407
