,immune,endothelial,epithelial,connective,muscle,macroglial,pericyte,neuronal,exocrine,endocrine
NR/1:nuclearreceptor,0.04594179497814392,0.04565682504163321,0.05619048315845111,0.054147787481446615,0.04722173593787325,0.0470410711964061,0.05570003547472879,0.045886866070629494,0.03797123455296969,0.058867769511005676
ETS/2:ETS,2.589822762097254,1.8197663712646481,1.9873292565485863,1.6770699034571277,1.598703093731529,1.4527063436910554,1.6005743010464357,1.1404403231059794,1.2573421462916485,1.858897192630135
KLF/SP/2:C2H2,1.0254758392769567,1.1541809277580508,1.4375946425399209,1.3808256979728195,1.125202090596193,1.1575479791147478,1.3826166168209966,1.0345246149746734,0.8846155695420634,1.3765716350741153
ETS/1:ETS,2.5266532804540387,1.8712076751016828,2.1950128589793123,1.8526946124289445,1.850704924957107,1.6485511058573656,1.7905720616230003,1.3688012362310036,1.4265625142306817,2.0432058134683757
ZFX:C2H2,0.11824348576528482,0.1222234438470947,0.1285590781628331,0.12496083078160675,0.11965418150189303,0.12551507425310915,0.1276736546117263,0.12327497377970888,0.0987288812884799,0.15358161305587548
CREB/ATF/1:bZIP,0.1276981232366993,0.09143971892668344,0.11510492100413178,0.1051618780017426,0.12951116892967596,0.08142533891520706,0.1093103815158732,0.10326005752618325,0.07752692087524338,0.13045289022674672
Ebox/CACGTG/2:bHLH,-0.02017443799193445,-0.008238672946113107,0.0012289780271570734,0.0025212129287423782,-0.009112471284547733,0.011695654732274982,-0.0020702590021149567,0.04391412942537239,0.0005556139003601857,0.01972467701553422
YY1:C2H2,1.2522803644566727,0.9264036005387833,1.1499737876988314,0.9276391341658934,1.1321192760653773,1.1802320366926453,1.0879421433022192,1.1269994509722372,0.9229224933060323,1.2542352374864147
EGR:C2H2,0.010694881085449987,0.011277240383143658,0.011833245519308748,0.013874538237453505,0.012234809840289951,0.013064753222596873,0.012095930440409575,0.014328227797315256,0.00949378844234161,0.012243128012521672
E2F/2:E2F,-0.028309050715969414,-0.0021260059773463213,0.01349856542349524,0.02473511543208068,0.004770460472295904,0.03187484708793748,0.018857002884033136,0.07565111380037186,-0.0010768112115329131,0.03855418448802084
Ebox/CACGTG/1:bHLH,0.11710181908369124,0.08401566841632178,0.10591172156573801,0.09464632765547971,0.10608424270164529,0.09075725693590077,0.0987901067455823,0.07978756928891276,0.08516572722874116,0.10841541453512893
N/A,0.08463605999127433,0.06584795124361767,0.08118144338282628,0.07312444447864762,0.07581459415872371,0.08704796839130069,0.07327278766024392,0.09893927086419094,0.0548075761707878,0.09812605946653467
SPI:ETS,0.015957580317033013,0.01296451305285018,0.01312082167418752,0.013460138988276965,0.013713226039849483,0.013091617484353545,0.017403006503172946,0.015895261520621977,0.008316635997971389,0.014610347731250199
MBD2:MBD,0.016444575095998847,0.01962395865228831,0.02354811860320845,0.022906589446855443,0.01956152623343105,0.02438977990566808,0.026285287012190867,0.02616454248449632,0.013337290161871351,0.02840948704739704
NR/12:nuclearreceptor,0.0175451479014319,0.016460523827167197,0.018241501370626693,0.0178091869423432,0.019772139856138744,0.014000947050636826,0.01794639677973464,0.015394418043017919,0.014672418692498468,0.01860867948476773
GC-tract:C2H2,-0.2472162119392371,-0.17485917938359466,-0.2365013655643964,-0.1502616635651884,-0.17516122195324035,-0.19194300300468733,-0.1686121834233442,-0.13858761559056024,-0.16467359987200325,-0.22333528540147038
CREB/ATF/2:bZIP,0.08159242238226154,0.06400947158508026,0.074758919976988,0.07013732369250517,0.08138478108102808,0.06451962916486455,0.07206151625481046,0.05444589663030846,0.05456888676781091,0.07063465034126934
KLF/SP/3:C2H2,-0.011947911817690424,-0.00489493297801207,-0.011074245226615721,-0.0017859323138795194,-0.005151831618875165,-0.005836447867832015,0.0029645577645472563,-0.002619241237490704,-0.006849957739177626,-0.007646037121851216
IRF/1:IRF,0.023741120395628517,0.01742849324364215,0.01997528584874937,0.019187338032892774,0.014860706586340392,0.012968801068312202,0.01584167017911871,0.015533966877098595,0.010596576728858054,0.02264790382126675
