,Reproducibility
NR/1:nuclearreceptor,0.5
ETS/2:ETS,1.0
KLF/SP/2:C2H2,1.0
ETS/1:ETS,1.0
ZFX:C2H2,0.8
CREB/ATF/1:bZIP,0.6
Ebox/CACGTG/2:bHLH,0.6
YY1:C2H2,1.0
EGR:C2H2,0.3
E2F/2:E2F,0.7
Ebox/CACGTG/1:bHLH,0.8
N/A,0.8
SPI:ETS,0.3
MBD2:MBD,0.3
NR/12:nuclearreceptor,0.2
GC-tract:C2H2,0.9
CREB/ATF/2:bZIP,0.4
KLF/SP/3:C2H2,0.2
IRF/1:IRF,0.2
TFAP2/2:TFAP,0.3
CUX/1:CUT,0.1
SNAI2:C2H2,0.3
Ebox/CACCTG:bHLH,0.9
CTCF:C2H2,0.4
REST/NRSF:C2H2,0.1
Ebox/CAGCTG:bHLH,0.8
NR/5:nuclearreceptor,0.2
IRF/2:IRF,0.2
NR/3:nuclearreceptor,0.2
SMAD:SMAD,0.3
RFX/1:RFX,0.3
CCAAT/CEBP:bZIP,0.1
Ebox/CAGATGG:bHLH,0.2
AP1/2:bZIP,0.1
NR/7:nuclearreceptor,0.2
HD/2:homeodomain,0.1
TBX/2:TBX,0.2
IRF/3:IRF,0.1
MZF1:C2H2,0.1
BCL6/2:C2H2,0.2
NFI/1:NFI,0.1
KLF/SP/1:C2H2,0.2
ZSCAN4:C2H2,0.1
