,subfamily,sum,cat
pseudobulk_0,ETS/2:ETS,1.566265927685886,immune
pseudobulk_1,ETS/2:ETS,1.3687903691315975,immune
pseudobulk_2,ETS/2:ETS,1.5176198258704923,immune
pseudobulk_3,ETS/2:ETS,1.2063279950525567,immune
pseudobulk_4,ETS/2:ETS,1.3093981480342287,immune
pseudobulk_5,ETS/2:ETS,1.203283008420835,immune
pseudobulk_6,ETS/2:ETS,1.514880155678834,immune
pseudobulk_7,ETS/2:ETS,1.3947721560252786,immune
pseudobulk_8,ETS/2:ETS,1.3609704632544846,immune
pseudobulk_9,ETS/2:ETS,1.4648589998250783,immune
pseudobulk_10,ETS/2:ETS,1.584397531172722,immune
pseudobulk_11,ETS/2:ETS,1.2875850601703815,immune
pseudobulk_12,ETS/2:ETS,1.251334158005188,immune
pseudobulk_13,ETS/2:ETS,1.2318704699282492,immune
pseudobulk_14,ETS/2:ETS,1.554957030108194,immune
pseudobulk_15,ETS/2:ETS,1.655707852682093,immune
pseudobulk_16,ETS/2:ETS,1.0160094379971223,immune
pseudobulk_17,ETS/2:ETS,1.5331993198487863,immune
pseudobulk_18,ETS/2:ETS,1.5975641595432486,immune
pseudobulk_19,ETS/2:ETS,1.3046800208976448,immune
pseudobulk_20,ETS/2:ETS,1.5419270775746505,immune
pseudobulk_21,ETS/2:ETS,1.5897140289889602,immune
pseudobulk_22,ETS/2:ETS,1.6306726245675187,immune
pseudobulk_23,ETS/2:ETS,1.595926406793292,immune
pseudobulk_24,ETS/2:ETS,1.4828797176014583,immune
pseudobulk_25,ETS/2:ETS,1.4560174728976518,immune
pseudobulk_26,ETS/2:ETS,1.4142003059387163,immune
pseudobulk_27,ETS/2:ETS,1.4611041471944142,immune
pseudobulk_28,ETS/2:ETS,1.4098489503376135,immune
pseudobulk_29,ETS/2:ETS,1.5570261101238383,immune
pseudobulk_30,ETS/2:ETS,1.5395157393068026,immune
pseudobulk_31,ETS/2:ETS,1.2927131440082982,immune
pseudobulk_32,ETS/2:ETS,1.37676695361733,immune
pseudobulk_33,ETS/2:ETS,1.4385499287163788,immune
pseudobulk_34,ETS/2:ETS,1.2316880065482068,immune
pseudobulk_35,ETS/2:ETS,1.5176566930604123,immune
pseudobulk_36,ETS/2:ETS,1.5025070679257575,immune
pseudobulk_37,ETS/2:ETS,1.448837349307719,immune
pseudobulk_38,ETS/2:ETS,1.3366138567216646,immune
pseudobulk_39,ETS/2:ETS,1.593399863224472,immune
pseudobulk_40,ETS/2:ETS,1.2348504484398246,immune
pseudobulk_41,ETS/2:ETS,1.1958382598240815,immune
pseudobulk_42,ETS/2:ETS,1.610654352582055,immune
pseudobulk_43,ETS/2:ETS,1.1430187019868707,immune
pseudobulk_44,ETS/2:ETS,1.492316058953288,immune
pseudobulk_45,ETS/2:ETS,1.6070337395649363,immune
pseudobulk_46,ETS/2:ETS,1.2517291920375964,immune
pseudobulk_47,ETS/2:ETS,1.370481482124883,immune
pseudobulk_48,ETS/2:ETS,1.318443326163101,immune
pseudobulk_49,ETS/2:ETS,1.452927615842777,immune
pseudobulk_50,ETS/2:ETS,1.50622281763935,immune
pseudobulk_51,ETS/2:ETS,1.453999436809676,immune
pseudobulk_52,ETS/2:ETS,1.4018985879374624,immune
pseudobulk_53,ETS/2:ETS,1.4373638977995093,immune
pseudobulk_54,ETS/2:ETS,1.514907437609504,immune
pseudobulk_55,ETS/2:ETS,1.2887764827464665,immune
pseudobulk_56,ETS/2:ETS,1.4546715260948937,immune
pseudobulk_57,ETS/2:ETS,1.2777584948344116,immune
pseudobulk_58,ETS/2:ETS,1.0683249480498445,immune
pseudobulk_59,ETS/2:ETS,1.6025603287853256,immune
pseudobulk_60,ETS/2:ETS,1.3987927081761828,immune
pseudobulk_61,ETS/2:ETS,0.7966920345788774,immune
pseudobulk_62,ETS/2:ETS,1.329225828871126,immune
pseudobulk_63,ETS/2:ETS,1.054834536160337,immune
pseudobulk_64,ETS/2:ETS,1.0926377498835744,immune
pseudobulk_65,ETS/2:ETS,1.5666858189506414,immune
