,agg_scores,exp_scores,cell_type_category
pseudobulk_0,0.1197020285762844,2.3150882720947266,immune
pseudobulk_1,0.094309992389753,2.0485968589782715,immune
pseudobulk_2,0.1114434397313739,2.0928313732147217,immune
pseudobulk_3,0.0927156836260105,1.8269352912902832,immune
pseudobulk_4,0.09676601574756159,2.237051486968994,immune
pseudobulk_5,0.0913629338610912,1.832608938217163,immune
pseudobulk_6,0.1059791285078969,2.304672956466675,immune
pseudobulk_7,0.1024074763990934,2.0494630336761475,immune
pseudobulk_8,0.1042977867182339,2.0467095375061035,immune
pseudobulk_9,0.10451271617785059,2.2796261310577393,immune
pseudobulk_10,0.10974598722532351,2.278158187866211,immune
pseudobulk_11,0.0923406884539868,1.8335069417953491,immune
pseudobulk_12,0.0852046494837846,1.6935224533081055,immune
pseudobulk_13,0.0916807128814977,2.1141908168792725,immune
pseudobulk_14,0.1090547863859678,2.2869575023651123,immune
pseudobulk_15,0.1170834077056492,2.058767318725586,immune
pseudobulk_16,0.0828986796550446,1.8573698997497559,immune
pseudobulk_17,0.10822379426099302,2.03621506690979,immune
pseudobulk_18,0.109615037683397,2.0234344005584717,immune
pseudobulk_19,0.0942126503214235,2.0521202087402344,immune
pseudobulk_20,0.1118561569601292,2.189065456390381,immune
pseudobulk_21,0.109362467192113,2.0372095108032227,immune
pseudobulk_22,0.1168968938291069,2.0365567207336426,immune
pseudobulk_23,0.11233248026110189,2.2168943881988525,immune
pseudobulk_24,0.10578489582985601,2.2654080390930176,immune
pseudobulk_25,0.1015673037618395,2.0621449947357178,immune
pseudobulk_26,0.09166970802470979,2.0881478786468506,immune
pseudobulk_27,0.1046431346330787,2.3409981727600098,immune
pseudobulk_28,0.1026055922266091,2.3012847900390625,immune
pseudobulk_29,0.1156130754388864,2.3470726013183594,immune
pseudobulk_30,0.10758952039759559,2.3482728004455566,immune
pseudobulk_31,0.0853436156176027,2.0277183055877686,immune
pseudobulk_32,0.0985403771046543,2.102337598800659,immune
pseudobulk_33,0.10713273962028269,2.044607162475586,immune
pseudobulk_34,0.0993926187511529,1.7461689710617065,immune
pseudobulk_35,0.1117356844479213,2.0402846336364746,immune
pseudobulk_36,0.1171249547041949,2.2247660160064697,immune
pseudobulk_37,0.1133128409273917,2.1408801078796387,immune
pseudobulk_38,0.0868415976874527,2.141141653060913,immune
pseudobulk_39,0.10957920993678232,1.9224656820297241,immune
pseudobulk_40,0.0886711367638778,2.0027127265930176,immune
pseudobulk_41,0.0788068382535125,2.127039909362793,immune
pseudobulk_42,0.11200162419117961,2.180830955505371,immune
pseudobulk_43,0.09626780240796469,1.9877862930297852,immune
pseudobulk_44,0.1043985348660493,2.058539867401123,immune
pseudobulk_45,0.11199976527132048,2.0329065322875977,immune
pseudobulk_46,0.097416142467409,2.0298967361450195,immune
pseudobulk_47,0.098729763180017,2.3556857109069824,immune
pseudobulk_48,0.0986111827660349,2.2804312705993652,immune
pseudobulk_49,0.1078754924237725,2.2364630699157715,immune
pseudobulk_50,0.10792668280191658,2.3852105140686035,immune
pseudobulk_51,0.10758311883546369,2.1266400814056396,immune
pseudobulk_52,0.1043460774235423,2.2724769115448,immune
pseudobulk_53,0.1074349873233582,2.39811635017395,immune
pseudobulk_54,0.1089045193511988,2.3732526302337646,immune
pseudobulk_55,0.0993277690140526,2.144456386566162,immune
pseudobulk_56,0.1032513121608642,1.8980082273483276,immune
pseudobulk_57,0.0877803275361652,2.0335323810577393,immune
pseudobulk_58,0.0842849138425658,1.7968648672103882,immune
pseudobulk_59,0.11342988931573879,2.218750238418579,immune
pseudobulk_60,0.1063143471255894,2.234823226928711,immune
pseudobulk_61,0.060463852481916,1.5848931074142456,immune
pseudobulk_62,0.0884644233155994,1.977503776550293,immune
pseudobulk_63,0.08605638402514111,1.8760054111480713,immune
pseudobulk_64,0.0825002181809391,1.8403518199920654,immune
pseudobulk_65,0.1081098001450297,2.069866895675659,immune
pseudobulk_66,0.10844086320139432,2.141421318054199,immune
pseudobulk_67,0.09299438958987549,1.83852219581604,immune
pseudobulk_68,0.0930446834536266,1.870981216430664,immune
pseudobulk_69,0.10570649500004921,2.132941961288452,immune
pseudobulk_70,0.1086037503555412,2.194929599761963,immune
pseudobulk_71,0.0932580651715394,1.873983383178711,immune
pseudobulk_72,0.10221759020350832,1.9616094827651978,immune
pseudobulk_73,0.1018529105931516,2.0665283203125,immune
pseudobulk_74,0.09080547722987789,1.8379629850387573,immune
pseudobulk_75,0.0920046332757916,1.8439346551895142,immune
pseudobulk_76,0.0928139237221325,1.8786826133728027,immune
pseudobulk_77,0.0983664232771838,1.8889790773391724,immune
pseudobulk_78,0.1010897876694793,2.022674083709717,immune
pseudobulk_79,0.100244250032119,2.0966577529907227,immune
pseudobulk_80,0.10672129318118061,2.1001124382019043,immune
pseudobulk_81,0.0908048304263498,1.8491190671920776,immune
pseudobulk_82,0.08602537086699119,1.8842905759811401,immune
pseudobulk_83,0.11177806858904621,2.131488800048828,immune
pseudobulk_84,0.0890454864129421,1.8174704313278198,immune
pseudobulk_85,0.0950392673257733,1.851995587348938,immune
pseudobulk_86,0.1098745958879585,2.1834115982055664,immune
pseudobulk_87,0.11160774249583431,2.1523845195770264,immune
pseudobulk_88,0.10556473862379741,1.9915006160736084,immune
pseudobulk_89,0.11066173808649162,2.0996973514556885,immune
pseudobulk_90,0.0923921132925894,1.7942984104156494,immune
pseudobulk_91,0.1020026183687146,2.0420010089874268,immune
pseudobulk_92,0.0956974665168669,1.9755823612213135,immune
pseudobulk_93,0.0967619926668698,2.114845037460327,immune
pseudobulk_94,0.10783484007697519,2.0417888164520264,immune
pseudobulk_95,0.099156537558883,2.145148277282715,immune
pseudobulk_96,0.10181407583877411,2.1791813373565674,immune
pseudobulk_97,0.0964400693774219,1.98178231716156,immune
pseudobulk_98,0.10376851586624909,2.226855516433716,immune
pseudobulk_99,0.1014549583196636,2.232949733734131,immune
pseudobulk_100,0.10438227816484819,2.0647034645080566,immune
pseudobulk_101,0.1070031435228879,2.011240243911743,immune
pseudobulk_102,0.1044911646749819,2.083991765975952,immune
pseudobulk_103,0.0932557613123204,1.9103169441223145,immune
pseudobulk_104,0.11280854884535031,2.338568687438965,immune
pseudobulk_105,0.0996122788637872,2.112377405166626,immune
pseudobulk_106,0.10967524582520101,2.105567693710327,immune
pseudobulk_107,0.0999183107633139,2.0333683490753174,immune
pseudobulk_108,0.1106238020583982,2.136164903640747,immune
pseudobulk_109,0.1002767247846344,2.0907044410705566,immune
pseudobulk_110,0.1056230606045569,2.2187228202819824,immune
pseudobulk_111,0.082236964255571,1.8245680332183838,immune
pseudobulk_112,0.1154026780277487,2.3447842597961426,immune
pseudobulk_113,0.061794652021489704,1.7446843385696411,immune
pseudobulk_114,0.0690302990842608,1.8829277753829956,immune
pseudobulk_115,0.0850094826892014,1.7851014137268066,immune
pseudobulk_116,0.1040955698117609,2.290485143661499,immune
pseudobulk_117,0.1080039271619167,1.988602638244629,immune
pseudobulk_118,0.11222177534364129,2.013047456741333,immune
pseudobulk_119,0.1073234430514271,2.269315242767334,immune
pseudobulk_120,0.093077241675928,2.239835739135742,immune
pseudobulk_121,0.0900678188772867,1.8918207883834839,immune
pseudobulk_122,0.09406046825461041,2.224583387374878,immune
pseudobulk_123,0.1053745066747065,2.0862865447998047,immune
pseudobulk_124,0.10536660882644311,1.9743714332580566,immune
pseudobulk_125,0.1078728686552491,2.0122568607330322,immune
pseudobulk_126,0.0796579322777684,1.8517812490463257,immune
pseudobulk_127,0.10248341993428721,2.0992605686187744,immune
pseudobulk_128,0.10826289397664339,1.9946115016937256,immune
pseudobulk_129,0.1051560754422093,2.141525983810425,immune
pseudobulk_130,0.11216585803776931,2.097543478012085,immune
pseudobulk_131,0.11123711534310068,2.0466883182525635,immune
pseudobulk_132,0.0978496279567476,1.8590894937515259,immune
pseudobulk_133,0.1008604036178436,1.9250948429107666,immune
pseudobulk_134,0.0985045176930722,2.040632724761963,immune
pseudobulk_135,0.1198665928095573,2.354909658432007,immune
pseudobulk_136,0.1018960208166386,2.0751686096191406,immune
pseudobulk_137,0.100700502749532,1.9854849576950073,immune
pseudobulk_138,0.09191970410756728,1.927998661994934,immune
pseudobulk_139,0.10724775027483659,2.123833417892456,immune
pseudobulk_140,0.1089257521089161,2.091201066970825,immune
pseudobulk_141,0.10808529681526091,2.0197296142578125,immune
pseudobulk_142,0.09621681086718999,2.134394884109497,immune
pseudobulk_143,0.0923164874548087,1.9901398420333862,immune
pseudobulk_144,0.0978914600564163,2.1837146282196045,immune
pseudobulk_145,0.10060563916340419,2.194857120513916,immune
pseudobulk_146,0.0971275344490999,2.1444811820983887,immune
pseudobulk_147,0.1094386123586441,2.1785411834716797,immune
pseudobulk_148,0.10200575110502491,2.08321475982666,immune
pseudobulk_149,0.10673030465841268,2.039822816848755,immune
pseudobulk_150,0.1086034209001806,2.095339298248291,immune
pseudobulk_151,0.09534824360161981,2.1110594272613525,immune
pseudobulk_152,0.1116994651965793,2.1382176876068115,immune
pseudobulk_153,0.10405626241117659,2.042468786239624,immune
pseudobulk_154,0.0812252040486779,1.8284878730773926,immune
pseudobulk_155,0.0964332337025549,1.9888675212860107,immune
pseudobulk_156,0.0947766371536996,1.915117621421814,immune
pseudobulk_157,0.10714779235422581,2.0885634422302246,immune
pseudobulk_158,0.1052012427244332,2.1301379203796387,immune
pseudobulk_159,0.10335203609429261,2.179107904434204,immune
pseudobulk_160,0.0781843035947527,2.044175148010254,endothelial
pseudobulk_161,0.0772220608778295,1.8567869663238525,endothelial
pseudobulk_162,0.0499190969858315,1.673446536064148,epithelial
pseudobulk_163,0.0799241501372303,1.8750909566879272,connective
pseudobulk_164,0.0831431518308813,2.144177198410034,connective
pseudobulk_165,0.0640318007208402,1.5305548906326294,connective
pseudobulk_166,0.07974771363660639,1.8202440738677979,muscle
pseudobulk_167,0.07417619368061391,1.577397346496582,muscle
pseudobulk_168,0.07385447341948699,1.7697885036468506,connective
pseudobulk_169,0.0792741156183179,1.8620942831039429,muscle
pseudobulk_170,0.07848459971137291,2.02736234664917,connective
pseudobulk_171,0.0809630255680527,2.0538697242736816,connective
pseudobulk_172,0.05988095933571419,1.9246009588241577,epithelial
pseudobulk_173,0.08383506629616,1.9701915979385376,connective
pseudobulk_174,0.0721538343932474,1.7854574918746948,connective
pseudobulk_175,0.0713273487053806,1.7008095979690552,connective
pseudobulk_176,0.0653851067181673,1.378570795059204,connective
pseudobulk_177,0.06961208349093749,1.4915798902511597,connective
pseudobulk_178,0.07128335721790752,1.8441416025161743,connective
pseudobulk_179,0.06051461468450679,1.8172332048416138,epithelial
pseudobulk_180,0.0726976438891139,1.781854271888733,connective
pseudobulk_181,0.05898763705044931,1.8270313739776611,epithelial
pseudobulk_182,0.0662819517310706,1.4350799322128296,connective
pseudobulk_183,0.0584339764900502,1.5740172863006592,connective
pseudobulk_184,0.07344793668016761,1.7389403581619263,connective
pseudobulk_185,0.0707860700786108,1.8513288497924805,connective
pseudobulk_186,0.0676456219516689,1.4185714721679688,connective
pseudobulk_187,0.0599401183426376,1.5304713249206543,connective
pseudobulk_188,0.07557222363538989,1.7618117332458496,connective
pseudobulk_189,0.0652755785267796,1.7149935960769653,connective
pseudobulk_190,0.0690898809116329,1.6240828037261963,connective
pseudobulk_191,0.06159279961138921,1.6861721277236938,connective
pseudobulk_192,0.067413790384307,1.8677504062652588,connective
pseudobulk_193,0.07560859248042062,1.851375937461853,connective
pseudobulk_194,0.08809446496888962,1.7236528396606445,immune
pseudobulk_195,0.0915387000422919,1.7326449155807495,immune
pseudobulk_196,0.07797515438869539,1.677401065826416,immune
pseudobulk_197,0.1000382739584889,1.7159976959228516,immune
pseudobulk_198,0.0874958735657851,2.007035255432129,immune
pseudobulk_199,0.09602269879542251,1.9267101287841797,immune
pseudobulk_200,0.0799493470694865,1.5507479906082153,immune
pseudobulk_201,0.08293864922597971,1.761015772819519,immune
pseudobulk_202,0.07855651411227839,1.4905740022659302,immune
pseudobulk_203,0.1021595102502028,1.8404079675674438,immune
pseudobulk_204,0.09536235360428649,1.8627636432647705,immune
pseudobulk_205,0.07753033563494631,1.4582624435424805,immune
pseudobulk_206,0.0948942971881476,1.988964557647705,immune
pseudobulk_207,0.09209397633094289,2.0514676570892334,immune
pseudobulk_208,0.10514195496216369,1.9893907308578491,immune
pseudobulk_209,0.1090454729273912,2.020134687423706,immune
pseudobulk_210,0.1059038075618442,2.012925863265991,immune
pseudobulk_211,0.1087919755373146,1.8243361711502075,immune
pseudobulk_212,0.0935907328967002,1.696441888809204,immune
pseudobulk_213,0.1029903367161747,1.7698681354522705,immune
pseudobulk_214,0.0909003408160056,1.609421968460083,immune
pseudobulk_215,0.0926288310438391,1.6673392057418823,immune
pseudobulk_216,0.0961383325047787,1.3725789785385132,immune
pseudobulk_217,0.0989655496086921,1.7244290113449097,immune
pseudobulk_218,0.08452134276740209,1.7245475053787231,epithelial
pseudobulk_219,0.0689685447141524,1.531790018081665,epithelial
pseudobulk_220,0.0866202288307246,1.6987301111221313,epithelial
pseudobulk_221,0.08332010824233249,1.6866730451583862,epithelial
pseudobulk_222,0.0880128475837405,1.8391391038894653,epithelial
pseudobulk_223,0.0835269731469448,1.9157178401947021,epithelial
pseudobulk_224,0.0847728238441046,1.8428319692611694,epithelial
pseudobulk_225,0.07827068120241111,1.993531346321106,epithelial
pseudobulk_226,0.08225217554718202,1.7683770656585693,epithelial
pseudobulk_227,0.08212493755854611,1.7415733337402344,epithelial
pseudobulk_228,0.07184293889440549,1.626115083694458,epithelial
pseudobulk_229,0.070413497742265,1.429200291633606,epithelial
pseudobulk_230,0.06706674653105409,1.43028724193573,epithelial
pseudobulk_231,0.0898407024797047,1.8506152629852295,epithelial
pseudobulk_232,0.0863835134077814,1.8146960735321045,epithelial
pseudobulk_233,0.0662515365984288,1.3122971057891846,epithelial
pseudobulk_234,0.08573730057105369,1.923948884010315,epithelial
pseudobulk_235,0.0624172261450435,1.6081572771072388,epithelial
pseudobulk_236,0.0747521342709657,1.6378448009490967,epithelial
pseudobulk_237,0.0814744702074673,1.7939051389694214,epithelial
pseudobulk_238,0.08173613878898289,1.8623462915420532,epithelial
pseudobulk_239,0.06777502130716999,1.3371546268463135,epithelial
pseudobulk_240,0.06354980426840429,1.3650063276290894,epithelial
pseudobulk_241,0.08192831138148861,1.7851282358169556,epithelial
pseudobulk_242,0.0742156514897938,1.6373238563537598,epithelial
pseudobulk_243,0.07289923983626019,1.6428114175796509,epithelial
pseudobulk_244,0.083057542564347,1.6317490339279175,epithelial
pseudobulk_245,0.0727366672363128,1.6122002601623535,epithelial
pseudobulk_246,0.0744374305941159,1.585837721824646,epithelial
pseudobulk_247,0.075731762684881,1.4910013675689697,epithelial
pseudobulk_248,0.0836881585419174,1.6341062784194946,epithelial
pseudobulk_249,0.07727640680968709,1.3958803415298462,epithelial
pseudobulk_250,0.0732405185699457,1.402514934539795,epithelial
pseudobulk_251,0.0629731318913396,1.083338737487793,epithelial
pseudobulk_252,0.07447456894442389,1.2825016975402832,epithelial
pseudobulk_253,0.0790714691393073,1.8132405281066895,macroglial
pseudobulk_254,0.0927059475798155,1.901078701019287,macroglial
pseudobulk_255,0.0847498478833582,2.224329948425293,endothelial
pseudobulk_256,0.09152628667652558,1.6750531196594238,macroglial
pseudobulk_257,0.0652718504425134,1.656333327293396,connective
pseudobulk_258,0.0951281331945207,1.584964632987976,macroglial
pseudobulk_259,0.0864597244653847,1.6465473175048828,macroglial
pseudobulk_260,0.08448409917764321,1.5854685306549072,macroglial
pseudobulk_261,0.09663237794302361,1.947074294090271,macroglial
pseudobulk_262,0.077620186610147,1.5775480270385742,macroglial
pseudobulk_263,0.0758432259317483,1.8497211933135986,pericyte
pseudobulk_264,0.09261150937527371,1.7293009757995605,macroglial
