,agg_scores,exp_scores,cell_type_category
pseudobulk_0,0.7998751667471388,2.2360299,immune
pseudobulk_1,0.680109987298234,2.0960698,immune
pseudobulk_2,0.6357134034069499,1.9771501,immune
pseudobulk_3,0.5985539981384094,1.9215562,immune
pseudobulk_4,0.5608779878966701,2.0321717,immune
pseudobulk_5,0.5998109351103226,1.9043595,immune
pseudobulk_6,0.6575268594507933,2.1283834,immune
pseudobulk_7,0.5525442462104556,1.8012005,immune
pseudobulk_8,0.6229912562982877,1.8408628,immune
pseudobulk_9,0.6033302155773262,2.0143394,immune
pseudobulk_10,0.8589921566735894,2.3148005,immune
pseudobulk_11,0.4694405745342423,1.6988204,immune
pseudobulk_12,0.4705799372641159,1.670111,immune
pseudobulk_13,0.4889957513200866,1.6206151,immune
pseudobulk_14,0.8076583121719482,2.067334,immune
pseudobulk_15,0.8301185243610653,2.224925,immune
pseudobulk_16,0.5116231877027491,1.5914121,immune
pseudobulk_17,0.7087265004906799,1.8662492,immune
pseudobulk_18,0.7667883415646162,2.115755,immune
pseudobulk_19,0.6017212586284547,1.8616219,immune
pseudobulk_20,0.8517084745801595,2.2251897,immune
pseudobulk_21,0.7739124758973012,2.171869,immune
pseudobulk_22,0.8178181378041205,2.2614465,immune
pseudobulk_23,0.8606227234704373,2.237824,immune
pseudobulk_24,0.6952236166352987,1.9729766,immune
pseudobulk_25,0.6944862974501075,2.1628864,immune
pseudobulk_26,0.5987977782842749,1.8802352,immune
pseudobulk_27,0.591502956204064,1.9767181,immune
pseudobulk_28,0.6133210229964977,1.9253227,immune
pseudobulk_29,0.7851071184591051,2.170701,immune
pseudobulk_30,0.6717995444298556,2.1695867,immune
pseudobulk_31,0.4529436525752967,1.7147591,immune
pseudobulk_32,0.621903690525325,1.9568021,immune
pseudobulk_33,0.6666817042757844,2.065797,immune
pseudobulk_34,0.6349503613982915,1.9244006,immune
pseudobulk_35,0.6108139947889097,1.9178563,immune
pseudobulk_36,0.7459336105810581,2.0476468,immune
pseudobulk_37,0.6853527961195562,2.0337155,immune
pseudobulk_38,0.6219393965800424,2.0080824,immune
pseudobulk_39,0.736219937443703,1.9648135,immune
pseudobulk_40,0.5992629586958134,1.8643246,immune
pseudobulk_41,0.6162631608185571,1.7085357,immune
pseudobulk_42,0.8620491171509418,2.2201152,immune
pseudobulk_43,0.5638534688669059,1.9114996,immune
pseudobulk_44,0.7121494116868194,1.8748059,immune
pseudobulk_45,0.8094141115866442,2.2376044,immune
pseudobulk_46,0.671442789472162,1.9221292,immune
pseudobulk_47,0.7735618600090632,2.0343251,immune
pseudobulk_48,0.7297427944904433,1.9613395,immune
pseudobulk_49,0.8147017350729543,2.2228494,immune
pseudobulk_50,0.8917494673187276,2.373003,immune
pseudobulk_51,0.777276145659921,2.1805272,immune
pseudobulk_52,0.7664602983049879,2.0532358,immune
pseudobulk_53,0.7882168885098464,2.1292822,immune
pseudobulk_54,0.894342246259835,2.3815174,immune
pseudobulk_55,0.7238359445000201,2.023642,immune
pseudobulk_56,0.6702518907395604,2.012691,immune
pseudobulk_57,0.573835035434964,1.9671621,immune
pseudobulk_58,0.49462399981802746,1.8047556,immune
pseudobulk_59,0.8537129113099086,2.2041175,immune
pseudobulk_60,0.6845050471065364,2.0198112,immune
pseudobulk_61,0.3825217336452582,1.403018,immune
pseudobulk_62,0.5981016678660993,1.9212052,immune
pseudobulk_63,0.5020389012279296,1.8608718,immune
pseudobulk_64,0.4941634924880379,1.8247658,immune
pseudobulk_65,0.7975584260163058,2.2584424,immune
pseudobulk_66,0.7505696154539656,2.256932,immune
pseudobulk_67,0.6099477614516177,1.9236649,immune
pseudobulk_68,0.44620209928507004,1.6955396,immune
pseudobulk_69,0.717748558495255,2.2476442,immune
pseudobulk_70,0.7045973712347364,1.9669167,immune
pseudobulk_71,0.44236977534773864,1.6669908,immune
pseudobulk_72,0.46632820030935934,1.5813192,immune
pseudobulk_73,0.5886757232055934,1.845449,immune
pseudobulk_74,0.5931536353800725,1.9330178,immune
pseudobulk_75,0.44935638922197196,1.7378922,immune
pseudobulk_76,0.4680525838061802,1.6484052,immune
pseudobulk_77,0.5157177869577902,1.5489163,immune
