,immune,endothelial,epithelial,connective,muscle,macroglial,pericyte,neuronal,exocrine,endocrine
ETS/2:ETS,1.2739317670993533,0.7666350865355407,0.842727457221864,0.630775819127733,0.6053288468032656,0.5546569907655751,0.6194190224929675,0.37246042940672763,0.47885600393601147,0.7608158725257299
STAT/2:STAT,0.005596433057885427,0.004056821823400256,0.005986945433717501,0.00457803035337872,0.004087735678547491,0.002865632072103002,0.0047054201907788164,0.003073003941348572,0.004015676327981025,0.0057021425215198285
N/A,-0.05377086110963621,-0.030589536344700134,-0.038570216467647696,-0.02516542390561001,-0.04201391264626497,-0.0037540871266276555,-0.02083685293473639,0.033024314924269105,-0.013493697325430773,-0.00810354265548396
CREB/ATF/1:bZIP,0.11728780577090257,0.08465417044133397,0.10953369173537168,0.10206586767237423,0.13742658421098225,0.10799104162235289,0.11443414152017711,0.11387426071035198,0.0797139965434318,0.12291640815366091
E2F/2:E2F,-0.24385576841284096,-0.09533823230396553,-0.05751969899460486,-0.0028160674089101802,-0.11200625416185613,0.05543978312328839,-0.005421180840737467,0.2812191816213135,-0.11115079025876197,0.10178174793391478
ETS/1:ETS,0.9015318986783065,0.6020568595027356,0.7521696328587816,0.5736818255014933,0.5878965234386938,0.5473330539677868,0.570755729017326,0.4503130051590339,0.4517441045090132,0.7180373583883357
KLF/SP/2:C2H2,0.5887190628542002,0.5817221229879302,0.8258988721782266,0.7244095602090967,0.5983412037466201,0.6172924674703456,0.7101254077060305,0.47839405752684794,0.4415001536969458,0.7759420477743074
YY1:C2H2,0.6278911119490458,0.4307764535558376,0.5428938127636297,0.4414267331647171,0.5533073043916347,0.5669711640394076,0.5016975304315539,0.519198356029974,0.45858767488971086,0.6105633679407569
Ebox/CACGTG/2:bHLH,0.015610750679004774,0.009341943467284067,0.01450524394861462,0.010335615028161368,0.013563121790129102,0.013170669560517498,0.010795836036170932,0.013000041978167457,0.013502261164830826,0.015029786702464435
ZFX:C2H2,0.15370276382790754,0.15264462827597683,0.16310548691124943,0.16463799984597507,0.17206719410731453,0.14786342940593866,0.1696798944709965,0.10869339440458549,0.14833383655786622,0.1630382653161433
CREB/ATF/2:bZIP,0.031188645732607073,0.020378343167282705,0.03133969690550203,0.02679184056198208,0.04228426389886988,0.03231681638527088,0.032502600826167495,0.03624084089616543,0.02177985068919927,0.04024668122549258
