,agg_scores,exp_scores,cell_type_category
pseudobulk_0,0.15813463449012388,2.0481925010681152,immune
pseudobulk_1,0.17443279842154757,1.9076899290084839,immune
pseudobulk_2,0.1549580037244587,1.8031755685806274,immune
pseudobulk_3,0.16478153268690082,1.8424079418182373,immune
pseudobulk_4,0.15590300593612344,1.8589978218078613,immune
pseudobulk_5,0.16393152622549587,1.8659809827804565,immune
pseudobulk_6,0.1650729036191468,1.6978731155395508,immune
pseudobulk_7,0.1623917707183852,1.7422617673873901,immune
pseudobulk_8,0.14138414058834203,1.8192195892333984,immune
pseudobulk_9,0.1564815333695142,1.7566900253295898,immune
pseudobulk_10,0.1695376910502079,2.2979917526245117,immune
pseudobulk_11,0.1381873469799747,1.5380527973175049,immune
pseudobulk_12,0.1304233980481501,1.488957405090332,immune
pseudobulk_13,0.14883864575312927,1.5205472707748413,immune
pseudobulk_14,0.17098535446711943,2.003995656967163,immune
pseudobulk_15,0.17436264295247272,2.141587495803833,immune
pseudobulk_16,0.13428068215944092,1.6743308305740356,immune
pseudobulk_17,0.1641937767271872,1.6914829015731812,immune
pseudobulk_18,0.16104624938452491,2.0017848014831543,immune
pseudobulk_19,0.1591282939771178,1.7739887237548828,immune
pseudobulk_20,0.1707512689172278,2.078578233718872,immune
pseudobulk_21,0.1677013783191784,2.008873462677002,immune
pseudobulk_22,0.1708082914046816,2.0872490406036377,immune
pseudobulk_23,0.16849279776215462,2.1385645866394043,immune
pseudobulk_24,0.16188995400443562,1.8489904403686523,immune
pseudobulk_25,0.17890965706283052,1.9568891525268555,immune
pseudobulk_26,0.17073388465087053,1.7506052255630493,immune
pseudobulk_27,0.15459343945258172,1.8850829601287842,immune
pseudobulk_28,0.1638319752892119,1.809632420539856,immune
pseudobulk_29,0.1592021038522933,2.098090887069702,immune
pseudobulk_30,0.1633355377707618,1.7527223825454712,immune
pseudobulk_31,0.1505626559955988,1.8463549613952637,immune
pseudobulk_32,0.1685029851505522,1.7022976875305176,immune
pseudobulk_33,0.1448312916909332,1.9150828123092651,immune
pseudobulk_34,0.1562542741594358,1.8283542394638062,immune
pseudobulk_35,0.15454253222560374,1.7958488464355469,immune
pseudobulk_36,0.15968190913554128,2.031184434890747,immune
pseudobulk_37,0.15332692477386328,1.9440668821334839,immune
pseudobulk_38,0.1514999209903168,1.646946907043457,immune
pseudobulk_39,0.1707112145959386,1.9580938816070557,immune
pseudobulk_40,0.14931085449643292,1.714695930480957,immune
pseudobulk_41,0.1519220707123156,1.576825737953186,immune
pseudobulk_42,0.1700466604670496,2.142948627471924,immune
pseudobulk_43,0.14642641133104808,1.6793115139007568,immune
pseudobulk_44,0.1667805545730503,1.7136236429214478,immune
pseudobulk_45,0.16941625644540054,2.009066581726074,immune
pseudobulk_46,0.16869616034818924,1.9230701923370361,immune
pseudobulk_47,0.182758947543333,2.1947364807128906,immune
pseudobulk_48,0.1826270558522073,2.173410177230835,immune
pseudobulk_49,0.19035431768861488,2.3012969493865967,immune
pseudobulk_50,0.1836663405701972,2.3805129528045654,immune
pseudobulk_51,0.1868040590779846,2.0581767559051514,immune
pseudobulk_52,0.18356791899350244,2.1546988487243652,immune
pseudobulk_53,0.1826896339771322,2.081120729446411,immune
pseudobulk_54,0.1837565086898385,2.3023159503936768,immune
pseudobulk_55,0.1804546536441179,2.0815322399139404,immune
pseudobulk_56,0.1659380693454281,1.8581181764602661,immune
pseudobulk_57,0.15858630667207652,1.6626731157302856,immune
pseudobulk_58,0.1491985701723013,1.506355881690979,immune
pseudobulk_59,0.1706559406593431,2.1703598499298096,immune
pseudobulk_60,0.1732104931143101,1.8075765371322632,immune
pseudobulk_61,0.11626663821516409,1.0543322563171387,immune
pseudobulk_62,0.15457416398567028,1.6380867958068848,immune
pseudobulk_63,0.15167400182690371,1.505271315574646,immune
pseudobulk_64,0.1534595382981923,1.4911277294158936,immune
pseudobulk_65,0.172183301343465,2.049034357070923,immune
pseudobulk_66,0.1634471894794831,2.0383567810058594,immune
pseudobulk_67,0.1650114164804097,1.9011963605880737,immune
pseudobulk_68,0.13999806984793262,1.0107052326202393,immune
pseudobulk_69,0.16491943442815568,1.9660850763320923,immune
pseudobulk_70,0.1579352389089752,2.0072476863861084,immune
pseudobulk_71,0.14762565583805462,1.0478918552398682,immune
pseudobulk_72,0.14435046962534998,1.430951714515686,immune
pseudobulk_73,0.15312211355194327,1.7436808347702026,immune
pseudobulk_74,0.16318557341582937,1.8724288940429688,immune
pseudobulk_75,0.1422052340931245,1.1293171644210815,immune
pseudobulk_76,0.14676645492727292,1.0987179279327393,immune
pseudobulk_77,0.144459216040558,1.5799113512039185,immune
pseudobulk_78,0.1578799019771382,1.406909465789795,immune
pseudobulk_79,0.14404016087064397,1.5726996660232544,immune
pseudobulk_80,0.1456551432493132,1.8262267112731934,immune
pseudobulk_81,0.16210863948799561,1.8674226999282837,immune
pseudobulk_82,0.1382040950993532,1.116249680519104,immune
pseudobulk_83,0.153290273156016,1.931044340133667,immune
pseudobulk_84,0.1558829172863612,1.775397777557373,immune
pseudobulk_85,0.1464643441431678,1.1351567506790161,immune
pseudobulk_86,0.1613339455216181,1.9822916984558105,immune
pseudobulk_87,0.1559830219484854,2.013854503631592,immune
pseudobulk_88,0.14310976938577258,1.8741706609725952,immune
pseudobulk_89,0.1569681196706357,1.974349021911621,immune
pseudobulk_90,0.1402843968244255,1.0478918552398682,immune
pseudobulk_91,0.1626400677487242,1.883013129234314,immune
pseudobulk_92,0.160213987343012,1.6164112091064453,immune
